player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Jordan Pickford,ENG,GK,30,38,3420.0,90.0,100.0,38.0,38,90.0,38,0,,0,1.26,42.0,44.0,-2.0,-0.05,,41.8,46.2,-4.5,-0.12,
Vitaliy Mykolenko,UKR,DF,25,35,3082.0,88.0,90.1,34.2,35,88.0,33,0,,0,1.29,38.0,39.0,-1.0,-0.03,0.24,37.6,40.0,-2.4,-0.07,0.49
Idrissa Gana Gueye,SEN,MF,34,37,3063.0,83.0,89.6,34.0,35,86.0,25,2,21.0,0,1.27,37.0,39.0,-2.0,-0.06,-0.06,37.8,39.9,-2.1,-0.06,0.54
James Tarkowski,ENG,DF,31,33,2922.0,89.0,85.4,32.5,33,89.0,31,0,,0,1.15,34.0,38.0,-4.0,-0.12,-0.48,35.5,39.5,-4.0,-0.12,-0.03
Abdoulaye Doucouré,MLI,MF,31,33,2564.0,78.0,75.0,28.5,31,82.0,16,2,12.0,1,1.3,28.0,33.0,-5.0,-0.18,-0.49,31.0,34.8,-3.8,-0.13,-0.07
Iliman Ndiaye,SEN,FW,24,33,2430.0,74.0,71.1,27.0,29,80.0,14,4,29.0,0,1.24,32.0,24.0,8.0,0.3,1.21,28.2,29.2,-1.0,-0.04,0.28
Jarrad Branthwaite,ENG,DF,22,30,2511.0,84.0,73.4,27.9,28,89.0,27,2,4.0,0,1.33,34.0,28.0,6.0,0.22,1.01,31.1,30.0,1.1,0.04,0.59
Jack Harrison,ENG,FW,27,34,2076.0,61.0,60.7,23.1,24,76.0,8,10,26.0,4,1.21,20.0,27.0,-7.0,-0.3,-0.64,23.9,31.2,-7.4,-0.32,-0.51
Ashley Young,ENG,DF,39,32,1875.0,59.0,54.8,20.8,19,85.0,14,13,20.0,4,1.34,21.0,22.0,-1.0,-0.05,0.01,21.0,26.3,-5.3,-0.26,-0.31
Dominic Calvert-Lewin,ENG,FW,27,26,1609.0,62.0,47.0,17.9,19,77.0,8,7,20.0,0,1.27,17.0,18.0,-1.0,-0.06,-0.01,18.1,25.1,-7.0,-0.39,-0.51
