player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Moisés Caicedo,ECU,"MF,DF",23,36,3171.0,88.0,97.9,35.2,36,88.0,31,0,,0,1.75,60.0,42.0,18.0,0.51,-0.79,65.0,43.9,21.2,0.6,2.0
Cole Palmer,ENG,MF,23,35,3011.0,86.0,92.9,33.5,34,88.0,24,1,32.0,0,1.8,61.0,41.0,20.0,0.6,0.99,62.9,42.7,20.3,0.61,0.67
Levi Colwill,ENG,DF,22,33,2969.0,90.0,91.6,33.0,33,90.0,32,0,,2,1.7,54.0,41.0,13.0,0.39,-1.6,55.9,42.1,13.8,0.42,-1.66
Marc Cucurella,ESP,DF,26,34,2808.0,83.0,86.7,31.2,31,88.0,25,3,24.0,0,1.82,58.0,38.0,20.0,0.64,0.85,60.0,38.7,21.3,0.68,0.95
Enzo Fernández,ARG,MF,24,34,2767.0,81.0,85.4,30.7,30,89.0,24,4,25.0,0,1.68,54.0,37.0,17.0,0.55,0.17,55.8,36.6,19.2,0.62,0.46
Robert Sánchez,ESP,GK,27,30,2700.0,90.0,83.3,30.0,30,90.0,30,0,,6,1.8,50.0,34.0,16.0,0.53,0.03,51.9,37.0,14.9,0.5,-0.37
Nicolas Jackson,SEN,FW,23,30,2220.0,74.0,68.5,24.7,28,76.0,5,2,41.0,1,1.8,42.0,23.0,19.0,0.77,0.77,43.0,28.4,14.5,0.59,0.1
Noni Madueke,ENG,FW,23,30,1858.0,62.0,57.3,20.6,25,72.0,5,5,14.0,1,1.9,36.0,28.0,8.0,0.39,-0.33,41.3,28.0,13.3,0.65,0.21
Pedro Neto,POR,FW,25,33,2103.0,64.0,64.9,23.4,22,82.0,15,11,27.0,1,1.64,38.0,25.0,13.0,0.56,0.08,37.4,27.4,10.0,0.43,-0.37
Malo Gusto,FRA,DF,21,30,1848.0,62.0,57.0,20.5,19,84.0,14,11,23.0,1,1.57,40.0,26.0,14.0,0.68,0.36,40.5,26.6,13.9,0.68,0.28
Jadon Sancho,ENG,FW,25,30,1703.0,57.0,52.6,18.9,18,77.0,7,12,27.0,1,1.8,34.0,24.0,10.0,0.53,0.0,34.6,23.0,11.6,0.61,0.12
Wesley Fofana,FRA,DF,24,14,1172.0,84.0,36.2,13.0,14,84.0,10,0,,1,2.0,25.0,13.0,12.0,0.92,0.62,23.2,15.6,7.7,0.59,0.05
Tosin Adarabioyo,ENG,DF,27,20,1229.0,61.0,37.9,13.7,13,84.0,11,7,20.0,16,1.75,26.0,14.0,12.0,0.88,0.57,29.0,17.8,11.1,0.82,0.41
Trevoh Chalobah,ENG,DF,25,13,910.0,70.0,28.1,10.1,11,81.0,9,2,10.0,1,1.77,13.0,12.0,1.0,0.1,-0.6,15.7,11.4,4.4,0.43,-0.17
Roméo Lavia,BEL,MF,21,14,758.0,54.0,23.4,8.4,11,66.0,0,3,10.0,4,1.71,11.0,11.0,0.0,0.0,-0.69,11.6,14.0,-2.3,-0.28,-1.09
Reece James,ENG,"DF,MF",25,17,883.0,52.0,27.3,9.8,10,73.0,3,7,22.0,4,1.47,11.0,14.0,-3.0,-0.31,-1.15,14.8,14.4,0.3,0.03,-0.72
Christopher Nkunku,FRA,FW,27,27,921.0,34.0,28.4,10.2,9,74.0,2,18,14.0,6,1.67,16.0,16.0,0.0,0.0,-0.74,21.2,16.0,5.3,0.51,-0.06
Filip Jørgensen,DEN,GK,23,6,540.0,90.0,16.7,6.0,6,90.0,6,0,,29,1.5,12.0,9.0,3.0,0.5,-0.03,14.0,8.8,5.2,0.86,0.37
Axel Disasi,FRA,DF,27,6,364.0,61.0,11.2,4.0,4,79.0,2,2,24.0,9,2.17,5.0,3.0,2.0,0.49,-0.04,9.5,6.3,3.2,0.79,0.27
João Félix,POR,"FW,MF",25,12,369.0,31.0,11.4,4.1,3,75.0,1,9,16.0,8,2.25,10.0,4.0,6.0,1.46,1.06,13.8,5.7,8.1,1.98,1.6
Benoît Badiashile,FRA,DF,24,5,334.0,67.0,10.3,3.7,3,88.0,2,2,35.0,15,1.8,7.0,5.0,2.0,0.54,0.01,6.9,5.0,1.9,0.53,-0.04
Kiernan Dewsbury-Hall,ENG,"MF,FW",26,12,259.0,22.0,8.0,2.9,2,67.0,0,10,13.0,12,2.08,6.0,3.0,3.0,1.04,0.56,5.4,3.2,2.2,0.75,0.21
Joshua Acheampong,ENG,DF,19,4,170.0,43.0,5.2,1.9,2,80.0,1,2,5.0,17,2.0,2.0,3.0,-1.0,-0.53,-1.12,3.6,2.1,1.5,0.82,0.28
Renato Veiga,POR,"DF,MF",21,7,181.0,26.0,5.6,2.0,1,90.0,1,6,15.0,13,2.14,2.0,2.0,0.0,0.0,-0.56,2.0,3.0,-1.1,-0.52,-1.14
Mykhailo Mudryk,UKR,FW,24,7,151.0,22.0,4.7,1.7,1,45.0,0,6,18.0,5,1.86,4.0,2.0,2.0,1.19,0.7,3.0,3.7,-0.7,-0.41,-1.01
Tyrique George,ENG,FW,19,7,103.0,15.0,3.2,1.1,0,,0,7,15.0,10,2.14,3.0,0.0,3.0,2.62,2.16,1.5,1.1,0.4,0.37,-0.19
Marc Guiu,ESP,FW,19,3,73.0,24.0,2.3,0.8,0,,0,3,24.0,9,1.33,2.0,2.0,0.0,0.0,-0.54,0.8,1.5,-0.6,-0.76,-1.35
Mathis Amougou,FRA,MF,19,1,8.0,8.0,0.2,0.1,0,,0,1,8.0,3,3.0,0.0,0.0,0.0,0.0,-0.53,0.2,0.0,0.2,1.97,1.42
Shumaira Mheuka,ENG,MF,17,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,1,3.0,0.0,0.0,0.0,0.0,-0.53,0.1,0.0,0.1,9.35,8.8
Aaron Anselmino,ARG,DF,20,0,,,,,0,,0,0,,1,,,,,,,,,,,
Genesis Antwi,SWE,MF,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
Marcus Bettinelli,ENG,GK,32,0,,,,,0,,0,0,,4,,,,,,,,,,,
Cesare Casadei,ITA,MF,22,0,,,,,0,,0,0,,4,,,,,,,,,,,
Samuel Rak-Sakyi,ENG,MF,20,0,,,,,0,,0,0,,1,,,,,,,,,,,
Ishé Samuels-Smith,ENG,DF,18,0,,,,,0,,0,0,,2,,,,,,,,,,,
Squad Total,,,24,36,3240.0,90.0,100.0,36.0,396,83.0,260,135,19.0,189,1.75,62.0,43.0,19.0,0.53,,65.9,45.8,20.1,0.56,
Opponent Total,,,27,36,3240.0,90.0,100.0,36.0,396,83.0,248,147,19.0,177,1.0,43.0,62.0,-19.0,-0.53,,45.8,65.9,-20.1,-0.56,
