player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Jamie Vardy,ENG,FW,37,35,2823,81,82.5,31.4,35,81,20,0,,0,0.71,28,68,-40,-1.28,-0.22,27.5,61.9,-34.4,-1.10,-0.36
James Justin,ENG,DF,26,36,2912,81,85.1,32.4,34,84,23,2,27,1,0.67,31,68,-37,-1.14,+0.63,28.3,62.4,-34.1,-1.05,-0.15
Wout Faes,BEL,DF,26,34,2815,83,82.3,31.3,30,90,30,4,29,1,0.71,29,63,-34,-1.09,+0.85,27.7,57.3,-29.6,-0.94,+0.50
Victor Bernth Kristiansen,DEN,DF,21,30,2482,83,72.6,27.6,29,85,20,1,14,5,0.60,19,62,-43,-1.56,-1.18,20.6,53.4,-32.8,-1.19,-0.57
Wilfred Ndidi,NGA,MF,27,28,2324,83,68.0,25.8,28,83,15,0,,0,0.79,24,48,-24,-0.93,+0.96,20.7,48.3,-27.7,-1.07,-0.12
Mads Hermansen,DEN,GK,24,27,2385,88,69.7,26.5,27,88,26,0,,0,0.56,23,58,-35,-1.32,-0.28,22.4,54.1,-31.7,-1.20,-0.54
Bilal El Khannouss,MAR,"MF,FW",20,32,2182,68,63.8,24.2,27,78,8,5,16,3,0.63,17,54,-37,-1.53,-0.80,20.0,47.6,-27.6,-1.14,-0.30
Boubakary Soumaré,FRA,MF,25,31,2171,70,63.5,24.1,25,83,19,6,15,4,0.65,17,52,-35,-1.45,-0.59,19.7,45.7,-26.1,-1.08,-0.13
Conor Coady,ENG,DF,31,22,1714,78,50.1,19.0,19,89,16,3,7,13,0.73,16,42,-26,-1.37,-0.26,15.1,38.2,-23.1,-1.21,-0.36
Jordan Ayew,GHA,"FW,MF",32,30,1638,55,47.9,18.2,19,77,4,11,16,6,0.77,17,41,-24,-1.32,-0.16,16.1,28.9,-12.7,-0.70,+0.64
Harry Winks,ENG,MF,28,22,1538,70,45.0,17.1,17,80,12,5,34,3,0.45,17,34,-17,-0.99,+0.44,16.4,28.9,-12.5,-0.73,+0.55
Stephy Mavididi,ENG,FW,26,30,1615,54,47.2,17.9,16,81,3,14,23,3,0.50,18,38,-20,-1.11,+0.23,17.9,36.1,-18.1,-1.01,+0.04
Jannik Vestergaard,DEN,DF,31,18,1391,77,40.7,15.5,16,81,10,2,51,2,0.50,7,35,-28,-1.81,-0.97,12.0,24.8,-12.9,-0.83,+0.34
Facundo Buonanotte,ARG,"FW,MF",19,31,1523,49,44.5,16.9,14,80,6,17,24,3,0.52,17,33,-16,-0.95,+0.53,16.8,28.6,-11.8,-0.70,+0.60
Luke Thomas,ENG,DF,23,14,1110,79,32.5,12.3,13,85,9,1,4,11,0.57,8,23,-15,-1.22,+0.03,8.2,24.5,-16.2,-1.32,-0.42
Caleb Okoli,ITA,DF,23,19,1125,59,32.9,12.5,12,85,8,7,16,18,0.53,15,26,-11,-0.88,+0.53,11.8,27.0,-15.2,-1.21,-0.27
Oliver Skipp,ENG,MF,23,24,1129,47,33.0,12.5,10,74,3,14,28,11,0.79,12,26,-14,-1.12,+0.18,11.2,25.4,-14.1,-1.13,-0.14
Jakub Stolarczyk,POL,GK,23,10,900,90,26.3,10.0,10,90,10,0,,11,1.00,10,16,-6,-0.60,+0.86,9.4,14.4,-5.0,-0.50,+0.72
Kasey McAteer,IRL,FW,22,18,852,47,24.9,9.5,9,78,1,9,16,2,0.78,10,16,-6,-0.63,+0.80,10.0,19.6,-9.5,-1.01,+0.04
Bobby De Cordova-Reid,JAM,FW,31,23,744,32,21.8,8.3,9,67,0,14,10,9,0.65,9,17,-8,-0.97,+0.34,7.1,14.6,-7.5,-0.90,+0.17
Patson Daka,ZAM,"FW,MF",25,23,736,32,21.5,8.2,6,72,1,17,18,4,0.61,7,16,-9,-1.10,+0.17,6.5,17.0,-10.5,-1.29,-0.33
Abdul Fatawu Issahaku,GHA,FW,20,11,579,53,16.9,6.4,6,86,5,5,12,0,0.91,7,14,-7,-1.09,+0.18,6.8,10.7,-3.9,-0.60,+0.52
Ricardo Pereira,POR,DF,30,10,388,39,11.3,4.3,4,68,0,6,19,8,0.50,3,8,-5,-1.16,+0.09,3.1,7.0,-3.9,-0.90,+0.15
Danny Ward,WAL,GK,31,2,135,68,3.9,1.5,1,90,1,1,45,14,0.00,0,6,-6,-4.00,-2.88,0.9,3.4,-2.5,-1.70,-0.69
Hamza Choudhury,BAN,"MF,DF",26,4,131,33,3.8,1.5,1,58,0,3,24,11,0.25,0,5,-5,-3.44,-2.29,0.9,5.3,-4.4,-2.97,-2.01
