player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Bruno Fernandes,POR,MF,29,36,3018,84,88.2,33.5,35,85,28,1,32,1,1.17,41,43,-2,-0.06,+1.73,48.5,45.2,+3.2,+0.10,+1.10
André Onana,CMR,GK,28,34,3060,90,89.5,34.0,34,90,34,0,,0,1.15,38,44,-6,-0.18,+0.82,45.3,46.8,-1.5,-0.04,-0.11
Noussair Mazraoui,MAR,DF,26,37,2838,77,83.0,31.5,34,81,20,3,24,0,1.14,23,43,-20,-0.63,-2.18,38.6,45.5,-6.9,-0.22,-1.08
Diogo Dalot,POR,DF,25,33,2814,85,82.3,31.3,31,89,30,2,29,0,1.15,34,45,-11,-0.35,-0.50,39.9,46.1,-6.2,-0.20,-0.93
Matthijs de Ligt,NED,DF,24,29,2123,73,62.1,23.6,25,82,16,4,19,1,1.28,32,36,-4,-0.17,+0.25,30.2,37.4,-7.2,-0.30,-0.72
Alejandro Garnacho,ARG,"MF,FW",20,36,2199,61,64.3,24.4,23,81,14,13,26,0,1.00,26,36,-10,-0.41,-0.41,35.6,35.0,+0.5,+0.02,+0.15
Rasmus Højlund,DEN,FW,21,32,2004,63,58.6,22.3,23,78,7,9,24,2,1.03,17,31,-14,-0.63,-0.88,25.9,29.6,-3.8,-0.17,-0.33
Manuel Ugarte Ribeiro,URU,MF,23,29,1785,62,52.2,19.8,22,75,8,7,20,3,1.17,24,33,-9,-0.45,-0.40,21.0,28.8,-7.8,-0.40,-0.76
Amad Diallo,CIV,"MF,FW",22,26,1901,73,55.6,21.1,20,87,14,6,28,2,1.08,28,30,-2,-0.09,+0.38,31.8,31.4,+0.4,+0.02,+0.12
Lisandro Martínez,ARG,DF,26,20,1751,88,51.2,19.5,20,88,17,0,,2,1.35,25,27,-2,-0.10,+0.33,29.7,29.7,-0.1,0.00,+0.06
Harry Maguire,ENG,DF,31,27,1758,65,51.4,19.5,19,82,13,8,26,3,1.07,20,27,-7,-0.36,-0.20,26.4,26.6,-0.2,-0.01,+0.05
Kobbie Mainoo,ENG,MF,19,25,1651,66,48.3,18.3,19,76,8,6,35,1,1.00,19,27,-8,-0.44,-0.33,27.7,25.4,+2.3,+0.12,+0.30
Casemiro,BRA,MF,32,24,1494,62,43.7,16.6,18,76,7,6,22,14,1.29,18,20,-2,-0.12,+0.25,22.9,23.0,-0.1,-0.01,+0.04
Joshua Zirkzee,NED,"FW,MF",23,32,1402,44,41.0,15.6,14,72,4,18,22,0,1.19,26,24,+2,+0.13,+0.66,22.8,24.4,-1.6,-0.10,-0.12
Leny Yoro,FRA,DF,18,21,1165,55,34.1,12.9,12,78,5,9,26,0,0.81,17,24,-7,-0.54,-0.42,18.1,19.4,-1.3,-0.10,-0.10
Marcus Rashford,ENG,"FW,MF",26,15,978,65,28.6,10.9,12,74,4,3,31,1,1.27,15,9,+6,+0.55,+1.14,15.2,14.5,+0.7,+0.06,+0.13
Christian Eriksen,DEN,MF,32,23,1061,46,31.0,11.8,11,80,5,12,15,12,1.13,17,16,+1,+0.08,+0.50,18.3,18.2,+0.1,+0.01,+0.07
Patrick Dorgu,DEN,DF,19,12,842,70,24.6,9.4,10,77,6,2,34,0,0.75,7,11,-4,-0.43,-0.22,12.6,9.9,+2.7,+0.29,+0.43
Mason Mount,ENG,MF,25,17,622,37,18.2,6.9,8,53,0,9,22,3,0.88,2,11,-9,-1.30,-1.27,9.8,8.1,+1.7,+0.25,+0.34
Victor Lindelöf,SWE,DF,30,16,704,44,20.6,7.8,6,88,5,10,18,7,1.25,10,9,+1,+0.13,+0.49,11.7,8.5,+3.2,+0.41,+0.55
Altay Bayındır,TUR,GK,26,4,360,90,10.5,4.0,4,90,4,0,,27,0.75,6,10,-4,-1.00,-0.82,7.3,7.0,+0.3,+0.06,+0.11
Luke Shaw,ENG,DF,29,7,349,50,10.2,3.9,4,67,1,3,28,1,0.71,3,5,-2,-0.52,-0.28,4.4,3.9,+0.6,+0.15,+0.20
Harry Amass,ENG,DF,17,5,346,69,10.1,3.8,4,81,3,1,22,8,0.60,5,9,-4,-1.04,-0.86,5.4,6.3,-0.9,-0.24,-0.23
Jonny Evans,NIR,DF,36,7,315,45,9.2,3.5,3,77,1,4,21,10,2.43,8,2,+6,+1.71,+2.18,5.6,3.0,+2.6,+0.75,+0.86
Ayden Heaven,ENG,DF,17,4,170,43,5.0,1.9,2,58,0,2,28,4,1.75,1,1,0,0.00,+0.28,3.3,1.7,+1.6,+0.83,+0.91
Tyler Fredricson,ENG,DF,19,2,165,83,4.8,1.8,2,83,1,0,,6,0.00,1,5,-4,-2.18,-2.02,2.6,2.9,-0.3,-0.17,-0.15
Tyrell Malacia,NED,DF,24,3,100,33,2.9,1.1,2,45,0,1,10,8,1.00,0,1,-1,-0.90,-0.66,1.0,0.9,+0.1,+0.08,+0.11
Chidozie Obi-Martin,DEN,FW,16,7,165,24,4.8,1.8,1,90,1,6,13,4,1.14,8,5,+3,+1.64,+2.00,5.5,3.6,+1.9,+1.03,+1.11
Toby Collyer,ENG,MF,20,6,179,30,5.2,2.0,0,,0,6,30,11,1.67,6,2,+4,+2.01,+2.40,5.2,3.1,+2.2,+1.08,+1.18
Antony,BRA,"DF,MF",24,8,141,18,4.1,1.6,0,,0,8,18,11,0.88,5,2,+3,+1.91,+2.27,4.7,2.2,+2.5,+1.60,+1.71
,,,na,,Playing Time,Playing Time,Playing Time,Playing Time,Starts,Starts,Starts,Subs,Subs,Subs,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
