player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Dean Henderson,ENG,GK,27,38.0,3,0,0,0,2,0,0,0,1,0,0,0,26,11,1,91.7
Daniel Muñoz,COL,DF,28,35.9,10,0,0,56,19,15,74,44,80,0,0,0,171,58,78,42.6
Tyrick Mitchell,ENG,DF,24,34.4,2,0,0,23,25,2,105,19,55,1,0,0,168,20,21,48.8
Maxence Lacroix,FRA,DF,24,34.6,5,0,0,34,19,1,7,54,41,0,1,0,130,60,50,54.5
Marc Guéhi,ENG,DF,24,34.0,9,1,1,24,27,1,13,28,34,0,0,3,146,68,58,54.0
Jean-Philippe Mateta,FRA,FW,27,29.4,2,0,0,27,28,21,26,2,12,0,0,0,68,63,107,37.1
Eberechi Eze,ENG,"MF,FW",26,28.8,1,0,0,13,51,9,112,11,22,0,0,0,146,7,37,15.9
Ismaila Sarr,SEN,MF,26,30.1,4,0,0,14,56,11,55,9,10,1,0,0,113,37,52,41.6
Jefferson Lerma,COL,"MF,DF",29,25.3,9,0,0,35,39,0,12,42,17,0,0,0,154,41,39,51.3
Will Hughes,ENG,MF,29,23.4,11,0,0,65,31,0,71,22,36,0,1,0,121,19,18,51.4
Chris Richards,USA,DF,24,21.4,4,1,1,11,5,1,5,19,30,1,0,0,51,48,41,53.9
Adam Wharton,ENG,MF,20,14.6,2,0,0,12,21,0,39,20,14,0,0,0,102,7,16,30.4
Daichi Kamada,JPN,MF,27,17.4,4,1,0,28,21,2,31,18,29,0,0,0,89,4,13,23.5
Trevoh Chalobah,ENG,DF,25,11.8,1,0,0,10,15,1,7,19,16,0,0,0,56,22,19,53.7
Eddie Nketiah,ENG,"FW,MF",25,11.5,6,1,1,31,29,5,5,3,8,1,0,0,26,21,38,35.6
Nathaniel Clyne,ENG,"DF,MF",33,5.4,1,0,0,2,2,0,7,3,8,0,0,0,10,1,7,12.5
Justin Devenny,NIR,MF,20,5.6,1,0,0,8,0,1,17,0,12,0,0,0,27,2,13,13.3
Cheick Doucouré,MLI,MF,24,5.0,1,0,0,7,7,0,1,11,8,0,0,0,31,5,5,50.0
Ben Chilwell,ENG,DF,27,2.9,1,0,0,2,3,2,7,6,6,0,0,0,20,3,4,42.9
Romain Esse,ENG,MF,19,1.5,0,0,0,2,3,0,0,1,6,0,0,0,9,3,2,60.0
Odsonne Édouard,FRA,"MF,FW",26,1.3,0,0,0,4,0,2,1,0,0,0,0,0,5,1,4,20.0
Joachim Andersen,DEN,DF,28,1.0,1,0,0,2,0,0,1,0,1,0,0,0,7,2,0,100.0
Chadi Riad,MAR,DF,21,1.0,0,0,0,1,0,0,0,2,2,0,0,0,4,2,4,33.3
Joel Ward,ENG,DF,34,0.8,1,0,0,4,0,0,0,0,0,0,0,0,7,1,0,100.0
Jeffrey Schlupp,GHA,"MF,DF",31,1.1,0,0,0,1,0,0,4,0,0,0,0,0,6,3,4,42.9
Matheus França,BRA,"MF,FW",20,0.6,0,0,0,0,0,0,1,1,0,0,0,0,3,1,2,33.3
Jordan Ayew,GHA,"FW,MF",32,0.2,1,0,0,1,0,0,1,0,0,0,0,0,1,1,1,50.0
Caleb Kporha,ENG,DF,18,0.1,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0.0
Asher Agbinone,ENG,MF,18,0.1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0.0
Squad Total,,,26,38.0,80,4,3,417,403,74,605,334,450,4,2,3,1698,511,636,44.6
Opponent Total,,,26,38.0,84,4,3,418,398,47,716,342,319,2,4,2,1723,636,511,55.4
