player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Matz Sels,BEL,GK,32,38.0,4,0,0,1,10,0,0,0,1,0,1,0,17,15,2,88.2
Nikola Milenković,SRB,DF,26,37.0,4,0,0,20,5,2,0,27,29,0,0,0,85,101,39,72.1
Murillo,BRA,DF,22,35.4,6,0,0,27,6,0,14,36,36,0,1,0,142,44,22,66.7
Ola Aina,NGA,DF,27,33.3,5,0,0,23,35,2,59,33,42,0,1,0,190,13,19,40.6
Chris Wood,NZL,FW,32,32.9,1,0,0,25,24,28,1,5,5,0,0,0,50,94,143,39.7
Morgan Gibbs-White,ENG,MF,24,31.1,11,1,1,38,40,7,45,23,22,1,0,0,127,40,55,42.1
Elliot Anderson,ENG,MF,21,30.3,10,0,0,49,58,4,86,31,56,0,0,0,207,56,30,65.1
Anthony Elanga,SWE,"FW,MF",22,27.8,1,0,0,9,47,18,185,6,14,0,0,0,89,24,37,39.3
Neco Williams,WAL,DF,23,28.8,7,0,0,24,43,2,59,31,57,0,0,0,110,40,30,57.1
Callum Hudson-Odoi,ENG,"FW,MF",23,24.4,2,0,0,12,25,8,79,13,14,1,0,0,92,3,10,23.1
Nicolás Domínguez,ARG,"MF,FW",26,21.8,9,0,0,33,18,1,7,29,45,0,0,0,114,27,23,54.0
Ryan Yates,ENG,MF,26,21.3,10,0,0,53,49,7,8,26,21,0,0,0,104,45,30,60.0
Álex Moreno,ESP,"DF,MF",31,10.6,2,0,0,12,6,0,19,15,18,0,0,0,50,3,11,21.4
Ibrahim Sangaré,CIV,MF,26,6.6,3,0,0,15,8,0,2,6,14,0,0,0,42,10,10,50.0
Morato,BRA,DF,23,10.1,5,0,0,11,2,0,0,10,14,0,0,0,36,6,14,30.0
Jota Silva,POR,"FW,MF",24,9.5,5,0,0,24,23,8,21,12,14,1,0,0,43,21,30,41.2
James Ward-Prowse,ENG,MF,29,4.4,2,1,1,7,2,0,19,5,1,0,0,0,19,3,5,37.5
Danilo,BRA,"MF,FW",23,3.1,0,0,0,2,0,0,3,4,4,0,0,0,19,1,2,33.3
Taiwo Awoniyi,NGA,FW,26,4.6,0,0,0,8,10,1,2,0,3,0,0,0,18,13,38,25.5
Ramón Sosa,PAR,"FW,MF",24,3.3,1,0,0,6,8,3,8,4,3,0,0,0,25,4,7,36.4
Willy Boly,CIV,DF,33,1.7,1,0,0,1,0,0,0,3,1,0,0,0,5,6,2,75.0
Harry Toffolo,ENG,DF,28,1.5,1,0,0,1,0,0,4,2,3,0,0,0,2,1,0,100.0
Eric da Silva Moreira,GER,"MF,DF",18,0.3,0,0,0,0,0,0,0,1,2,0,0,0,2,0,0,
Squad Total,,,26,38.0,90,2,2,401,419,91,621,322,419,3,3,0,1588,570,559,50.5
Opponent Total,,,26,38.0,104,2,2,434,390,36,886,265,365,2,3,1,1545,559,570,49.5
