player,nation,position,age,90s_played,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,crosses,interceptions,tackles_won,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
Bart Verbruggen,NED,GK,21,36.0,5,0,0,0,2,0,0,0,0,0,0,0,59,10,1,90.9
Jan Paul van Hecke,NED,DF,24,32.9,8,1,1,25,24,0,11,24,29,0,0,0,131,82,50,62.1
Carlos Baleba,CMR,MF,20,29.6,8,1,1,40,48,0,9,46,46,0,2,0,197,39,26,60.0
Kaoru Mitoma,JPN,"FW,MF",27,28.9,1,0,0,40,24,5,75,14,27,0,0,0,99,26,27,49.1
Pervis Estupiñán,ECU,DF,26,26.7,5,0,0,36,20,3,119,37,43,0,0,0,147,46,26,63.9
Danny Welbeck,ENG,FW,33,23.5,5,0,0,11,23,4,3,5,16,0,0,0,46,17,32,34.7
Lewis Dunk,ENG,DF,32,23.1,5,0,0,7,11,2,5,13,10,0,0,1,104,51,31,62.2
João Pedro,BRA,"FW,MF",22,21.6,4,1,0,26,46,2,22,9,12,3,1,0,59,41,43,48.8
Yasin Ayari,SWE,MF,20,21.8,3,0,0,37,26,3,69,20,32,0,1,0,118,16,20,44.4
Jack Hinshelwood,ENG,"MF,DF",19,20.5,5,0,0,18,9,0,27,16,19,0,0,0,63,20,16,55.6
Yankuba Minteh,GAM,"FW,MF",20,20.4,6,0,0,21,11,6,91,11,35,0,0,0,85,17,34,33.3
Joël Veltman,NED,DF,32,18.9,5,0,0,27,44,0,24,19,29,0,1,0,68,21,18,53.8
Georginio Rutter,FRA,"MF,FW",22,18.4,2,0,0,34,45,7,9,10,15,0,1,0,66,25,46,35.2
Simon Adingra,CIV,"FW,MF",22,12.2,0,0,0,13,4,4,41,8,14,0,0,0,47,7,4,63.6
Matt O'Riley,DEN,MF,23,10.4,1,0,0,16,13,2,51,13,9,1,0,1,29,5,8,38.5
Adam Webster,ENG,DF,29,9.9,1,0,0,7,2,1,2,20,6,0,1,0,35,24,6,80.0
Mats Wieffer,NED,"DF,MF",24,11.3,6,0,0,23,10,1,13,17,34,1,1,0,68,32,25,56.1
Igor,BRA,DF,26,10.7,4,0,0,9,6,0,4,4,5,0,0,0,42,8,6,57.1
Tariq Lamptey,GHA,DF,23,9.6,0,0,0,15,10,0,28,7,11,0,1,0,39,1,14,6.7
Brajan Gruda,GER,"MF,FW",20,7.6,0,0,0,7,12,1,29,2,8,0,0,0,26,3,5,37.5
Ferdi Kadioglu,TUR,"DF,MF",24,4.3,1,0,0,5,3,1,9,8,6,0,0,0,14,3,1,75.0
Diego Gómez,PAR,MF,21,5.7,0,0,0,8,3,1,12,8,13,1,0,0,32,10,4,71.4
James Milner,ENG,MF,38,1.9,1,0,0,3,1,0,8,2,2,0,0,0,2,0,1,0.0
Julio Enciso,PAR,"MF,FW",20,3.3,0,0,0,3,7,0,20,0,0,0,0,0,15,6,5,54.5
Evan Ferguson,IRL,FW,19,2.7,0,0,0,3,1,0,0,0,3,0,0,0,10,4,9,30.8
Jason Steele,ENG,GK,33,2.0,0,0,0,0,1,0,0,0,0,0,0,0,7,1,1,50.0
Solly March,ENG,"FW,MF",30,1.9,2,0,0,2,2,3,20,2,3,0,0,0,7,1,2,33.3
Billy Gilmour,SCO,MF,23,1.1,0,0,0,2,3,0,1,0,3,0,0,0,5,0,0,
Eiran Cashin,IRL,DF,22,0.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,66.7
Jakub Moder,POL,MF,25,0.1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0
Jeremy Sarmiento,ECU,MF,22,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
Harry Howell,ENG,FW,15,0.1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,
Squad Total,,,24,38.0,78,3,2,438,411,46,704,315,431,6,9,2,1624,518,463,52.8
Opponent Total,,,26,38.0,93,5,4,427,421,88,543,320,408,7,7,2,1532,463,518,47.2
