Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Unnamed: 26_level_0 Matches
Mathis Amougou,fr FRA,MF,19-115,1,8.0,8.0,0.2,0.1,0,,0,1,8.0,3,3.0,0.0,0.0,0.0,0.0,-0.53,0.2,0.0,0.2,1.97,1.42,Matches
Shumaira Mheuka,eng ENG,MF,17-205,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,1,3.0,0.0,0.0,0.0,0.0,-0.53,0.1,0.0,0.1,9.35,8.8,Matches
Aaron Anselmino,ar ARG,DF,20-014,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Genesis Antwi,se SWE,MF,18-002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Marcus Bettinelli,eng ENG,GK,32-354,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Cesare Casadei,it ITA,MF,22-123,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Samuel Rak-Sakyi,eng ENG,MF,20-047,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Ishé Samuels-Smith,eng ENG,DF,18-342,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,24.5,36,3240.0,90.0,100.0,36.0,396,83.0,260,135,19.0,189,1.75,62.0,43.0,19.0,0.53,,65.9,45.8,20.1,0.56,,
Opponent Total,,,27.3,36,3240.0,90.0,100.0,36.0,396,83.0,248,147,19.0,177,1.0,43.0,62.0,-19.0,-0.53,,45.8,65.9,-20.1,-0.56,,
