Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Raya,ESP,GK,29,36,3240,90,100.0,36.0,36,90,36,0,,0,1.89,66,33,+33,+0.92,,57.0,32.3,+24.7,+0.69,
Saliba,FRA,DF,24,34,2994,88,92.4,33.3,34,88,32,0,,0,1.94,62,27,+35,+1.05,+1.78,53.9,28.6,+25.3,+0.76,+0.96
Rice,ENG,MF,26,33,2645,80,81.6,29.4,31,84,21,2,23,1,1.85,53,27,+26,+0.88,-0.17,45.9,24.7,+21.2,+0.72,+0.19
Partey,GHA,"MF,DF",31,33,2617,79,80.8,29.1,29,88,23,4,19,2,1.85,49,29,+20,+0.69,-1.19,40.8,28.1,+12.6,+0.43,-1.31
Magalhães,BRA,DF,27,28,2363,84,72.9,26.3,28,84,25,0,,0,2.04,50,22,+28,+1.07,+0.55,40.3,23.1,+17.2,+0.66,-0.11
Trossard,BEL,FW,30,36,2431,68,75.0,27.0,27,82,14,9,24,0,1.89,51,26,+25,+0.93,+0.04,43.0,22.9,+20.2,+0.75,+0.24
Timber,NED,DF,23,30,2417,81,74.6,26.9,27,87,18,3,25,2,2.00,52,21,+31,+1.15,+0.94,42.3,21.3,+21.0,+0.78,+0.37
Ødegaard,NOR,MF,26,28,2220,79,68.5,24.7,25,86,14,3,25,0,1.93,48,21,+27,+1.09,+0.57,40.0,20.4,+19.6,+0.80,+0.35
Martinelli,BRA,"FW,MF",23,31,2131,69,65.8,23.7,23,81,9,8,33,2,1.87,43,24,+19,+0.80,-0.33,36.0,23.8,+12.3,+0.52,-0.49
Havertz,GER,"FW,MF",25,21,1839,88,56.8,20.4,21,88,18,0,,1,2.05,39,20,+19,+0.93,+0.03,33.7,19.0,+14.7,+0.72,+0.08
Saka,ENG,"FW,MF",23,23,1626,71,50.2,18.1,19,79,7,4,33,0,1.87,36,21,+15,+0.83,-0.17,33.4,16.3,+17.0,+0.94,+0.51
Merino,ESP,"MF,FW",28,27,1496,55,46.2,16.6,16,82,10,11,16,0,1.74,26,16,+10,+0.60,-0.59,26.6,14.9,+11.7,+0.71,+0.04
Lewis-Skelly,ENG,DF,18,21,1258,60,38.8,14.0,14,80,6,7,20,9,1.86,24,16,+8,+0.57,-0.56,20.7,14.3,+6.4,+0.46,-0.37
White,ENG,DF,27,15,1018,68,31.4,11.3,11,86,8,4,19,3,1.27,17,12,+5,+0.44,-0.69,16.0,14.0,+2.0,+0.18,-0.74
Calafiori,ITA,DF,22,18,938,52,29.0,10.4,11,72,3,7,22,3,2.00,26,12,+14,+1.34,+0.60,20.3,10.0,+10.3,+0.99,+0.42
Nwaneri,ENG,"FW,MF",18,25,821,33,25.3,9.1,10,64,1,15,12,9,1.80,15,3,+12,+1.32,+0.53,12.7,4.8,+7.9,+0.86,+0.23
Jorginho,ITA,MF,33,14,703,50,21.7,7.8,9,72,3,5,11,18,1.93,14,7,+7,+0.90,-0.03,13.5,5.8,+7.7,+1.00,+0.39
Kiwior,POL,DF,25,15,942,63,29.1,10.5,8,90,8,7,32,20,1.67,16,14,+2,+0.19,-1.02,17.8,11.7,+6.1,+0.58,-0.14
Jesus,BRA,FW,28,17,608,36,18.8,6.8,6,81,2,11,11,1,1.94,15,5,+10,+1.48,+0.69,11.4,5.7,+5.7,+0.85,+0.20
