Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Martínez,ARG,GK,32,35,3060.0,87.0,94.4,34.0,35,87.0,33,0,,0,1.71,54.0,45.0,9.0,0.26,1.26,52.1,43.1,9.1,0.27,0.99
Tielemans,BEL,MF,28,35,2997.0,86.0,92.5,33.3,35,86.0,27,0,,0,1.71,53.0,44.0,9.0,0.27,1.01,50.9,42.1,8.7,0.26,0.68
Rogers,ENG,"FW,MF",22,35,2941.0,84.0,90.8,32.7,35,84.0,18,0,,0,1.71,50.0,39.0,11.0,0.34,1.54,49.8,40.9,8.9,0.27,0.67
Konsa,ENG,DF,27,32,2756.0,86.0,85.1,30.6,31,87.0,30,1,45.0,1,1.78,46.0,43.0,3.0,0.1,-0.65,44.7,39.9,4.8,0.16,-0.37
Watkins,ENG,FW,29,36,2423.0,67.0,74.8,26.9,29,78.0,10,7,25.0,0,1.75,47.0,38.0,9.0,0.33,0.55,42.1,35.3,6.8,0.25,0.17
Digne,FRA,DF,31,32,2351.0,73.0,72.6,26.1,28,80.0,13,4,30.0,4,1.59,34.0,36.0,-2.0,-0.08,-0.99,32.7,34.7,-2.0,-0.08,-1.05
McGinn,SCO,"MF,FW",30,32,2073.0,65.0,64.0,23.0,25,77.0,11,7,21.0,0,1.78,31.0,34.0,-3.0,-0.13,-0.9,34.4,32.8,1.5,0.07,-0.4
Cash,POL,DF,27,25,1890.0,76.0,58.3,21.0,22,81.0,14,3,38.0,2,1.8,33.0,20.0,13.0,0.62,1.02,29.7,25.0,4.7,0.23,0.03
Torres,ESP,DF,28,22,1840.0,84.0,56.8,20.4,21,87.0,20,1,21.0,4,1.59,28.0,31.0,-3.0,-0.15,-0.79,29.0,26.0,2.9,0.14,-0.16
Ramsey,ENG,"FW,MF",23,28,1595.0,57.0,49.2,17.7,19,68.0,2,9,34.0,0,1.86,25.0,24.0,1.0,0.06,-0.27,24.4,22.4,2.0,0.11,-0.2
Kamara,FRA,MF,25,24,1553.0,65.0,47.9,17.3,18,81.0,11,6,16.0,1,1.71,26.0,21.0,5.0,0.29,0.18,23.9,20.3,3.6,0.21,-0.01
Onana,BEL,MF,23,24,1468.0,61.0,45.3,16.3,18,74.0,7,6,24.0,2,1.79,23.0,23.0,0.0,0.0,-0.36,22.8,21.4,1.3,0.08,-0.24
Bailey,JAM,"FW,MF",27,23,1138.0,49.0,35.1,12.6,14,65.0,2,9,26.0,4,1.48,22.0,19.0,3.0,0.24,0.07,20.2,13.7,6.6,0.52,0.48
Mings,ENG,DF,32,14,1120.0,80.0,34.6,12.4,12,81.0,9,2,73.0,11,2.29,26.0,11.0,15.0,1.21,1.54,23.5,13.1,10.5,0.84,0.96
Maatsen,NED,DF,23,27,959.0,36.0,29.6,10.7,8,75.0,4,19,19.0,8,1.78,22.0,14.0,8.0,0.75,0.79,22.2,13.8,8.5,0.79,0.83
Carlos,BRA,DF,32,10,830.0,83.0,25.6,9.2,8,90.0,8,2,55.0,7,1.3,14.0,15.0,-1.0,-0.11,-0.41,13.8,11.8,2.0,0.22,0.01
Asensio,ESP,MF,29,11,609.0,55.0,18.8,6.8,7,74.0,2,4,23.0,0,2.09,16.0,8.0,8.0,1.18,1.22,12.7,9.5,3.2,0.47,0.32
Disasi,FRA,DF,27,7,490.0,70.0,15.1,5.4,5,90.0,5,2,20.0,3,1.57,8.0,9.0,-1.0,-0.18,-0.45,8.2,10.4,-2.2,-0.41,-0.73
Bogarde,NED,"DF,MF",21,8,476.0,60.0,14.7,5.3,5,77.0,2,3,30.0,13,1.5,10.0,11.0,-1.0,-0.19,-0.45,7.5,9.3,-1.8,-0.34,-0.65
García,ESP,"DF,MF",22,7,318.0,45.0,9.8,3.5,5,58.0,1,2,14.0,7,1.57,7.0,5.0,2.0,0.57,0.41,5.8,6.6,-0.7,-0.21,-0.47
Durán,COL,FW,21,20,638.0,32.0,19.7,7.1,4,60.0,0,16,25.0,1,1.5,12.0,12.0,0.0,0.0,-0.24,9.2,9.7,-0.5,-0.07,-0.36
Rashford,ENG,FW,27,10,444.0,44.0,13.7,4.9,4,68.0,0,6,29.0,0,2.0,7.0,6.0,1.0,0.2,0.01,8.9,6.9,2.0,0.41,0.23
Barkley,ENG,MF,31,18,571.0,32.0,17.6,6.3,3,85.0,2,15,21.0,4,1.78,10.0,9.0,1.0,0.16,-0.04,11.4,5.4,6.0,0.94,0.89
Jaden Philogene Bidace,ENG,"FW,MF",23,11,332.0,30.0,10.2,3.7,2,78.0,1,9,20.0,3,1.64,2.0,5.0,-3.0,-0.81,-1.12,4.7,4.7,0.0,-0.01,-0.25
Malen,NED,FW,26,12,293.0,24.0,9.0,3.3,2,62.0,0,10,17.0,3,2.0,7.0,5.0,2.0,0.61,0.46,6.7,3.9,2.8,0.85,0.7
Olsen,SWE,GK,35,3,180.0,60.0,5.6,2.0,1,90.0,1,2,45.0,25,1.0,2.0,4.0,-2.0,-1.0,-1.26,2.2,3.6,-1.4,-0.72,-0.99
Nedeljković,SRB,DF,19,5,126.0,25.0,3.9,1.4,0,,0,5,25.0,11,1.2,0.0,4.0,-4.0,-2.86,-3.18,1.9,2.1,-0.2,-0.13,-0.36
Buendía,ARG,"MF,FW",28,12,98.0,8.0,3.0,1.1,0,,0,12,8.0,11,2.0,1.0,2.0,-1.0,-0.92,-1.15,1.9,2.0,-0.1,-0.08,-0.3
Broggio,ENG,FW,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
Gauci,AUS,GK,24,0,,,,,0,,0,0,,10,,,,,,,,,,,
Jimoh,ENG,MF,18,0,,,,,0,,0,0,,7,,,,,,,,,,,
Swinkels,NED,DF,21,0,,,,,0,,0,0,,5,,,,,,,,,,,
Young,ENG,MF,19,0,,,,,0,,0,0,,3,,,,,,,,,,,
Zych,POL,GK,20,0,,,,,0,,0,0,,9,,,,,,,,,,,
