player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Leno,GER,GK,33,36,3240.0,90.0,100.0,36.0,36,90.0,36,0,,0,1.42,51.0,50.0,1.0,0.03,,46.8,41.7,5.1,0.14,
Iwobi,NGA,"FW,MF",29,36,2886.0,80.0,89.1,32.1,34,83.0,14,2,24.0,0,1.42,39.0,42.0,-3.0,-0.09,-1.11,38.0,34.4,3.6,0.11,-0.27
Robinson,USA,DF,27,34,2989.0,88.0,92.3,33.2,33,90.0,33,1,19.0,0,1.41,46.0,45.0,1.0,0.03,0.03,42.6,38.8,3.8,0.11,-0.37
Bassey,NGA,DF,25,34,2984.0,88.0,92.1,33.2,33,90.0,33,1,14.0,1,1.47,46.0,45.0,1.0,0.03,0.03,43.5,36.3,7.2,0.22,0.96
Jiménez,MEX,FW,34,36,2314.0,64.0,71.4,25.7,28,78.0,7,8,18.0,0,1.42,28.0,33.0,-5.0,-0.19,-0.78,32.2,27.5,4.7,0.18,0.14
Andersen,DEN,DF,28,27,2403.0,89.0,74.2,26.7,27,89.0,26,0,,2,1.44,40.0,38.0,2.0,0.07,0.18,37.3,30.3,7.0,0.26,0.46
Lukić,SRB,MF,28,28,2169.0,77.0,66.9,24.1,26,81.0,9,2,31.0,0,1.36,34.0,33.0,1.0,0.04,0.04,30.6,27.0,3.6,0.15,0.03
Berge,NOR,MF,27,29,2174.0,75.0,67.1,24.2,25,83.0,16,4,28.0,0,1.48,32.0,33.0,-1.0,-0.04,-0.21,29.0,28.0,1.0,0.04,-0.3
Pereira,BRA,MF,29,32,1953.0,61.0,60.3,21.7,24,74.0,3,8,22.0,1,1.44,31.0,31.0,0.0,0.0,-0.07,28.6,24.9,3.7,0.17,0.07
Emile Smith Rowe,ENG,MF,24,32,1948.0,61.0,60.1,21.6,24,73.0,0,8,24.0,0,1.38,28.0,25.0,3.0,0.14,0.28,28.2,21.9,6.3,0.29,0.38
