Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Unnamed: 26_level_0 Matches
James Mcatee,eng ENG,"MF,FW",22-207,15,349.0,23.0,10.8,3.9,3,66.0,0,12,13.0,20,2.33,9.0,6.0,3.0,0.77,0.12,7.5,5.2,2.3,0.59,0.09,Matches
Jahmai Simpson-Pusey,eng ENG,DF,19-190,2,96.0,48.0,3.0,1.1,1,90.0,1,1,6.0,8,0.5,1.0,2.0,-1.0,-0.94,-1.65,2.2,2.3,-0.2,-0.14,-0.67,Matches
Rodri,es ESP,MF,28-325,2,65.0,33.0,2.0,0.7,1,20.0,0,1,45.0,1,2.0,1.0,0.0,1.0,1.38,0.73,2.2,0.0,2.1,2.93,2.47,Matches
Divin Mubama,eng ENG,FW,20-200,1,28.0,28.0,0.9,0.3,0,,0,1,28.0,4,3.0,1.0,0.0,1.0,3.21,2.57,0.6,0.0,0.6,1.97,1.47,Matches
Oscar Bobb,no NOR,FW,21-305,2,15.0,8.0,0.5,0.2,0,,0,2,8.0,0,3.0,0.0,0.0,0.0,0.0,-0.67,0.2,0.2,0.0,0.01,-0.5,Matches
Vitor Reis,br BRA,DF,19-121,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,8,3.0,0.0,0.0,0.0,0.0,-0.67,0.0,0.0,0.0,0.0,-0.51,Matches
Max Alleyne,eng ENG,DF,19-259,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Thorsten Brits,eng ENG,GK,17-323,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Scott Carson,eng ENG,GK,39-252,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
Issa Kaboré,bf BFA,"DF,MF",24-001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Josh Wilson-Esbrand,eng ENG,DF,22-138,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Jacob Wright,eng ENG,MF,19-234,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Squad Total,,,27.6,36,3240.0,90.0,100.0,36.0,396,85.0,274,122,16.0,198,1.81,67.0,43.0,24.0,0.67,,63.6,45.3,18.3,0.51,,
Opponent Total,,,27.0,36,3240.0,90.0,100.0,36.0,396,85.0,243,152,18.0,171,0.97,43.0,67.0,-24.0,-0.67,,45.3,63.6,-18.3,-0.51,,
