Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
Aït-Nouri,ALG,DF,23-342,35,2955,84,91.2,32.8,35,84,17,0,,0,1.09,44,62,-18,-0.55,-2.13,36.5,49.8,-13.2,-0.40,-0.23,Matches
Gomes,BRA,MF,24-091,34,2839,84,87.6,31.5,34,84,17,0,,0,1.12,43,55,-12,-0.38,-0.16,34.4,47.4,-13.0,-0.41,-0.23,Matches
Semedo,POR,DF,31-179,32,2751,86,84.9,30.6,31,88,20,1,22,0,1.28,47,46,+1,+0.03,+2.61,34.8,45.2,-10.4,-0.34,+0.29,Matches
Jørgen Strand Larsen,NOR,FW,25-097,33,2495,76,77.0,27.7,29,81,11,4,37,0,1.15,40,49,-9,-0.32,+0.16,30.9,41.8,-10.9,-0.39,-0.04,Matches
André,BRA,MF,23-302,31,2337,75,72.1,26.0,29,80,13,2,3,2,1.19,37,43,-6,-0.23,+0.47,28.2,38.0,-9.8,-0.38,+0.02,Matches
Sá,POR,GK,32-117,28,2520,90,77.8,28.0,28,90,28,0,,4,1.32,41,47,-6,-0.21,+0.66,34.2,40.7,-6.5,-0.23,+0.68,Matches
Cunha,BRA,"MF,FW",25-352,31,2483,80,76.6,27.6,28,85,18,3,33,0,1.00,40,52,-12,-0.43,-0.32,31.3,42.6,-11.3,-0.41,-0.11,Matches
Gomes,POR,DF,26-118,29,2434,84,75.1,27.0,28,86,25,1,14,1,1.38,41,40,+1,+0.04,+1.60,31.2,38.3,-7.1,-0.26,+0.49,Matches
Doherty,IRL,DF,33-118,29,2023,70,62.4,22.5,24,82,16,5,9,7,1.34,26,37,-11,-0.49,-0.34,26.9,31.5,-4.7,-0.21,+0.47,Matches
Bellegarde,FRA,"MF,FW",26-321,33,1583,48,48.9,17.6,19,68,0,14,21,2,1.12,27,27,0,0.00,+0.71,21.4,24.5,-3.1,-0.18,+0.40,Matches
Bueno,URU,DF,26-186,28,1683,60,51.9,18.7,18,87,14,10,12,7,1.32,26,34,-8,-0.43,-0.14,22.5,29.0,-6.5,-0.35,+0.07,Matches
Lemina,GAB,"MF,DF",31-255,17,1364,80,42.1,15.2,15,87,13,2,30,0,0.53,22,39,-17,-1.12,-1.31,15.3,27.2,-11.9,-0.78,-0.69,Matches
Agbadou,CIV,DF,27-331,14,1230,88,38.0,13.7,14,88,13,0,,0,1.57,17,17,0,0.00,+0.58,16.7,19.7,-3.0,-0.22,+0.27,Matches
Munetsi,ZIM,"MF,FW",28-326,12,968,81,29.9,10.8,11,84,9,1,45,0,1.83,17,9,+8,+0.74,+1.58,14.8,12.8,+2.1,+0.19,+0.82,Matches
Dawson,ENG,DF,35-008,15,971,65,30.0,10.8,10,89,9,5,17,6,0.87,16,25,-9,-0.83,-0.68,10.6,18.7,-8.1,-0.75,-0.52,Matches
Guedes,POR,"MF,FW",28-166,27,841,31,26.0,9.3,8,65,0,19,17,4,0.96,14,20,-6,-0.64,-0.38,11.1,16.1,-5.0,-0.53,-0.20,Matches
Johnstone,ENG,GK,32-050,7,630,90,19.4,7.0,7,90,7,0,,16,0.14,9,17,-8,-1.14,-0.97,6.9,13.1,-6.2,-0.89,-0.62,Matches
Sarabia,ESP,"MF,FW",33-003,22,748,34,23.1,8.3,6,63,0,16,23,6,1.30,12,16,-4,-0.48,-0.16,10.9,14.6,-3.7,-0.45,-0.08,Matches
Gomes,POR,"DF,FW",21-311,23,704,31,21.7,7.8,6,75,1,17,15,9,1.26,15,17,-2,-0.26,+0.13,9.1,14.7,-5.6,-0.71,-0.42,Matches
Hee-chan,KOR,"MF,FW",29-108,20,651,33,20.1,7.2,5,69,1,15,20,7,0.90,8,18,-10,-1.38,-1.28,8.3,12.2,-3.9,-0.53,-0.19,Matches
Mosquera,COL,DF,24-012,5,441,88,13.6,4.9,5,88,4,0,,0,0.20,5,12,-7,-1.43,-1.24,4.9,6.0,-1.1,-0.22,+0.19,Matches
Doyle,ENG,MF,23-209,24,488,20,15.1,5.4,3,70,1,21,13,9,0.96,7,10,-3,-0.55,-0.23,6.9,10.3,-3.4,-0.63,-0.30,Matches
Forbs,POR,"MF,FW",21-056,10,239,24,7.4,2.7,1,67,0,9,19,17,0.80,7,9,-2,-0.75,-0.42,3.2,8.4,-5.2,-1.97,-1.72,Matches
Bentley,ENG,GK,31-305,1,90,90,2.8,1.0,1,90,1,0,,16,3.00,1,0,+1,+1.00,+1.40,0.2,1.3,-1.1,-1.07,-0.71,Matches
Lima,BRA,DF,18-317,3,70,23,2.2,0.8,1,58,0,2,6,16,1.00,0,2,-2,-2.57,-2.26,1.4,0.7,+0.7,+0.90,+1.31,Matches
