player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Kerkez,HUN,DF,21,36,3164,88,97.7,35.2,36,88,31,0,,0,1.47,50,43,+7,+0.20,-5.72,56.9,46.3,+10.6,+0.30,-4.47
Semenyo,GHA,FW,25,35,3023,86,93.3,33.6,34,88,26,1,26,0,1.43,50,38,+12,+0.36,+0.36,55.0,42.0,+13.1,+0.39,-0.26
Zabarnyi,UKR,DF,22,34,2929,86,90.4,32.5,33,87,28,1,45,0,1.53,50,38,+12,+0.37,+0.37,54.5,40.2,+14.3,+0.44,+0.35
Cook,ENG,"MF,DF",28,35,2906,83,89.7,32.3,31,90,30,4,31,0,1.43,47,41,+6,+0.19,-1.43,54.3,43.1,+11.1,+0.35,-0.59
Arrizabalaga,ESP,GK,30,29,2610,90,80.6,29.0,29,90,29,0,,1,1.48,47,36,+11,+0.38,+0.24,50.8,36.5,+14.3,+0.49,+0.46
Kluivert,NED,"MF,FW",26,32,2206,69,68.1,24.5,27,74,5,5,40,0,1.50,36,27,+9,+0.37,+0.11,40.8,30.9,+9.9,+0.40,-0.01
Christie,SCO,MF,30,29,2117,73,65.3,23.5,27,76,10,2,28,0,1.52,40,28,+12,+0.51,+0.51,40.8,29.9,+10.9,+0.46,+0.17
Evanilson,BRA,FW,25,29,2148,74,66.3,23.9,26,80,7,3,23,1,1.45,32,27,+5,+0.21,-0.37,41.7,24.9,+16.8,+0.70,+0.88
Huijsen,ESP,DF,20,30,2324,77,71.7,25.8,25,90,25,5,15,6,1.50,40,28,+12,+0.46,+0.46,43.3,35.5,+7.7,+0.30,-0.38
Ouattara,BFA,FW,23,32,2005,63,61.9,22.3,21,81,7,11,27,0,1.56,36,23,+13,+0.58,+0.66,35.9,31.2,+4.7,+0.21,-0.51
Adams,USA,MF,26,26,1785,69,55.1,19.8,19,84,13,7,26,1,1.46,38,27,+11,+0.55,+0.49,32.8,27.1,+5.7,+0.29,-0.26
Tavernier,ENG,"FW,MF",26,27,1760,65,54.3,19.6,18,85,10,9,26,0,1.44,26,26,0,0.00,-0.73,33.4,23.5,+9.9,+0.51,+0.22
Smith,ENG,DF,34,23,1478,64,45.6,16.4,18,74,6,5,29,1,1.48,22,17,+5,+0.30,-0.05,27.8,18.5,+9.3,+0.57,+0.30
Senesi,ARG,DF,28,16,1029,64,31.8,11.4,12,80,7,4,17,3,1.38,18,17,+1,+0.09,-0.36,21.9,14.1,+7.8,+0.68,+0.40
Brooks,WAL,"FW,MF",27,27,853,32,26.3,9.5,8,68,0,19,16,7,1.41,22,11,+11,+1.16,+1.12,19.3,14.3,+5.0,+0.53,+0.16
Scott,ENG,MF,21,19,754,40,23.3,8.4,8,59,0,11,26,1,1.26,10,8,+2,+0.24,-0.12,11.9,10.0,+1.9,+0.23,-0.23
Hill,ENG,DF,23,10,448,45,13.8,5.0,6,68,1,4,11,20,1.30,7,9,-2,-0.40,-0.85,10.5,8.5,+1.9,+0.39,-0.02
Araujo,MEX,DF,23,11,429,39,13.2,4.8,6,61,0,5,12,6,1.18,2,8,-6,-1.26,-1.84,6.0,8.0,-2.0,-0.43,-0.96
Travers,IRL,GK,25,5,450,90,13.9,5.0,5,90,5,0,,18,1.60,6,5,+1,+0.20,-0.15,7.0,7.3,-0.2,-0.05,-0.53
Ünal,TUR,"FW,MF",28,17,345,20,10.6,3.8,2,62,0,15,15,0,1.65,6,3,+3,+0.78,+0.50,7.8,6.3,+1.5,+0.38,-0.03
Neto,BRA,GK,35,2,180,90,5.6,2.0,2,90,2,0,,0,1.00,2,2,0,0.00,-0.35,3.5,2.9,+0.5,+0.25,-0.16
Sinisterra,COL,"FW,MF",25,12,236,20,7.3,2.6,1,62,0,11,16,1,1.25,5,4,+1,+0.38,+0.05,6.5,3.9,+2.6,+0.98,+0.62
Billing,DEN,MF,28,10,184,18,5.7,2.0,1,72,0,9,12,3,1.90,5,4,+1,+0.49,+0.17,5.4,3.3,+2.2,+1.05,+0.69
Aarons,ENG,DF,25,3,86,29,2.7,1.0,1,61,0,2,13,11,0.67,2,0,+2,+2.09,+1.81,2.3,0.3,+2.0,+2.12,+1.76
Jebbison,ENG,FW,21,14,83,6,2.6,0.9,0,,0,14,6,4,1.21,4,1,+3,+3.25,+3.00,2.6,1.9,+0.7,+0.77,+0.37
Winterburn,ENG,"FW,MF",20,3,23,8,0.7,0.3,0,,0,3,8,15,1.67,2,0,+2,+7.83,+7.55,1.2,0.2,+1.1,+4.13,+3.75
Soler,ARG,FW,20,1,2,2,0.1,0.0,0,,0,1,2,10,3.00,0,0,0,0.00,-0.33,0.0,0.0,0.0,0.00,-0.41
Rees-Dottin,ENG,FW,19,1,1,1,0.0,0.0,0,,0,1,1,6,3.00,0,0,0,0.00,-0.33,0.0,0.0,0.0,0.00,-0.41
Silcott-Duberry,MSR,FW,19,1,1,1,0.0,0.0,0,,0,1,1,5,3.00,0,0,0,0.00,-0.33,0.2,0.0,+0.2,+14.02,+13.62
Adu-Adjei,ENG,FW,19,0,,,,,0,,0,0,,4,,,,,,,,,,,
,,,na,,Time,Time,Time,Time,Starts,Starts,Starts,Subs,Subs,Subs,Success,Success,Success,Success,Success,Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Player,Nation,Pos,Ag,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Akinmboni,USA,DF,18,0,,,,,0,,0,0,,7,,,,,,,,,,,
Anthony,ENG,"FW,MF",25,0,,,,,0,,0,0,,2,,,,,,,,,,,
Dennis,ENG,GK,24,0,,,,,0,,0,0,,19,,,,,,,,,,,
Harris,ENG,DF,20,0,,,,,0,,0,0,,2,,,,,,,,,,,
Hamed Junior Traorè,CIV,"FW,MF",25,0,,,,,0,,0,0,,1,,,,,,,,,,,
Mckenna,SCO,GK,18,0,,,,,0,,0,0,,1,,,,,,,,,,,
Sadi,ENG,MF,21,0,,,,,0,,0,0,,1,,,,,,,,,,,
Wellings,ENG,DF,20,0,,,,,0,,0,0,,14,,,,,,,,,,,
