player,nation,position,age,matches_played,minutes_played,minutes_per_match,percent_of_squad_mins_played,90s_played,starts,minutes_per_start,complete_matches_played,sub_appearances,minutes_per_sub,matches_as_unused_sub,points_per_match,goals_scored_by_team_while_on_pitch,goals_allowed_by_team_while_on_pitch,goals_scored_goals_allowed_while_on_pitch_diff,goals_scored_goals_allowed_while_on_pitch_diff_per_ninety_played,net_goals_scored_while_player_on_pitch_minus_net_goals_allowed_while_player_on_pitch_per_ninety,team_xG_while_on_pitch,team_xGA_while_on_pitch,team_xGdiff_while_on_pitch,team_xGdiff_while_on_pitch_per_ninety,team_xG_plus_minus_net_diff_while_on_pitch
Vardy,ENG,FW,38,34,2744,81,84.7,30.5,34,81,20,0,,0,0.65,26,68,-42,-1.38,-0.47,26.8,60.6,-33.8,-1.11,-0.47
Justin,ENG,DF,27,34,2759,81,85.2,30.7,32,85,22,2,27,1,0.62,30,66,-36,-1.17,+0.88,27.3,59.8,-32.5,-1.06,-0.16
Faes,BEL,DF,27,32,2635,82,81.3,29.3,28,90,28,4,29,1,0.66,27,61,-34,-1.16,+0.77,26.7,54.3,-27.6,-0.94,+0.50
Victor Bernth Kristiansen,DEN,DF,22,29,2394,83,73.9,26.6,28,85,20,1,14,4,0.62,19,60,-41,-1.54,-0.90,20.4,51.9,-31.5,-1.18,-0.57
Hermansen,DEN,GK,24,27,2385,88,73.6,26.5,27,88,26,0,,0,0.56,23,58,-35,-1.32,-0.06,22.4,54.1,-31.7,-1.20,-0.61
Ndidi,NGA,MF,28,27,2237,83,69.0,24.9,27,83,15,0,,0,0.70,22,48,-26,-1.05,+0.84,19.9,47.0,-27.1,-1.09,-0.17
Bilal El Khannouss,MAR,MF,21,31,2092,67,64.6,23.2,26,77,7,5,16,3,0.55,15,54,-39,-1.68,-1.05,19.2,46.2,-27.0,-1.16,-0.36
Soumaré,FRA,MF,26,29,1991,69,61.5,22.1,23,83,17,6,15,4,0.59,15,50,-35,-1.58,-0.72,18.6,42.7,-24.1,-1.09,-0.14
Winks,ENG,MF,29,22,1538,70,47.5,17.1,17,80,12,5,34,3,0.45,17,34,-17,-0.99,+0.59,16.4,28.9,-12.5,-0.73,+0.58
Coady,ENG,DF,32,20,1534,77,47.3,17.0,17,89,14,3,7,13,0.65,14,40,-26,-1.53,-0.42,14.0,35.2,-21.1,-1.24,-0.38
Ayew,GHA,"FW,MF",33,28,1485,53,45.8,16.5,17,77,3,11,16,6,0.71,16,39,-23,-1.39,-0.16,15.2,26.3,-11.1,-0.67,+0.67
Mavididi,ENG,FW,26,30,1615,54,49.8,17.9,16,81,3,14,23,3,0.50,18,38,-20,-1.11,+0.38,17.9,36.1,-18.1,-1.01,+0.05
Vestergaard,DEN,DF,32,18,1391,77,42.9,15.5,16,81,10,2,51,2,0.50,7,35,-28,-1.81,-0.89,12.0,24.8,-12.9,-0.83,+0.36
Buonanotte,ARG,"FW,MF",20,30,1504,50,46.4,16.7,14,80,6,16,24,2,0.53,17,31,-14,-0.84,+0.87,16.7,28.2,-11.4,-0.68,+0.66
Okoli,ITA,DF,23,19,1125,59,34.7,12.5,12,85,8,7,16,16,0.53,15,26,-11,-0.88,+0.65,11.8,27.0,-15.2,-1.21,-0.27
Thomas,ENG,DF,23,12,949,79,29.3,10.5,11,86,8,1,4,11,0.42,6,23,-17,-1.61,-0.43,7.2,21.9,-14.7,-1.39,-0.50
Skipp,ENG,MF,24,22,1055,48,32.6,11.7,9,74,3,13,30,11,0.73,12,26,-14,-1.19,+0.16,11.0,24.1,-13.1,-1.12,-0.13
Bobby De Cordova-Reid,JAM,FW,32,23,744,32,23.0,8.3,9,67,0,14,10,9,0.65,9,17,-8,-0.97,+0.44,7.1,14.6,-7.5,-0.90,+0.17
Stolarczyk,POL,GK,24,8,720,90,22.2,8.0,8,90,8,0,,11,0.88,8,14,-6,-0.75,+0.71,8.3,11.4,-3.1,-0.38,+0.84
McAteer,IRL,"FW,MF",23,16,688,43,21.2,7.6,7,77,1,9,16,2,0.69,8,15,-7,-0.92,+0.49,9.1,16.8,-7.7,-1.01,+0.04
Abdul Fatawu Issahaku,GHA,FW,21,11,579,53,17.9,6.4,6,86,5,5,12,0,0.91,7,14,-7,-1.09,+0.26,6.8,10.7,-3.9,-0.60,+0.53
Daka,ZAM,"FW,MF",26,21,654,31,20.2,7.3,5,72,1,16,18,4,0.52,7,16,-9,-1.24,+0.08,6.2,15.7,-9.5,-1.32,-0.35
Pereira,POR,DF,31,8,342,43,10.6,3.8,4,68,0,4,17,8,0.25,2,6,-4,-1.05,+0.28,2.9,6.1,-3.2,-0.84,+0.22
Ward,WAL,GK,31,2,135,68,4.2,1.5,1,90,1,1,45,14,0.00,0,6,-6,-4.00,-2.81,0.9,3.4,-2.5,-1.70,-0.69
Choudhury,BAN,"MF,DF",27,4,131,33,4.0,1.5,1,58,0,3,24,11,0.25,0,5,-5,-3.44,-2.22,0.9,5.3,-4.4,-2.97,-2.02
Coulibaly,FRA,DF,25,4,109,27,3.4,1.2,1,45,0,3,21,6,0.75,0,6,-6,-4.95,-3.78,0.7,2.5,-1.7,-1.46,-0.43
Monga,,"FW,MF",na,5,66,13,2.0,0.7,0,,0,5,13,0,0.80,1,1,0,0.00,+1.33,0.8,0.8,0.0,+0.07,+1.13
Édouard,FRA,FW,27,4,29,7,0.9,0.3,0,,0,4,7,3,1.00,0,1,-1,-3.10,-1.81,0.1,1.6,-1.5,-4.64,-3.64
Evans,,FW,na,2,8,4,0.2,0.1,0,,0,2,4,1,2.00,0,0,0,0.00,+1.31,0.0,0.0,0.0,-0.35,+0.69
Alves,ENG,FW,20,1,1,1,0.0,0.0,0,,0,1,1,2,0.00,0,0,0,0.00,+1.31,0.0,0.0,0.0,+2.92,+3.96
,,,na,Time,Time,Time,Time,Time,Starts,Starts,Starts,Subs,Subs,Subs,Success,Success,Success,Success,Success,Success,Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG),Team Success (xG)
Player,Nation,Pos,Ag,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off
Golding,ENG,MF,18,1,1,1,0.0,0.0,0,,0,1,1,0,3.00,0,0,0,0.00,+1.31,0.0,0.0,0.0,0.00,+1.04
Aluko,,MF,na,0,,,,,0,,0,0,,1,,,,,,,,,,,
Cannon,IRL,FW,22,0,,,,,0,,0,0,,1,,,,,,,,,,,
Cartwright,ENG,MF,20,0,,,,,0,,0,0,,1,,,,,,,,,,,
Iversen,DEN,GK,27,0,,,,,0,,0,0,,10,,,,,,,,,,,
Nelson,ENG,DF,21,0,,,,,0,,0,0,,1,,,,,,,,,,,
Wilson-Brown,ENG,MF,20,0,,,,,0,,0,0,,1,,,,,,,,,,,
