Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Unnamed: 26_level_0 Matches
Pedro Porro,es ESP,DF,25-242,32,2520,79,77.8,28.0,27,88,23,5,26,4,1.16,53,43,+10,+0.36,+1.11,46.6,47.9,-1.4,-0.05,+0.21,Matches
Dejan Kulusevski,se SWE,"MF,FW",25-018,32,2389,75,73.7,26.5,27,84,22,5,24,0,1.06,50,41,+9,+0.34,+0.87,44.9,43.1,+1.8,+0.07,+0.63,Matches
Dominic Solanke,eng ENG,FW,27-241,25,2119,85,65.4,23.5,24,87,18,1,24,1,0.96,44,41,+3,+0.13,+0.05,38.3,39.3,-0.9,-0.04,+0.17,Matches
Brennan Johnson,wls WAL,FW,23-355,31,2083,67,64.3,23.1,23,79,13,8,34,2,1.10,39,34,+5,+0.22,+0.29,37.5,36.6,+1.0,+0.04,+0.39,Matches
Guglielmo Vicario,it ITA,GK,28-218,23,2070,90,63.9,23.0,23,90,23,0,,1,1.30,42,33,+9,+0.39,+0.78,39.7,31.0,+8.8,+0.38,+1.32,Matches
Son Heung-min,kr KOR,FW,32-309,29,2037,70,62.9,22.6,23,79,11,6,35,0,1.17,44,33,+11,+0.49,+1.01,35.6,37.7,-2.1,-0.09,+0.01,Matches
Destiny Udogie,it ITA,DF,22-166,24,1834,76,56.6,20.4,23,80,13,1,4,5,1.17,35,31,+4,+0.20,+0.20,32.4,31.0,+1.4,+0.07,+0.38,Matches
James Maddison,eng ENG,MF,28-171,31,1809,58,55.8,20.1,21,75,1,10,24,1,1.10,37,32,+5,+0.25,+0.31,31.5,33.0,-1.5,-0.08,+0.05,Matches
Pape Matar Sarr,sn SEN,MF,22-241,34,1816,53,56.0,20.2,20,72,6,14,27,2,1.03,33,38,-5,-0.25,-0.82,29.0,35.8,-6.7,-0.33,-0.54,Matches
Rodrigo Bentancur,uy URU,MF,27-322,24,1563,65,48.2,17.4,20,75,7,4,15,1,1.13,25,24,+1,+0.06,-0.10,28.0,25.0,+3.0,+0.18,+0.53,Matches
