Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Unnamed: 4_level_0 MP,Playing Time Min,Playing Time Mn/MP,Playing Time Min%,Playing Time 90s,Starts Starts,Starts Mn/Start,Starts Compl,Subs Subs,Subs Mn/Sub,Subs unSub,Team Success PPM,Team Success onG,Team Success onGA,Team Success +/-,Team Success +/-90,Team Success On-Off,Team Success (xG) onxG,Team Success (xG) onxGA,Team Success (xG) xG+/-,Team Success (xG) xG+/-90,Team Success (xG) On-Off,Unnamed: 26_level_0 Matches
Chiedozie Ogbene,ie IRL,FW,28-012,5,238.0,48.0,7.3,2.6,3,63.0,0,2,25.0,2,0.6,4.0,3.0,1.0,0.38,1.67,1.7,2.3,-0.6,-0.24,0.89,Matches
Massimo Luongo,au AUS,MF,32-230,9,196.0,22.0,6.0,2.2,2,68.0,0,7,9.0,11,0.67,1.0,6.0,-5.0,-2.3,-1.2,0.7,6.6,-5.9,-2.71,-1.74,Matches
Ben Godfrey,eng ENG,DF,27-118,3,159.0,53.0,4.9,1.8,2,54.0,0,1,51.0,7,0.0,1.0,10.0,-9.0,-5.09,-4.13,1.4,5.7,-4.3,-2.43,-1.43,Matches
Ali Al Hamadi,iq IRQ,FW,23-073,11,134.0,12.0,4.1,1.5,0,,0,11,12.0,2,0.82,1.0,5.0,-4.0,-2.69,-1.59,1.4,3.7,-2.3,-1.56,-0.51,Matches
Marcus Harness,eng ENG,MF,29-078,2,45.0,23.0,1.4,0.5,0,,0,2,23.0,0,0.0,0.0,2.0,-2.0,-4.0,-2.87,0.1,1.3,-1.2,-2.37,-1.32,Matches
George Edmundson,eng ENG,DF,27-255,1,2.0,2.0,0.1,0.0,0,,0,1,2.0,0,0.0,0.0,0.0,0.0,0.0,1.17,0.0,0.0,0.0,0.0,1.07,Matches
Somto Boniface,eng ENG,DF,19-063,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Cieran Slicker,sct SCO,GK,22-240,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
Tom Taylor,,MF,,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Squad Total,,,26.6,36,3240.0,90.0,100.0,36.0,396,82.0,225,168,17.0,156,0.61,35.0,77.0,-42.0,-1.17,,32.2,70.8,-38.6,-1.07,,
Opponent Total,,,27.0,36,3240.0,90.0,100.0,36.0,396,82.0,243,152,18.0,170,2.11,77.0,35.0,42.0,1.17,,70.8,32.2,38.6,1.07,,
