Player,Nation,Pos,Age,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off.1
Kilman,ENG,DF,27-356,36,3168.0,88.0,97.8,35.2,36,88.0,35,0,,0,1.11,41.0,59.0,-18.0,-0.51,-1.76,43.6,56.2,-12.6,-0.36,-0.8
Wan-Bissaka,ENG,DF,27-169,34,2974.0,87.0,91.8,33.0,33,89.0,31,1,29.0,1,1.15,40.0,56.0,-16.0,-0.48,-0.15,40.1,53.5,-13.4,-0.41,-0.81
Bowen,ENG,"FW,MF",28-145,32,2793.0,87.0,86.2,31.0,32,87.0,25,0,,0,1.13,37.0,47.0,-10.0,-0.32,1.09,39.3,47.9,-8.7,-0.28,0.43
Kudus,GHA,"FW,MF",24-285,30,2493.0,83.0,76.9,27.7,30,83.0,14,0,,0,1.1,32.0,44.0,-12.0,-0.43,0.17,33.2,40.8,-7.7,-0.28,0.27
Souček,CZE,MF,30-076,33,2420.0,73.0,74.7,26.9,28,82.0,19,5,27.0,1,1.21,35.0,42.0,-7.0,-0.26,0.84,36.0,41.2,-5.2,-0.19,0.58
Paquetá,BRA,"MF,FW",27-260,31,2336.0,75.0,72.1,26.0,27,82.0,16,4,32.0,1,0.9,32.0,49.0,-17.0,-0.65,-0.65,28.1,42.1,-14.1,-0.54,-0.73
Palmieri,ITA,DF,30-284,31,2113.0,68.0,65.2,23.5,26,77.0,7,5,24.0,3,1.16,32.0,41.0,-9.0,-0.38,0.26,28.0,37.1,-9.1,-0.39,-0.14
Areola,FRA,GK,32-076,25,2170.0,87.0,67.0,24.1,24,88.0,23,1,55.0,7,1.0,28.0,39.0,-11.0,-0.46,0.05,29.0,35.4,-6.4,-0.27,0.23
Mavropanos,GRE,DF,27-154,32,1955.0,61.0,60.3,21.7,20,85.0,16,12,22.0,2,1.09,19.0,37.0,-18.0,-0.83,-0.9,24.8,36.0,-11.2,-0.52,-0.44
Álvarez,MEX,MF,27-202,26,1660.0,64.0,51.2,18.4,19,75.0,4,7,32.0,2,1.23,16.0,27.0,-11.0,-0.6,-0.25,21.9,28.7,-6.8,-0.37,-0.06
Todibo,FRA,DF,25-135,25,1646.0,66.0,50.8,18.3,18,79.0,8,7,31.0,5,1.36,26.0,30.0,-4.0,-0.22,0.52,24.4,26.7,-2.3,-0.13,0.43
Rodríguez,ARG,MF,31-032,21,1081.0,51.0,33.4,12.0,15,70.0,3,6,5.0,13,1.43,18.0,18.0,0.0,0.0,0.71,16.9,19.0,-2.1,-0.18,0.25
Soler,ESP,"MF,FW",28-132,30,1376.0,46.0,42.5,15.3,14,67.0,1,16,28.0,2,1.2,15.0,24.0,-9.0,-0.59,-0.2,16.2,27.7,-11.5,-0.75,-0.71
Fabiański,POL,GK,40-026,13,1070.0,82.0,33.0,11.9,12,85.0,11,1,45.0,20,1.38,14.0,20.0,-6.0,-0.5,-0.05,15.8,21.7,-5.8,-0.49,-0.23
Antonio,JAM,FW,35-047,14,836.0,60.0,25.8,9.3,11,66.0,0,3,37.0,0,1.07,13.0,18.0,-5.0,-0.54,-0.09,11.4,17.8,-6.4,-0.69,-0.47
Coufal,CZE,DF,32-265,20,958.0,48.0,29.6,10.6,10,77.0,4,10,19.0,11,0.95,10.0,19.0,-9.0,-0.85,-0.53,16.1,17.3,-1.1,-0.11,0.33
Ward-Prowse,ENG,MF,30-194,13,903.0,69.0,27.9,10.0,10,83.0,6,3,25.0,1,1.0,10.0,9.0,1.0,0.1,0.79,11.3,11.8,-0.5,-0.05,0.4
Cresswell,ENG,DF,35-150,16,766.0,48.0,23.6,8.5,9,78.0,4,7,9.0,13,1.81,8.0,7.0,1.0,0.12,0.77,9.2,11.2,-2.1,-0.24,0.13
Summerville,NED,"FW,MF",23-196,19,786.0,41.0,24.3,8.7,7,67.0,1,12,26.0,1,1.05,13.0,20.0,-7.0,-0.8,-0.43,13.6,17.1,-3.5,-0.4,-0.08
Scarles,ENG,DF,19-153,14,594.0,42.0,18.3,6.6,6,70.0,2,8,22.0,6,1.0,4.0,8.0,-4.0,-0.61,-0.16,7.3,9.4,-2.2,-0.33,0.02
Füllkrug,GER,FW,32-094,16,686.0,43.0,21.2,7.6,5,74.0,1,11,29.0,1,0.88,13.0,16.0,-3.0,-0.39,0.1,11.6,13.0,-1.4,-0.19,0.2
Ings,ENG,"FW,MF",32-295,15,284.0,19.0,8.8,3.2,1,45.0,0,14,17.0,14,1.07,4.0,4.0,0.0,0.0,0.52,8.0,4.7,3.3,1.05,1.53
Irving,SCO,MF,25-001,10,166.0,17.0,5.1,1.8,1,76.0,0,9,10.0,14,1.1,1.0,4.0,-3.0,-1.63,-1.22,2.4,4.3,-1.9,-1.03,-0.72
Ferguson,IRL,FW,20-207,8,156.0,20.0,4.8,1.7,1,45.0,0,7,16.0,3,1.13,0.0,2.0,-2.0,-1.15,-0.72,1.9,1.3,0.6,0.36,0.73
Guilherme,BRA,"MF,FW",19-094,11,138.0,13.0,4.3,1.5,1,45.0,0,10,9.0,21,0.55,1.0,5.0,-4.0,-2.61,-2.23,2.1,2.5,-0.4,-0.24,0.1
Orford,ENG,MF,19-085,2,49.0,25.0,1.5,0.5,0,,0,2,25.0,3,0.0,0.0,1.0,-1.0,-1.84,-1.39,0.6,1.2,-0.6,-1.08,-0.76
Casey,ENG,DF,20-198,1,1.0,1.0,0.0,0.0,0,,0,1,1.0,7,1.0,0.0,0.0,0.0,0.0,0.47,0.1,0.1,0.0,1.74,2.08
Foderingham,ENG,GK,34-120,0,,,,,0,,0,0,,9,,,,,,,,,,,
Mayers,BRB,DF,18-118,0,,,,,0,,0,0,,1,,,,,,,,,,,
