Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Caoimhín Kelleher,ie IRL,GK,27-052,21.0,1,0,1,0,0,0,1,0.0,1,0,0,0,1,2,9,2,Matches
Michael Kayode,it ITA,DF,21-188,20.3,42,28,24,13,5,25,36,69.4,11,17,9,8,25,67,67,0,Matches
Nathan Collins,ie IRL,DF,24-259,20.2,20,10,10,9,1,9,13,69.2,4,39,30,9,25,45,141,2,Matches
Thiago,br BRA,FW,24-202,19.5,18,9,2,11,5,7,13,53.8,6,13,2,11,4,22,37,1,Matches
Kevin Schade,de GER,FW,24-048,18.3,27,14,7,12,8,7,15,46.7,8,14,3,11,14,41,21,0,Matches
Yehor Yarmoliuk,ua UKR,MF,21-319,17.4,42,29,13,25,4,23,46,50.0,23,35,7,28,15,57,21,1,Matches
Sepp van den Berg,nl NED,DF,24-025,17.0,12,5,8,4,0,6,9,66.7,3,13,9,4,13,25,118,2,Matches
Jordan Henderson,eng ENG,MF,35-211,15.0,19,8,11,6,2,10,14,71.4,4,14,6,8,11,30,22,0,Matches
Mikkel Damsgaard,dk DEN,MF,25-195,13.0,32,19,10,13,9,10,37,27.0,27,21,3,18,13,45,10,1,Matches
Dango Ouattara,bf BFA,FW,23-337,11.8,11,6,2,4,5,4,14,28.6,10,19,0,19,11,22,31,0,Matches
Kristoffer Ajer,no NOR,DF,27-272,10.8,22,14,11,9,2,12,18,66.7,6,13,6,7,13,35,68,0,Matches
Keane Lewis-Potter,eng ENG,"FW,DF",24-326,10.1,12,7,6,4,2,6,13,46.2,7,6,0,6,5,17,18,0,Matches
Mathias Jensen,dk DEN,"MF,FW",30-013,8.6,17,11,4,10,3,7,20,35.0,13,6,0,6,3,20,16,0,Matches
Vitaly Janelt,de GER,MF,27-249,8.5,20,12,6,10,4,12,19,63.2,7,8,6,2,18,38,21,1,Matches
Rico Henry,jm JAM,DF,28-190,8.0,8,7,4,4,0,3,8,37.5,5,5,5,0,4,12,20,3,Matches
Aaron Hickey,sct SCO,DF,23-218,5.7,9,5,6,2,1,5,10,50.0,5,7,2,5,7,16,17,0,Matches
Ethan Pinnock,jm JAM,DF,32-230,2.5,4,3,2,2,0,1,3,33.3,2,7,5,2,4,8,16,0,Matches
Fabio Carvalho,pt POR,"FW,MF",23-137,1.1,3,2,0,1,2,1,1,100.0,0,1,0,1,0,3,1,0,Matches
Antoni Milambo,nl NED,MF,20-286,0.5,3,1,1,2,0,0,0,,0,2,0,2,0,3,0,0,Matches
Frank Onyeka,ng NGA,MF,28-013,1.0,2,0,2,0,0,0,2,0.0,2,0,0,0,0,2,3,0,Matches
Reiss Nelson,eng ENG,FW,26-035,0.6,2,1,0,2,0,1,3,33.3,2,2,1,1,0,2,2,0,Matches
Myles Peart-Harris,eng ENG,FW,23-118,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.7,21.0,326,191,130,143,53,149,295,50.5,146,242,94,148,186,512,659,13,
Opponent Total,,,26.7,21.0,368,224,160,137,71,193,326,59.2,133,156,47,109,156,524,661,16,
