Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Bart Verbruggen,nl NED,GK,23-149,21.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,10,1,Matches
Jan Paul van Hecke,nl NED,DF,25-220,20.0,30,16,14,12,4,20,32,62.5,12,31,18,13,18,48,105,1,Matches
Lewis Dunk,eng ENG,DF,34-054,19.5,22,14,14,6,2,15,31,48.4,16,24,18,6,22,44,83,1,Matches
Yankuba Minteh,gm GAM,FW,21-176,17.1,32,23,12,14,6,14,28,50.0,14,19,0,19,10,42,11,1,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-099,17.8,34,26,19,13,2,19,44,43.2,25,15,7,8,11,45,36,0,Matches
Yasin Ayari,se SWE,MF,22-100,16.9,39,19,10,21,8,14,36,38.9,22,11,3,8,22,61,16,4,Matches
Georginio Rutter,fr FRA,"MF,FW",23-269,14.9,19,13,6,8,5,12,23,52.2,11,12,1,11,6,25,25,0,Matches
Diego Gómez,py PAR,"MF,FW",22-293,14.1,42,27,16,18,8,17,36,47.2,19,20,1,19,10,52,18,1,Matches
Carlos Baleba,cm CMR,MF,22-011,10.0,18,10,3,12,3,5,16,31.3,11,9,2,7,15,33,18,1,Matches
Mats Wieffer,nl NED,DF,26-059,13.1,47,27,21,14,12,26,50,52.0,24,15,3,12,18,65,58,1,Matches
Danny Welbeck,eng ENG,FW,35-049,12.5,10,6,4,2,4,2,10,20.0,8,5,0,5,4,14,12,2,Matches
Maxim De Cuyper,be BEL,"DF,FW",25-023,10.9,15,8,8,5,2,10,20,50.0,10,15,1,14,8,23,18,1,Matches
Kaoru Mitoma,jp JPN,FW,28-239,8.3,5,3,2,3,0,4,16,25.0,12,6,0,6,6,11,5,0,Matches
Brajan Gruda,de GER,"MF,FW",21-228,7.3,13,5,5,5,3,6,11,54.5,5,5,0,5,2,15,3,1,Matches
Jack Hinshelwood,eng ENG,"MF,DF",20-278,6.6,9,7,4,4,1,3,7,42.9,4,6,4,2,2,11,14,1,Matches
Joël Veltman,nl NED,DF,33-364,6.5,25,15,14,10,1,11,14,78.6,3,12,2,10,15,40,29,0,Matches
James Milner,eng ENG,MF,40-010,3.4,5,5,2,2,1,1,6,16.7,5,4,1,3,2,7,8,1,Matches
Diego Coppola,it ITA,DF,22-017,2.2,2,2,1,1,0,0,2,0.0,2,6,2,4,1,3,13,0,Matches
Matt O'Riley,dk DEN,MF,25-054,2.0,4,2,2,2,0,2,4,50.0,2,4,1,3,0,4,2,0,Matches
Olivier Boscagli,fr FRA,DF,28-057,1.6,3,2,1,2,0,3,3,100.0,0,1,1,0,2,5,10,0,Matches
Charalampos Kostoulas,gr GRE,"FW,MF",18-229,2.0,7,6,0,3,4,1,3,33.3,2,4,0,4,0,7,1,0,Matches
Stefanos Tzimas,gr GRE,"FW,MF",20-008,1.5,3,2,0,2,1,1,3,33.3,2,2,1,1,0,3,1,0,Matches
Pascal Groß,de GER,MF,34-213,1.2,1,1,0,1,0,1,3,33.3,2,1,0,1,3,4,2,0,Matches
Tom Watson,eng ENG,FW,19-281,0.7,1,1,1,0,0,1,1,100.0,0,2,0,2,0,1,0,0,Matches
Joe Knight,eng ENG,MF,20-115,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Nehemiah Oriola,eng ENG,MF,18-217,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.9,21.0,387,241,160,160,67,189,400,47.3,211,229,66,163,177,564,498,17,
Opponent Total,,,26.7,21.0,413,233,203,156,54,198,370,53.5,172,214,70,144,189,602,494,19,
