Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Gabriel Gudmundsson,se SWE,DF,26-260,19.3,47,31,25,14,8,26,43,60.5,17,24,6,18,17,64,64,1,Matches
Joe Rodon,wls WAL,DF,28-084,18.3,18,12,13,5,0,15,19,78.9,4,17,13,4,17,35,104,1,Matches
Pascal Struijk,nl NED,DF,26-156,18.1,20,14,5,11,4,8,17,47.1,9,17,11,6,15,35,117,0,Matches
Ethan Ampadu,wls WAL,MF,25-122,17.7,44,26,16,20,8,21,31,67.7,10,25,10,15,26,70,47,2,Matches
Jayden Bogle,eng ENG,DF,25-171,17.6,37,22,18,16,3,23,39,59.0,16,13,2,11,20,57,40,1,Matches
Anton Stach,de GER,MF,27-060,17.0,36,21,13,15,8,14,21,66.7,7,19,6,13,12,48,32,1,Matches
Lucas Perri,br BRA,GK,28-035,16.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,10,0,Matches
Dominic Calvert-Lewin,eng ENG,FW,28-304,14.6,8,2,1,5,2,0,2,0.0,2,7,1,6,2,10,9,0,Matches
Brenden Aaronson,us USA,"FW,MF",25-084,13.8,31,15,14,12,5,17,37,45.9,20,18,1,17,9,40,12,0,Matches
Noah Okafor,ch SUI,"FW,MF",25-235,11.5,17,11,3,7,7,2,9,22.2,7,5,0,5,10,27,9,0,Matches
Jaka Bijol,si SVN,DF,26-343,10.9,14,9,7,6,1,8,11,72.7,3,8,4,4,17,31,67,0,Matches
Sean Longstaff,eng ENG,MF,28-076,9.8,35,22,12,18,5,18,37,48.6,19,15,5,10,9,44,9,0,Matches
Ao Tanaka,jp JPN,MF,27-126,7.9,15,7,5,8,2,9,24,37.5,15,12,1,11,12,27,7,1,Matches
Ilia Gruev,bg BUL,MF,25-253,7.2,17,10,8,8,1,9,20,45.0,11,9,3,6,8,25,4,0,Matches
Lukas Nmecha,de GER,FW,27-031,6.7,5,3,2,1,2,0,2,0.0,2,10,1,9,2,7,9,0,Matches
Karl Darlow,wls WAL,GK,35-098,5.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
James Justin,eng ENG,"DF,FW",27-325,4.9,6,4,2,2,2,3,6,50.0,3,7,4,3,12,18,27,0,Matches
Daniel James,wls WAL,FW,28-065,3.9,4,3,1,3,0,2,5,40.0,3,4,0,4,1,5,2,0,Matches
Wilfried Gnonto,it ITA,"FW,MF",22-070,3.6,14,11,10,4,0,9,11,81.8,2,4,0,4,2,16,7,0,Matches
Joël Piroe,nl NED,"FW,MF",26-165,2.3,0,0,0,0,0,0,1,0.0,1,1,0,1,1,1,0,0,Matches
Sebastiaan Bornauw,be BEL,DF,26-298,1.8,2,1,1,1,0,1,2,50.0,1,1,0,1,3,5,10,0,Matches
Jack Harrison,eng ENG,"FW,DF",29-055,3.0,5,2,3,1,1,3,6,50.0,3,3,0,3,4,9,2,0,Matches
Sam Byram,eng ENG,DF,32-120,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.0,21.0,375,226,159,157,59,188,343,54.8,155,219,68,151,199,574,590,7,
Opponent Total,,,26.5,21.0,359,210,174,132,53,180,307,58.6,127,240,74,166,126,485,622,17,
