Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Đorđe Petrović,rs SRB,GK,26-098,21.0,0,0,0,0,0,0,3,0.0,3,0,0,0,0,0,20,3,Matches
Adrien Truffert,fr FRA,DF,24-055,20.5,55,33,31,14,10,37,54,68.5,17,26,7,19,23,78,91,2,Matches
Antoine Semenyo,gh GHA,"FW,MF",26-007,20.0,28,20,10,12,6,14,27,51.9,13,33,3,30,6,34,22,2,Matches
Marcos Senesi,ar ARG,DF,28-249,19.5,38,23,25,13,0,20,39,51.3,19,43,29,14,32,70,157,1,Matches
Marcus Tavernier,eng ENG,"MF,FW",26-298,18.8,28,14,4,16,8,14,28,50.0,14,15,2,13,11,39,30,0,Matches
Alex Scott,eng ENG,MF,22-146,15.7,29,21,8,15,6,11,24,45.8,13,17,6,11,19,48,47,0,Matches
Evanilson,br BRA,FW,26-100,15.6,5,3,1,2,2,3,9,33.3,6,6,1,5,2,7,12,1,Matches
Bafodé Diakité,fr FRA,DF,25-008,14.0,20,15,13,7,0,12,15,80.0,3,15,5,10,12,32,81,1,Matches
Tyler Adams,us USA,MF,26-334,13.3,35,16,14,15,6,23,36,63.9,13,21,5,16,21,56,26,1,Matches
Álex Jiménez,es ESP,"DF,FW",20-251,12.8,31,23,23,6,2,16,29,55.2,13,15,4,11,9,40,26,0,Matches
David Brooks,wls WAL,"FW,MF",28-190,10.4,15,9,4,8,3,6,24,25.0,18,7,0,7,3,18,12,0,Matches
Justin Kluivert,nl NED,MF,26-254,10.2,10,6,2,6,2,0,9,0.0,9,7,1,6,4,14,2,0,Matches
Adam Smith,eng ENG,DF,34-260,5.8,4,3,3,1,0,3,8,37.5,5,3,1,2,3,7,19,0,Matches
Eli Junior Kroupi,fr FRA,"FW,MF",19-205,6.4,5,3,0,1,4,1,4,25.0,3,6,0,6,3,8,10,0,Matches
James Hill,eng ENG,DF,24-004,6.4,11,5,9,2,0,9,15,60.0,6,7,3,4,12,23,47,0,Matches
Lewis Cook,eng ENG,"MF,DF",28-345,5.6,14,11,7,5,2,9,11,81.8,2,6,1,5,16,30,17,0,Matches
Veljko Milosavljević,rs SRB,DF,18-200,4.1,5,4,3,2,0,3,5,60.0,2,8,5,3,4,9,25,0,Matches
Amine Adli,ma MAR,"FW,MF",25-249,4.9,19,6,8,8,3,13,16,81.3,3,10,1,9,3,22,9,0,Matches
Ryan Christie,sct SCO,MF,30-326,3.3,8,2,5,3,0,3,6,50.0,3,3,1,2,3,11,6,0,Matches
Enes Ünal,tr TUR,"FW,MF",28-249,1.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Ben Gannon-Doak,sct SCO,FW,20-064,0.6,2,0,1,0,1,0,1,0.0,1,2,0,2,1,3,0,0,Matches
Julio Soler,ar ARG,"DF,FW",20-332,0.4,1,0,0,0,1,1,2,50.0,1,0,0,0,0,1,0,0,Matches
Hamed Junior Traorè,ci CIV,MF,25-332,0.2,1,0,1,0,0,1,1,100.0,0,0,0,0,0,1,1,0,Matches
Ben Winterburn,eng ENG,MF,21-132,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.7,21.0,364,217,172,136,56,199,366,54.4,167,250,75,175,187,551,662,11,
Opponent Total,,,26.7,21.0,373,229,175,148,50,194,360,53.9,166,247,78,169,151,524,688,20,
