Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Robin Roefs,nl NED,GK,22-362,21.0,0,0,0,0,0,0,2,0.0,2,0,0,0,0,0,7,2,Matches
Granit Xhaka,ch SUI,MF,33-109,20.8,35,21,16,13,6,19,30,63.3,11,28,16,12,18,53,67,2,Matches
Trai Hume,nir NIR,"DF,MF",23-302,19.4,42,29,27,12,3,27,46,58.7,19,24,4,20,17,59,75,2,Matches
Nordi Mukiele,fr FRA,DF,28-074,19.0,47,30,21,21,5,24,34,70.6,10,16,7,9,28,75,117,3,Matches
Enzo Le Fée,fr FRA,"MF,FW",25-345,17.5,46,30,22,17,7,22,48,45.8,26,25,7,18,15,61,22,4,Matches
Omar Alderete,py PAR,DF,29-019,16.3,18,9,11,7,0,12,18,66.7,6,23,17,6,23,41,106,1,Matches
Noah Sadiki,cd COD,MF,21-028,15.7,20,10,7,10,3,10,16,62.5,6,23,4,19,20,40,28,0,Matches
Daniel Ballard,nir NIR,DF,26-114,13.6,20,11,10,8,2,9,12,75.0,3,16,13,3,10,30,102,1,Matches
Reinildo Mandava,mz MOZ,DF,31-358,11.4,24,13,19,3,2,20,24,83.3,4,11,7,4,17,41,53,0,Matches
Wilson Isidor,fr FRA,FW,25-140,10.9,7,5,4,2,1,2,6,33.3,4,6,1,5,0,7,12,0,Matches
Lutsharel Geertruida,nl NED,"DF,MF",25-180,10.9,20,11,15,5,0,13,22,59.1,9,9,6,3,12,32,27,2,Matches
Chemsdine Talbi,ma MAR,"FW,MF",20-250,9.8,7,3,4,0,3,3,12,25.0,9,5,0,5,1,8,11,2,Matches
Simon Adingra,ci CIV,"FW,MF",24-013,7.3,11,8,5,4,2,6,15,40.0,9,11,0,11,2,13,11,0,Matches
Bertrand Traoré,bf BFA,"FW,MF",30-130,6.8,11,4,6,4,1,8,14,57.1,6,7,3,4,2,13,8,0,Matches
Brian Brobbey,nl NED,FW,23-347,7.9,4,1,1,1,2,3,6,50.0,3,8,1,7,0,4,6,0,Matches
Chris Rigg,eng ENG,"FW,MF",18-210,4.2,6,4,3,2,1,4,6,66.7,2,1,1,0,2,8,4,1,Matches
Eliezer Mayenda,es ESP,FW,20-251,5.5,2,1,1,1,0,1,2,50.0,1,5,1,4,1,3,3,0,Matches
Habib Diarra,sn SEN,MF,22-011,4.1,3,1,2,1,0,1,3,33.3,2,1,0,1,2,5,7,0,Matches
Dennis Cirkin,eng ENG,DF,23-283,2.8,8,5,3,5,0,5,7,71.4,2,2,1,1,4,12,12,0,Matches
Arthur Masuaku,cd COD,"DF,MF",32-068,1.4,4,2,3,1,0,3,6,50.0,3,1,0,1,2,6,7,0,Matches
Jenson Seelt,nl NED,DF,22-236,1.5,4,0,3,1,0,0,1,0.0,1,4,1,3,0,4,7,0,Matches
Romaine Mundle,eng ENG,"FW,MF",22-265,2.0,2,2,0,0,2,2,6,33.3,4,2,0,2,1,3,6,0,Matches
Patrick Roberts,eng ENG,"MF,FW",28-343,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Marc Guiu,es ESP,FW,20-010,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Dan Neil,eng ENG,MF,24-032,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,1,0,Matches
Luke O'Nien,eng ENG,"DF,MF",31-054,0.1,2,1,1,1,0,1,1,100.0,0,0,0,0,0,2,0,0,Matches
Squad Total,,,25.9,21.0,343,201,184,119,40,195,337,57.9,142,228,90,138,178,521,700,20,
Opponent Total,,,26.8,21.0,276,174,125,114,37,130,243,53.5,113,214,60,154,126,402,600,11,
