Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Bernd Leno,de GER,GK,33-316,21.0,2,0,2,0,0,1,1,100.0,0,1,0,1,1,3,8,0,Matches
Joachim Andersen,dk DEN,DF,29-228,19.5,25,15,18,6,1,18,30,60.0,12,16,12,4,21,46,156,2,Matches
Sander Berge,no NOR,MF,27-334,19.1,32,23,13,15,4,12,17,70.6,5,26,13,13,14,46,31,0,Matches
Harry Wilson,wls WAL,"FW,MF",28-298,16.6,19,11,12,5,2,11,18,61.1,7,6,1,5,7,26,33,0,Matches
Kenny Tete,nl NED,DF,30-097,14.9,51,32,27,19,5,26,37,70.3,11,11,4,7,21,72,57,0,Matches
Alex Iwobi,ng NGA,"MF,FW",29-256,14.8,18,11,11,7,0,8,16,50.0,8,10,1,9,7,25,10,0,Matches
Raúl Jiménez,mx MEX,FW,34-254,14.6,18,12,9,6,3,2,11,18.2,9,8,2,6,5,23,16,1,Matches
Calvin Bassey,ng NGA,DF,26-014,15.1,31,15,23,7,1,17,22,77.3,5,22,13,9,10,41,68,5,Matches
Saša Lukić,rs SRB,MF,29-154,12.7,34,18,17,12,5,16,20,80.0,4,17,7,10,11,45,24,2,Matches
Ryan Sessegnon,eng ENG,DF,25-241,12.5,26,14,10,12,4,11,22,50.0,11,17,6,11,14,40,53,0,Matches
Joshua King,eng ENG,"MF,FW",19-011,9.7,19,8,3,12,4,8,12,66.7,4,13,2,11,2,21,12,1,Matches
Emile Smith Rowe,eng ENG,MF,25-170,10.2,10,7,3,4,3,2,4,50.0,2,8,1,7,14,24,10,1,Matches
Timothy Castagne,be BEL,"DF,FW",30-040,8.5,18,9,12,5,1,10,14,71.4,4,12,2,10,14,32,35,1,Matches
Jorge Cuenca,es ESP,DF,26-058,6.4,11,7,7,4,0,6,9,66.7,3,10,5,5,9,20,47,0,Matches
Kevin,br BRA,"FW,MF",23-010,7.9,16,6,7,5,4,3,18,16.7,15,10,0,10,8,24,6,0,Matches
Antonee Robinson,us USA,DF,28-159,6.5,18,10,10,5,3,14,22,63.6,8,8,2,6,9,27,23,1,Matches
Issa Diop,fr FRA,DF,29-005,4.6,5,3,2,3,0,1,3,33.3,2,3,2,1,2,7,26,1,Matches
Rodrigo Muniz,br BRA,FW,24-255,3.9,3,1,0,2,1,0,0,,0,3,0,3,0,3,9,0,Matches
Tom Cairney,sct SCO,MF,34-359,4.5,3,2,0,3,0,1,7,14.3,6,3,1,2,2,5,4,0,Matches
Samuel Chukwueze,ng NGA,FW,26-237,4.4,2,1,0,1,1,2,3,66.7,1,3,0,3,2,4,6,0,Matches
Adama Traoré,es ESP,"FW,MF",29-354,3.0,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,1,0,Matches
Jonah Kusi-Asare,se SWE,FW,18-194,0.3,0,0,0,0,0,0,0,,0,2,0,2,0,0,0,0,Matches
Harrison Reed,eng ENG,MF,30-352,0.2,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0,Matches
Squad Total,,,28.7,21.0,362,206,186,133,43,169,288,58.7,119,210,74,136,173,535,635,15,
Opponent Total,,,26.5,21.0,318,184,143,133,42,155,291,53.3,136,264,81,183,176,494,525,16,
