Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Elliot Anderson,eng ENG,MF,23-069,21.0,57,38,31,17,9,26,49,53.1,23,40,9,31,25,82,22,3,Matches
Nikola Milenković,rs SRB,DF,28-094,21.0,15,7,9,5,1,7,15,46.7,8,28,22,6,19,34,116,1,Matches
Neco Williams,wls WAL,DF,24-276,21.0,63,41,36,18,9,38,64,59.4,26,31,11,20,22,85,55,1,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-352,19.8,11,7,4,3,4,5,15,33.3,10,14,2,12,10,21,19,4,Matches
Matz Sels,be BEL,GK,33-322,16.1,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,9,2,Matches
Murillo,br BRA,DF,23-194,14.2,25,17,14,9,2,12,14,85.7,2,25,16,9,23,48,77,1,Matches
Dan Ndoye,ch SUI,FW,25-081,11.1,19,10,5,5,9,9,21,42.9,12,12,2,10,9,28,11,0,Matches
Igor Jesus,br BRA,FW,24-323,12.8,12,6,1,6,5,7,11,63.6,4,2,1,1,1,13,17,0,Matches
Callum Hudson-Odoi,eng ENG,FW,25-068,12.4,10,5,6,0,4,6,10,60.0,4,5,2,3,5,15,6,0,Matches
Nicolò Savona,it ITA,DF,22-301,11.4,20,12,10,3,7,16,31,51.6,15,12,3,9,4,24,31,0,Matches
Ibrahim Sangaré,ci CIV,MF,28-043,9.6,27,13,10,14,3,13,21,61.9,8,15,8,7,10,37,21,3,Matches
Omari Hutchinson,eng ENG,FW,22-076,9.8,13,7,4,2,7,4,14,28.6,10,17,0,17,5,18,3,2,Matches
Morato,br BRA,DF,24-198,7.9,18,10,12,5,1,10,14,71.4,4,13,6,7,4,22,42,3,Matches
Nicolás Domínguez,ar ARG,"MF,FW",27-200,6.3,23,11,14,7,2,12,19,63.2,7,6,0,6,3,26,8,1,Matches
Chris Wood,nz NZL,FW,34-038,6.0,1,1,0,1,0,0,4,0.0,4,1,1,0,0,1,5,1,Matches
John,br BRA,GK,29-335,4.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
Ola Aina,ng NGA,DF,29-098,4.8,10,6,3,3,4,5,6,83.3,1,1,0,1,10,20,21,0,Matches
Douglas Luiz,br BRA,MF,27-250,3.5,10,4,4,6,0,4,6,66.7,2,2,1,1,7,17,2,0,Matches
Oleksandr Zinchenko,ua UKR,DF,29-030,3.9,10,6,3,4,3,4,13,30.8,9,6,1,5,2,12,11,0,Matches
Dilane Bakwa,fr FRA,FW,23-141,3.4,1,1,0,0,1,1,5,20.0,4,2,1,1,0,1,4,0,Matches
Ryan Yates,eng ENG,MF,28-054,3.4,7,4,3,2,2,3,5,60.0,2,3,1,2,4,11,10,0,Matches
Taiwo Awoniyi,ng NGA,FW,28-155,2.1,1,1,0,1,0,0,3,0.0,3,0,0,0,1,2,2,0,Matches
James Mcatee,eng ENG,"MF,FW",23-088,1.9,4,3,2,1,1,0,1,0.0,1,5,0,5,0,4,1,0,Matches
Jair Cunha,br BRA,DF,20-313,1.0,2,2,1,1,0,1,1,100.0,0,1,1,0,2,4,6,0,Matches
Arnaud Kalimuendo,fr FRA,FW,23-359,1.1,1,1,0,0,1,1,1,100.0,0,1,0,1,0,1,1,0,Matches
Zach Abbott,eng ENG,DF,19-246,0.5,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,7,0,Matches
Jota Silva,pt POR,FW,26-166,0.1,2,1,1,1,0,2,2,100.0,0,0,0,0,0,2,1,0,Matches
Squad Total,,,26.2,21.0,364,216,175,114,75,188,347,54.2,159,242,88,154,166,530,509,23,
Opponent Total,,,26.6,21.0,359,227,159,135,65,176,327,53.8,151,226,80,146,184,543,594,15,
