Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Jordan Pickford,eng ENG,GK,31-313,21.0,1,1,1,0,0,1,2,50.0,1,0,0,0,0,1,21,2,Matches
James Tarkowski,eng ENG,DF,33-056,21.0,31,17,18,8,5,14,26,53.8,12,40,30,10,21,52,153,6,Matches
James Garner,eng ENG,"MF,DF",24-307,20.9,57,35,30,19,8,33,57,57.9,24,34,8,26,28,85,52,1,Matches
Jake O'Brien,ie IRL,DF,24-244,19.6,28,16,19,5,4,18,21,85.7,3,14,8,6,8,36,87,2,Matches
Michael Keane,eng ENG,DF,33-003,18.6,20,14,13,5,2,9,17,52.9,8,25,17,8,21,41,138,0,Matches
Vitaliy Mykolenko,ua UKR,DF,26-230,17.9,25,13,9,10,6,17,32,53.1,15,21,7,14,17,42,90,1,Matches
Jack Grealish,eng ENG,FW,30-126,17.1,20,14,5,8,7,9,18,50.0,9,17,6,11,12,32,12,2,Matches
Iliman Ndiaye,sn SEN,FW,25-314,14.9,37,23,21,12,4,13,30,43.3,17,12,1,11,6,43,12,1,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-130,14.0,26,11,10,12,4,13,19,68.4,6,14,0,14,8,34,21,1,Matches
Thierno Barry,fr FRA,FW,23-085,12.3,2,1,0,1,1,1,9,11.1,8,8,2,6,2,4,16,0,Matches
Idrissa Gana Gueye,sn SEN,MF,36-110,11.7,31,16,15,13,3,12,19,63.2,7,13,3,10,13,44,10,2,Matches
Tim Iroegbunam,eng ENG,MF,22-198,10.3,43,30,18,22,3,13,19,68.4,6,18,7,11,15,58,6,2,Matches
Beto,gw GNB,FW,27-348,9.3,10,2,2,3,5,2,3,66.7,1,14,1,13,0,10,22,0,Matches
Carlos Alcaraz,ar ARG,"MF,FW",23-045,7.4,12,7,3,6,3,7,19,36.8,12,10,2,8,3,15,5,2,Matches
Dwight McNeil,eng ENG,"FW,MF",26-053,5.4,9,6,5,3,1,7,11,63.6,4,14,2,12,2,11,5,1,Matches
Tyler Dibling,eng ENG,FW,19-308,3.6,7,3,3,2,2,4,9,44.4,5,4,1,3,6,13,5,0,Matches
Merlin Röhl,de GER,MF,23-193,3.0,14,7,5,6,3,6,10,60.0,4,4,1,3,1,15,7,0,Matches
Harrison Armstrong,eng ENG,MF,18-360,1.1,2,1,0,1,1,0,2,0.0,2,0,0,0,2,4,4,0,Matches
Nathan Patterson,sct SCO,DF,24-090,0.9,4,2,2,2,0,3,7,42.9,4,1,0,1,1,5,7,0,Matches
Séamus Coleman,ie IRL,"DF,FW",37-095,0.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Squad Total,,,28.0,21.0,379,219,179,138,62,182,331,55.0,149,263,96,167,166,545,673,23,
Opponent Total,,,26.4,21.0,375,218,195,127,53,191,326,58.6,135,222,71,151,151,526,647,12,
