Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
João Gomes,br BRA,MF,24-336,17.7,52,31,28,22,2,29,57,50.9,28,24,4,20,24,76,33,1,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-269,15.4,17,11,8,2,7,6,16,37.5,10,20,10,10,16,33,64,1,Matches
André,br BRA,MF,24-182,15.8,42,20,24,13,5,20,42,47.6,22,22,7,15,15,57,37,5,Matches
Jørgen Strand Larsen,no NOR,FW,25-342,14.6,5,2,2,3,0,1,8,12.5,7,13,5,8,3,8,23,0,Matches
Jhon Arias,co COL,"FW,MF",28-115,11.6,40,25,16,16,8,16,30,53.3,14,28,2,26,8,48,16,0,Matches
Hugo Bueno,es ESP,"DF,MF",23-118,12.9,35,17,20,12,3,19,39,48.7,20,14,2,12,18,53,36,0,Matches
Sam Johnstone,eng ENG,GK,32-295,12.0,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,10,1,Matches
Toti Gomes,pt POR,DF,26-363,10.5,14,8,9,2,3,10,13,76.9,3,8,7,1,8,22,59,1,Matches
Santiago Bueno,uy URU,DF,27-066,11.4,30,15,16,10,4,16,22,72.7,6,13,7,6,15,45,46,0,Matches
Emmanuel Agbadou,ci CIV,DF,28-211,11.2,28,17,15,10,3,18,24,75.0,6,17,14,3,12,40,65,2,Matches
Hwang Hee-chan,kr KOR,"FW,MF",29-353,9.8,8,3,3,0,5,3,6,50.0,3,5,0,5,6,14,12,3,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-122,12.3,19,7,13,5,1,14,23,60.9,9,13,6,7,9,28,38,2,Matches
Yerson Mosquera,co COL,DF,24-257,9.6,27,14,17,9,1,13,20,65.0,7,13,6,7,12,39,48,0,Matches
Marshall Munetsi,zw ZIM,"MF,FW",29-206,9.7,21,12,11,6,4,10,19,52.6,9,12,2,10,7,28,30,0,Matches
José Sá,pt POR,GK,32-362,9.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,6,0,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-201,7.7,18,11,5,8,5,4,4,100.0,0,11,2,9,7,25,12,2,Matches
David Møller Wolfe,no NOR,"DF,MF",23-266,7.9,5,3,3,2,0,3,6,50.0,3,4,1,3,5,10,22,0,Matches
Matt Doherty,ie IRL,DF,33-363,6.6,13,7,9,4,0,8,16,50.0,8,8,5,3,4,17,26,0,Matches
Tolu Arokodare,ng NGA,FW,25-052,7.5,4,2,2,2,0,1,2,50.0,1,2,0,2,3,7,19,0,Matches
Ki-Jana Hoever,nl NED,"DF,MF",23-361,4.7,13,11,7,5,1,6,9,66.7,3,3,1,2,6,19,22,0,Matches
Mateus Mane,pt POR,MF,18-120,5.0,9,4,4,3,2,1,5,20.0,4,5,0,5,1,10,7,1,Matches
Rodrigo Gomes,pt POR,"FW,DF",22-191,3.7,7,6,1,3,3,2,3,66.7,1,2,0,2,3,10,9,0,Matches
Fer López,es ESP,"MF,FW",21-235,2.6,1,1,1,0,0,1,3,33.3,2,1,0,1,0,1,1,0,Matches
Tawanda Chirewa,zw ZIM,"MF,FW",22-095,0.3,3,0,2,1,0,1,2,50.0,1,0,0,0,0,3,1,0,Matches
Sasa Kalajdzic,at AUT,FW,28-191,0.2,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches
Pedro Lima,br BRA,MF,19-197,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.7,21.0,413,228,218,138,57,204,371,55.0,167,238,81,157,183,596,642,19,
Opponent Total,,,26.7,21.0,329,198,112,153,64,145,278,52.2,133,188,44,144,159,488,580,14,
