Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-099,21.0,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,11,3,Matches
Micky van de Ven,nl NED,DF,24-270,19.9,23,12,14,7,2,10,15,66.7,5,18,8,10,18,41,82,2,Matches
Pedro Porro,es ESP,DF,26-123,18.8,40,26,23,11,6,25,47,53.2,22,27,6,21,16,56,77,5,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-165,17.1,29,19,11,16,2,6,18,33.3,12,9,0,9,3,32,8,1,Matches
Rodrigo Bentancur,uy URU,MF,28-203,15.7,37,22,12,21,4,19,26,73.1,7,24,6,18,22,59,43,1,Matches
Cristian Romero,ar ARG,DF,27-262,16.2,44,21,30,11,3,19,27,70.4,8,25,11,14,23,67,78,3,Matches
Djed Spence,eng ENG,DF,25-158,15.0,24,17,16,6,2,16,23,69.6,7,17,2,15,10,34,39,3,Matches
João Palhinha,pt POR,MF,30-189,14.5,74,45,30,38,6,39,53,73.6,14,22,5,17,17,91,28,0,Matches
Richarlison,br BRA,FW,28-249,14.3,15,10,4,10,1,2,9,22.2,7,7,1,6,4,19,41,1,Matches
Xavi Simons,nl NED,"MF,FW",22-268,10.3,21,13,12,6,3,13,25,52.0,12,14,0,14,6,27,8,0,Matches
Randal Kolo Muani,fr FRA,FW,27-040,9.3,15,11,5,7,3,4,13,30.8,9,4,0,4,2,17,11,0,Matches
Lucas Bergvall,se SWE,"MF,FW",19-346,8.9,20,12,5,12,3,5,10,50.0,5,6,1,5,2,22,11,1,Matches
Archie Gray,eng ENG,MF,19-308,6.7,4,3,1,2,1,2,3,66.7,1,7,2,5,8,12,20,1,Matches
Pape Matar Sarr,sn SEN,MF,23-122,7.9,12,8,3,5,4,2,9,22.2,7,8,3,5,7,19,19,2,Matches
Kevin Danso,at AUT,DF,27-117,6.5,11,5,4,7,0,8,10,80.0,2,9,6,3,4,15,70,0,Matches
Wilson Odobert,fr FRA,"FW,MF",21-047,8.0,7,6,5,2,0,3,5,60.0,2,7,0,7,1,8,12,1,Matches
Brennan Johnson,wls WAL,"FW,MF",24-236,6.8,13,9,6,6,1,3,6,50.0,3,5,1,4,2,15,17,1,Matches
Destiny Udogie,it ITA,DF,23-047,6.8,12,9,5,5,2,7,13,53.8,6,14,4,10,3,15,12,0,Matches
Mathys Tel,fr FRA,FW,20-262,5.2,8,4,3,3,2,5,8,62.5,3,2,0,2,0,8,5,0,Matches
Ben Davies,wls WAL,DF,32-265,1.3,4,3,1,2,1,3,3,100.0,0,1,1,0,1,5,8,0,Matches
Dominic Solanke,eng ENG,FW,28-122,0.4,1,1,0,1,0,0,0,,0,1,0,1,1,2,1,0,Matches
Radu Drăgușin,ro ROU,DF,23-345,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Dane Scarlett,eng ENG,FW,21-296,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.9,21.0,414,256,190,178,46,191,324,59.0,133,228,57,171,150,564,602,25,
Opponent Total,,,26.7,21.0,409,239,167,171,71,207,401,51.6,194,226,57,169,169,578,614,17,
