Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err,Unnamed: 21_level_0_Matches
Jarrod Bowen,eng ENG,"FW,MF",29-025,21.0,24,16,6,13,5,9,22,40.9,13,10,1,9,13,37,16,0,Matches
Lucas Paquetá,br BRA,"MF,FW",28-140,16.8,39,22,16,16,7,8,20,40.0,12,21,6,15,8,47,19,1,Matches
Mateus Fernandes,pt POR,"MF,FW",21-188,16.6,49,31,20,20,9,24,43,55.8,19,28,8,20,17,66,18,2,Matches
Max Kilman,eng ENG,DF,28-236,17.0,16,8,13,3,0,10,16,62.5,6,29,23,6,8,24,112,0,Matches
Alphonse Areola,fr FRA,GK,32-321,17.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,3,Matches
El Hadji Malick Diouf,sn SEN,DF,21-017,15.4,19,8,9,8,2,6,13,46.2,7,13,6,7,16,35,69,1,Matches
Jean-Clair Todibo,fr FRA,DF,26-015,13.9,25,15,20,5,0,17,22,77.3,5,13,8,5,12,37,72,1,Matches
Crysencio Summerville,nl NED,"FW,MF",24-076,12.7,19,12,5,10,4,6,11,54.5,5,7,2,5,6,25,19,0,Matches
Konstantinos Mavropanos,gr GRE,DF,28-034,12.1,16,10,12,4,0,9,12,75.0,3,16,10,6,17,33,88,1,Matches
Aaron Wan-Bissaka,cd COD,DF,28-049,11.2,14,9,6,7,1,6,10,60.0,4,13,2,11,21,35,60,2,Matches
Freddie Potts,eng ENG,MF,22-124,10.8,23,15,8,14,1,11,17,64.7,6,11,3,8,9,32,25,0,Matches
Kyle Walker-Peters,eng ENG,DF,28-276,10.6,34,21,20,9,5,18,25,72.0,7,15,3,12,6,40,33,1,Matches
Soungoutou Magassa,fr FRA,MF,22-098,8.2,33,19,20,8,5,17,29,58.6,12,13,3,10,13,46,14,0,Matches
Callum Wilson,eng ENG,FW,33-321,9.0,2,1,1,0,1,0,4,0.0,4,3,1,2,3,5,2,0,Matches
Tomáš Souček,cz CZE,"MF,FW",30-321,8.1,13,7,6,5,2,7,13,53.8,6,11,5,6,5,18,34,0,Matches
Oliver Scarles,eng ENG,DF,20-033,5.2,21,15,14,4,3,18,24,75.0,6,8,1,7,6,27,29,1,Matches
James Ward-Prowse,eng ENG,MF,31-074,4.6,4,2,1,3,0,2,6,33.3,4,5,1,4,5,9,3,0,Matches
Niclas Füllkrug,de GER,FW,32-339,4.5,2,1,1,1,0,1,2,50.0,1,3,1,2,2,4,5,0,Matches
Mads Hermansen,dk DEN,GK,25-187,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,1,Matches
Nayef Aguerd,ma MAR,DF,29-290,2.0,1,0,1,0,0,0,0,,0,4,2,2,1,2,11,0,Matches
Guido Rodríguez,ar ARG,MF,31-277,1.9,1,0,1,0,0,0,4,0.0,4,3,0,3,2,3,1,0,Matches
Andy Irving,sct SCO,MF,25-246,1.8,6,3,2,4,0,5,6,83.3,1,2,1,1,1,7,1,0,Matches
Luis Guilherme,br BRA,"FW,MF",19-339,1.4,1,1,0,0,1,0,1,0.0,1,0,0,0,0,1,2,0,Matches
Igor,br BRA,DF,27-341,1.2,0,0,0,0,0,0,0,,0,2,2,0,1,1,10,0,Matches
Valentín Castellanos,ar ARG,FW,27-103,1.0,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0,Matches
Ezra Mayers,bb BRB,DF,18-363,1.3,0,0,0,0,0,0,0,,0,3,0,3,1,1,4,0,Matches
Callum Marshall,nir NIR,FW,21-047,0.7,0,0,0,0,0,0,0,,0,1,0,1,2,2,0,0,Matches
Pablo,br BRA,MF,22-012,0.3,1,1,0,0,1,0,0,,0,1,0,1,0,1,0,0,Matches
Mohamadou Kanté,fr FRA,"FW,MF",20-116,0.2,1,1,1,0,0,1,4,25.0,3,0,0,0,0,1,0,0,Matches
George Earthy,eng ENG,FW,21-131,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.0,21.0,364,218,183,134,47,175,304,57.6,129,236,89,147,176,540,658,14,
Opponent Total,,,26.7,21.0,342,214,138,143,61,158,297,53.2,139,202,62,140,162,504,515,14,
