Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Unnamed: 23_level_0 Matches
Kepa Arrizabalaga,es ESP,GK,30-222,29,29,2610,29.0,36,1.24,129,93,75.2,12,7,10,7,24.1,4,4,0,0,0.0,Matches
Mark Travers,ie IRL,GK,25-360,5,5,450,5.0,5,1.0,25,20,80.0,2,2,1,1,20.0,0,0,0,0,,Matches
Neto,br BRA,GK,35-298,2,2,180,2.0,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0,,Matches
Squad Total,,,25.9,36,36,3240,36.0,43,1.19,167,124,76.6,14,11,11,8,22.2,4,4,0,0,0.0,
Opponent Total,,,27.2,36,36,3240,36.0,55,1.53,190,135,74.2,11,11,14,8,22.2,7,6,1,0,14.3,
