Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Unnamed: 23_level_0 Matches
Jordan Pickford,eng ENG,GK,31-067,36,36,3240,36.0,44,1.22,155,109,71.6,9,15,12,10,27.8,2,0,2,0,100.0,Matches
Squad Total,,,28.8,36,36,3240,36.0,44,1.22,155,109,71.6,9,15,12,10,27.8,2,0,2,0,100.0,
Opponent Total,,,27.0,36,36,3240,36.0,39,1.08,131,95,71.8,12,15,9,15,41.7,2,2,0,0,0.0,
