Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKSave%
Verbruggen,NED,GK,22,34,34,3060,34.0,55,1.62,136,83,65.4,12,13,9,7,20.6,8,8,0,0,0.0
Steele,ENG,GK,34,2,2,180,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,
