Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Unnamed: 23_level_0 Matches
Alphonse Areola,fr FRA,GK,32-075,25,24,2170,24.1,39,1.62,110,74,64.5,5,7,12,5,20.8,0,0,0,0,,Matches
Łukasz Fabiański,pl POL,GK,40-025,13,12,1070,11.9,20,1.68,67,47,74.6,5,3,4,2,16.7,3,3,0,0,0.0,Matches
Squad Total,,,28.9,36,36,3240,36.0,59,1.64,177,121,68.4,10,10,16,7,19.4,3,3,0,0,0.0,
Opponent Total,,,26.9,36,36,3240,36.0,42,1.17,129,90,69.8,16,10,10,8,22.2,3,3,0,0,0.0,
