Unnamed: 0_level_0 Player,Unnamed: 1_level_0 Nation,Unnamed: 2_level_0 Pos,Unnamed: 3_level_0 Age,Playing Time MP,Playing Time Starts,Playing Time Min,Playing Time 90s,Performance GA,Performance GA90,Performance SoTA,Performance Saves,Performance Save%,Performance W,Performance D,Performance L,Performance CS,Performance CS%,Penalty Kicks PKatt,Penalty Kicks PKA,Penalty Kicks PKsv,Penalty Kicks PKm,Penalty Kicks Save%,Unnamed: 23_level_0 Matches
Arijanet Muric,xk KVX,GK,26-187,18,18,1620,18.0,33,1.83,100,67,70.0,2,6,10,1,5.6,3,3,0,0,0.0,Matches
Alex Palmer,eng ENG,GK,28-276,12,12,1080,12.0,28,2.33,68,42,60.3,1,3,8,0,0.0,1,1,0,0,0.0,Matches
Christian Walton,eng ENG,GK,29-185,6,6,540,6.0,16,2.67,33,17,57.6,1,1,4,1,16.7,2,2,0,0,0.0,Matches
Squad Total,,,26.6,36,36,3240,36.0,77,2.14,201,126,64.7,4,10,22,2,5.6,6,6,0,0,0.0,
Opponent Total,,,27.0,36,36,3240,36.0,35,0.97,116,82,71.6,22,10,4,13,36.1,2,2,0,0,0.0,
