Player,Nation,Pos,Age,MP,Starts,Min,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,PKSave%
Hermansen,DEN,GK,24,27,27,2385,26.5,58,2.19,155,99,64.5,3,6,18,1,3.7,4,3,1,0,25.0
Stolarczyk,POL,GK,24,8,8,720,8.0,14,1.75,35,21,60.0,2,1,5,1,12.5,0,0,0,0,
Ward,WAL,GK,31,2,1,135,1.5,6,4.0,10,4,40.0,0,0,1,0,0.0,0,0,0,0,
