Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Gabriel Gudmundsson,se SWE,DF,26-260,19.3,1085,59,329,488,284,32,1085,58,27,46.6,26,44.8,513,3080,1693,51,25,11,27,19,609,74,Matches
Joe Rodon,wls WAL,DF,28-084,18.3,1088,104,486,543,62,28,1088,1,1,100.0,0,0.0,596,2724,1586,16,6,0,5,2,715,9,Matches
Pascal Struijk,nl NED,DF,26-156,18.1,1265,160,581,610,78,35,1265,3,1,33.3,2,66.7,667,2817,1496,6,3,0,11,5,800,6,Matches
Ethan Ampadu,wls WAL,MF,25-122,17.7,1191,53,303,703,199,13,1191,11,7,63.6,3,27.3,557,2777,1331,21,15,2,20,8,674,17,Matches
Jayden Bogle,eng ENG,DF,25-171,17.6,818,40,228,386,217,27,818,36,12,33.3,21,58.3,406,2490,1206,32,26,7,25,18,438,65,Matches
Anton Stach,de GER,MF,27-060,17.0,952,37,164,466,339,36,952,30,12,40.0,15,50.0,395,2285,1104,31,31,9,15,18,506,49,Matches
Lucas Perri,br BRA,GK,28-035,16.0,666,516,663,3,0,0,666,0,0,,0,,414,1755,1170,0,0,0,0,0,383,0,Matches
Dominic Calvert-Lewin,eng ENG,FW,28-304,14.6,385,12,27,160,199,67,383,20,6,30.0,14,70.0,192,835,280,9,6,5,45,19,294,66,Matches
Brenden Aaronson,us USA,"FW,MF",25-084,13.8,613,10,98,265,261,49,613,42,15,35.7,23,54.8,323,2013,848,29,19,10,46,34,375,88,Matches
Noah Okafor,ch SUI,"FW,MF",25-235,11.5,390,9,48,163,198,44,390,71,29,40.8,38,53.5,247,2254,1142,38,34,17,41,17,273,86,Matches
Jaka Bijol,si SVN,DF,26-343,10.9,717,99,355,329,36,24,717,2,2,100.0,0,0.0,408,2320,1400,6,1,0,5,0,461,3,Matches
Sean Longstaff,eng ENG,MF,28-076,9.8,543,12,106,315,127,9,543,7,0,0.0,5,71.4,246,988,412,3,4,1,8,9,305,14,Matches
Ao Tanaka,jp JPN,MF,27-126,7.9,453,11,81,273,104,11,453,6,1,16.7,4,66.7,247,1068,531,5,9,0,12,4,294,20,Matches
Ilia Gruev,bg BUL,MF,25-253,7.2,360,17,109,216,39,2,360,6,5,83.3,1,16.7,160,579,195,2,3,1,7,0,193,3,Matches
Lukas Nmecha,de GER,FW,27-031,6.7,203,12,29,90,91,28,201,7,1,14.3,4,57.1,107,534,238,8,6,3,20,10,142,36,Matches
Karl Darlow,wls WAL,GK,35-098,5.0,213,168,211,3,0,0,213,0,0,,0,,143,656,425,0,0,0,0,0,113,0,Matches
James Justin,eng ENG,"DF,FW",27-325,4.9,242,22,91,104,48,7,242,10,0,0.0,5,50.0,97,381,129,1,3,1,5,3,124,12,Matches
Daniel James,wls WAL,FW,28-065,3.9,140,2,13,51,79,15,140,12,3,25.0,7,58.3,80,555,360,17,3,8,7,2,95,41,Matches
Wilfried Gnonto,it ITA,"FW,MF",22-070,3.6,190,7,37,73,85,7,190,15,1,6.7,6,40.0,107,645,309,7,5,2,8,5,123,22,Matches
Joël Piroe,nl NED,"FW,MF",26-165,2.3,104,1,5,52,47,13,104,3,1,33.3,2,66.7,50,188,69,3,1,3,3,5,78,12,Matches
Sebastiaan Bornauw,be BEL,DF,26-298,1.8,86,9,40,40,6,3,86,0,0,,0,,35,146,60,1,2,0,1,1,43,2,Matches
Jack Harrison,eng ENG,"FW,DF",29-055,3.0,173,5,42,62,75,7,173,9,3,33.3,4,44.4,100,594,293,8,7,3,9,0,116,17,Matches
Sam Byram,eng ENG,DF,32-120,0.1,1,0,1,0,0,0,1,0,0,,0,,1,3,1,0,0,0,0,0,1,0,Matches
Squad Total,,,27.0,21.0,11878,1365,4047,5395,2574,457,11874,349,127,36.4,180,51.6,6091,31687,16278,294,209,83,320,179,7155,642,
Opponent Total,,,26.5,21.0,13727,1385,4382,6278,3169,465,13723,378,155,41.0,188,49.7,7665,39680,20594,352,249,83,336,187,9012,836,
