Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
João Gomes,br BRA,MF,24-336,17.7,1098,46,249,649,224,19,1098,35,22,62.9,11,31.4,582,3464,1486,27,28,2,33,24,685,32,Matches
Ladislav Krejčí,cz CZE,"DF,MF",26-269,15.4,967,111,428,449,96,30,967,1,0,0.0,1,100.0,579,2648,1427,10,12,0,6,6,665,10,Matches
André,br BRA,MF,24-182,15.8,901,65,249,545,120,3,901,22,9,40.9,10,45.5,471,2166,1008,11,10,0,15,16,533,6,Matches
Jørgen Strand Larsen,no NOR,FW,25-342,14.6,388,29,45,195,148,53,386,13,5,38.5,7,53.8,188,614,219,4,6,3,40,16,278,48,Matches
Jhon Arias,co COL,"FW,MF",28-115,11.6,580,17,97,281,215,36,580,23,8,34.8,11,47.8,295,1603,717,19,18,3,22,24,343,45,Matches
Hugo Bueno,es ESP,"DF,MF",23-118,12.9,799,36,225,321,262,28,799,38,13,34.2,22,57.9,386,2588,1354,46,18,7,20,15,441,70,Matches
Sam Johnstone,eng ENG,GK,32-295,12.0,540,404,524,16,0,0,540,0,0,,0,,283,1612,1054,0,0,0,0,0,237,0,Matches
Toti Gomes,pt POR,DF,26-363,10.5,704,67,324,336,45,4,704,11,8,72.7,2,18.2,417,1822,974,6,3,0,4,2,479,3,Matches
Santiago Bueno,uy URU,DF,27-066,11.4,592,71,248,310,39,14,592,1,0,0.0,1,100.0,312,1617,929,4,1,0,4,1,369,1,Matches
Emmanuel Agbadou,ci CIV,DF,28-211,11.2,777,107,366,365,52,10,777,5,4,80.0,1,20.0,437,2010,946,5,11,0,9,4,505,7,Matches
Hwang Hee-chan,kr KOR,"FW,MF",29-353,9.8,371,11,54,169,153,21,370,27,8,29.6,14,51.9,209,1191,482,18,8,4,25,6,239,51,Matches
Jackson Tchatchoua,cm CMR,"DF,MF",24-122,12.3,590,47,157,251,185,14,590,11,3,27.3,7,63.6,264,1338,640,22,19,3,21,4,332,68,Matches
Yerson Mosquera,co COL,DF,24-257,9.6,493,63,211,233,55,16,493,11,3,27.3,4,36.4,232,894,333,5,2,1,3,3,245,7,Matches
Marshall Munetsi,zw ZIM,"MF,FW",29-206,9.7,312,30,72,125,120,35,312,10,5,50.0,4,40.0,112,593,312,11,11,1,22,11,161,37,Matches
José Sá,pt POR,GK,32-362,9.0,324,265,320,4,0,0,324,0,0,,0,,187,1010,635,0,0,0,0,0,142,0,Matches
Jean-Ricner Bellegarde,ht HAI,"MF,FW",27-201,7.7,372,11,46,190,141,15,372,25,12,48.0,7,28.0,214,1541,841,26,19,5,18,14,238,22,Matches
David Møller Wolfe,no NOR,"DF,MF",23-266,7.9,332,16,84,143,110,18,332,8,5,62.5,3,37.5,162,854,464,14,12,2,9,2,185,36,Matches
Matt Doherty,ie IRL,DF,33-363,6.6,313,38,132,135,48,4,313,2,1,50.0,0,0.0,145,585,301,3,4,1,3,3,176,6,Matches
Tolu Arokodare,ng NGA,FW,25-052,7.5,261,19,31,111,121,47,261,21,11,52.4,10,47.6,119,512,205,9,5,6,40,11,183,28,Matches
Ki-Jana Hoever,nl NED,"DF,MF",23-361,4.7,266,19,64,120,87,3,266,9,5,55.6,3,33.3,113,452,247,9,10,1,3,3,134,23,Matches
Mateus Mane,pt POR,MF,18-120,5.0,190,7,31,76,87,11,190,27,6,22.2,17,63.0,118,786,461,13,5,1,17,9,129,32,Matches
Rodrigo Gomes,pt POR,"FW,DF",22-191,3.7,187,6,34,52,103,20,187,8,2,25.0,5,62.5,91,623,328,13,9,3,11,3,108,37,Matches
Fer López,es ESP,"MF,FW",21-235,2.6,144,2,13,76,56,7,144,8,3,37.5,4,50.0,89,541,259,8,7,1,12,6,108,16,Matches
Tawanda Chirewa,zw ZIM,"MF,FW",22-095,0.3,10,3,4,5,1,0,10,0,0,,0,,4,13,5,0,0,0,1,0,3,0,Matches
Sasa Kalajdzic,at AUT,FW,28-191,0.2,10,0,0,6,4,1,10,1,0,0.0,1,100.0,3,6,0,0,0,0,0,1,6,2,Matches
Pedro Lima,br BRA,MF,19-197,0.0,1,0,0,1,0,0,1,0,0,,0,,1,5,0,0,0,0,0,0,1,1,Matches
Squad Total,,,26.7,21.0,11522,1490,4008,5164,2472,409,11519,317,133,42.0,145,45.7,6013,31088,15627,283,218,44,338,184,6925,588,
Opponent Total,,,26.7,21.0,13534,1227,3704,6278,3679,554,13533,422,167,39.6,204,48.3,7794,40032,21345,406,292,101,318,209,8997,913,
