Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Virgil van Dijk,nl NED,DF,34-190,21.0,1924,240,769,1060,101,32,1924,2,2,100.0,0,0.0,1157,4815,2857,20,12,3,10,1,1356,13,Matches
Ibrahima Konaté,fr FRA,DF,26-234,19.8,1547,158,635,849,64,13,1547,6,4,66.7,1,16.7,944,4424,2748,19,17,0,10,4,1040,2,Matches
Dominik Szoboszlai,hu HUN,"MF,DF",25-081,19.9,1549,44,281,739,549,35,1549,28,15,53.6,10,35.7,903,4306,2243,48,47,8,21,14,1050,79,Matches
Ryan Gravenberch,nl NED,MF,23-243,18.7,1376,45,286,821,276,13,1376,33,17,51.5,10,30.3,959,5431,2812,42,32,2,30,14,1032,32,Matches
Milos Kerkez,hu HUN,DF,22-068,15.7,1034,57,275,447,321,29,1034,12,7,58.3,5,41.7,567,2469,1276,29,34,1,21,5,675,105,Matches
Alexis Mac Allister,ar ARG,MF,27-021,15.4,955,29,146,545,271,29,955,16,5,31.3,10,62.5,606,2464,1271,26,25,3,20,15,694,43,Matches
Alisson,br BRA,GK,33-104,16.0,587,413,564,24,0,0,587,0,0,,0,,415,1729,1120,0,0,0,0,0,358,0,Matches
Florian Wirtz,de GER,"MF,FW",22-256,15.6,1044,8,88,441,525,78,1044,49,27,55.1,19,38.8,641,3030,1419,32,31,17,27,19,766,156,Matches
Cody Gakpo,nl NED,FW,26-252,14.9,679,14,59,212,414,91,679,42,17,40.5,15,35.7,414,2662,1567,61,22,33,44,13,486,156,Matches
Hugo Ekitike,fr FRA,FW,23-208,12.6,416,18,30,150,241,66,416,42,23,54.8,18,42.9,247,1274,652,29,19,15,28,18,302,78,Matches
Mohamed Salah,eg EGY,"FW,MF",33-213,13.1,624,5,42,161,431,89,623,44,12,27.3,31,70.5,412,2466,1343,51,25,25,36,27,483,169,Matches
Conor Bradley,nir NIR,DF,22-189,10.3,765,37,211,321,239,27,765,26,7,26.9,15,57.7,421,2237,1097,25,16,5,16,11,453,47,Matches
Curtis Jones,eng ENG,MF,24-349,10.8,972,14,145,573,261,16,972,21,14,66.7,6,28.6,739,3594,1653,33,29,5,16,10,810,37,Matches
Alexander Isak,se SWE,FW,26-115,5.6,128,5,11,47,71,21,128,6,1,16.7,5,83.3,65,257,154,6,3,3,13,4,86,24,Matches
Giorgi Mamardashvili,ge GEO,GK,25-107,5.0,221,163,216,5,0,0,221,0,0,,0,,144,577,331,0,0,0,1,0,123,0,Matches
Andrew Robertson,sct SCO,DF,31-309,5.4,432,21,97,201,139,14,432,4,2,50.0,2,50.0,257,973,564,12,13,2,6,0,291,31,Matches
Jeremie Frimpong,nl NED,"FW,DF",25-035,4.4,252,5,48,70,135,22,252,19,11,57.9,6,31.6,150,855,514,23,6,12,18,6,169,57,Matches
Joe Gomez,eng ENG,DF,28-236,2.8,183,9,57,72,55,8,183,1,1,100.0,0,0.0,87,318,131,2,1,1,2,1,102,13,Matches
Federico Chiesa,it ITA,"FW,MF",28-081,2.7,152,6,19,50,84,25,152,8,1,12.5,7,87.5,73,468,264,8,1,4,9,2,91,27,Matches
Rio Ngumoha,eng ENG,"FW,MF",17-138,0.6,45,0,3,5,37,6,45,8,5,62.5,2,25.0,33,250,153,7,1,3,4,2,38,21,Matches
Wataru Endo,jp JPN,"MF,DF",32-339,0.5,40,2,9,27,4,0,40,0,0,,0,,13,47,23,2,0,0,2,1,20,0,Matches
Trey Nyoni,eng ENG,FW,18-198,0.0,3,0,0,1,2,0,3,1,0,0.0,1,100.0,2,2,0,0,0,0,0,0,3,0,Matches
Harvey Elliott,eng ENG,"MF,FW",22-285,0.0,9,0,0,5,4,0,9,1,0,0.0,1,100.0,5,21,4,0,0,0,0,0,8,1,Matches
Squad Total,,,27.0,21.0,14937,1293,3991,6826,4224,614,14936,369,171,46.3,164,44.4,9254,44669,24196,475,334,142,334,167,10436,1091,
Opponent Total,,,26.8,21.0,10571,1611,3960,4140,2587,413,10568,297,125,42.1,139,46.8,5224,28465,14885,307,238,78,305,131,6005,589,
