Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Elliot Anderson,eng ENG,MF,23-069,21.0,1807,61,391,1009,432,35,1806,54,27,50.0,23,42.6,1066,5370,2470,29,29,6,44,39,1198,56,Matches
Nikola Milenković,rs SRB,DF,28-094,21.0,1170,174,605,508,59,21,1170,1,1,100.0,0,0.0,623,2676,1461,5,7,0,8,1,737,4,Matches
Neco Williams,wls WAL,DF,24-276,21.0,1358,66,426,550,395,35,1358,46,20,43.5,18,39.1,685,3472,1901,39,36,4,26,20,757,94,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-352,19.8,995,21,103,478,425,70,994,26,10,38.5,15,57.7,593,2647,1354,41,39,8,59,18,750,135,Matches
Matz Sels,be BEL,GK,33-322,16.1,534,409,523,12,0,0,534,0,0,,0,,285,1484,767,0,0,0,0,0,244,0,Matches
Murillo,br BRA,DF,23-194,14.2,891,140,446,407,45,8,891,12,8,66.7,4,33.3,460,1872,1027,5,6,0,6,6,510,2,Matches
Dan Ndoye,ch SUI,FW,25-081,11.1,399,11,76,128,208,37,399,30,11,36.7,16,53.3,247,1947,970,42,18,15,33,15,279,95,Matches
Igor Jesus,br BRA,FW,24-323,12.8,402,12,36,171,201,69,402,21,5,23.8,14,66.7,223,862,288,10,9,4,49,20,307,69,Matches
Callum Hudson-Odoi,eng ENG,FW,25-068,12.4,582,7,49,169,372,35,582,46,19,41.3,23,50.0,396,3071,1735,63,34,14,21,15,459,139,Matches
Nicolò Savona,it ITA,DF,22-301,11.4,623,46,231,245,151,15,623,6,2,33.3,3,50.0,317,1087,393,11,8,2,8,2,345,37,Matches
Ibrahim Sangaré,ci CIV,MF,28-043,9.6,580,37,142,347,94,8,580,9,4,44.4,3,33.3,274,1218,632,10,11,0,14,8,364,5,Matches
Omari Hutchinson,eng ENG,FW,22-076,9.8,518,5,71,147,307,44,518,53,24,45.3,24,45.3,333,2465,1168,46,25,15,21,12,341,95,Matches
Morato,br BRA,DF,24-198,7.9,577,107,318,248,16,2,577,3,3,100.0,0,0.0,320,1453,884,3,5,0,5,0,379,1,Matches
Nicolás Domínguez,ar ARG,"MF,FW",27-200,6.3,315,15,72,155,91,6,315,6,3,50.0,3,50.0,142,720,363,4,9,1,1,3,182,15,Matches
Chris Wood,nz NZL,FW,34-038,6.0,119,9,10,66,44,21,119,1,1,100.0,0,0.0,48,116,41,0,2,0,11,2,94,16,Matches
John,br BRA,GK,29-335,4.9,146,117,145,1,0,0,146,0,0,,0,,86,360,206,0,0,0,0,0,77,0,Matches
Ola Aina,ng NGA,DF,29-098,4.8,301,18,101,110,94,5,301,13,3,23.1,9,69.2,111,484,264,6,5,1,1,8,150,12,Matches
Douglas Luiz,br BRA,MF,27-250,3.5,278,6,56,157,68,6,278,6,1,16.7,5,83.3,170,898,448,8,6,0,7,1,187,8,Matches
Oleksandr Zinchenko,ua UKR,DF,29-030,3.9,354,13,78,170,107,2,354,2,1,50.0,1,50.0,186,907,512,12,6,0,4,1,237,14,Matches
Dilane Bakwa,fr FRA,FW,23-141,3.4,192,3,27,54,115,11,192,17,4,23.5,10,58.8,115,798,326,12,7,4,5,2,134,38,Matches
Ryan Yates,eng ENG,MF,28-054,3.4,182,7,50,87,45,4,182,1,1,100.0,0,0.0,81,270,75,1,2,1,2,3,99,3,Matches
Taiwo Awoniyi,ng NGA,FW,28-155,2.1,59,3,5,26,29,10,59,1,0,0.0,1,100.0,36,139,41,1,3,0,13,2,47,9,Matches
James Mcatee,eng ENG,"MF,FW",23-088,1.9,94,1,11,45,40,3,94,5,2,40.0,3,60.0,56,405,228,5,5,2,2,4,68,11,Matches
Jair Cunha,br BRA,DF,20-313,1.0,60,8,40,18,2,0,60,1,1,100.0,0,0.0,34,102,59,0,0,0,0,0,34,0,Matches
Arnaud Kalimuendo,fr FRA,FW,23-359,1.1,46,1,3,12,31,8,46,1,0,0.0,1,100.0,25,143,90,5,1,3,3,1,33,14,Matches
Zach Abbott,eng ENG,DF,19-246,0.5,35,3,14,16,5,0,35,0,0,,0,,8,38,13,0,0,0,1,0,15,1,Matches
Jota Silva,pt POR,FW,26-166,0.1,7,0,2,1,4,2,7,0,0,,0,,2,3,2,0,0,0,1,0,4,1,Matches
Squad Total,,,26.2,21.0,12624,1300,4031,5337,3380,457,12622,361,151,41.8,176,48.8,6922,35007,17718,358,273,80,345,183,8031,874,
Opponent Total,,,26.6,21.0,12680,1447,4286,5486,3038,487,12675,386,159,41.2,188,48.7,7121,36761,20591,339,238,86,335,176,8005,805,
