Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Jordan Pickford,eng ENG,GK,31-313,21.0,917,564,857,61,0,0,917,0,0,,0,,530,3120,1853,0,0,0,0,0,462,0,Matches
James Tarkowski,eng ENG,DF,33-056,21.0,1195,206,585,519,96,42,1195,6,3,50.0,3,50.0,555,2737,1609,8,8,1,14,0,641,8,Matches
James Garner,eng ENG,"MF,DF",24-307,20.9,1362,67,330,649,402,16,1362,30,14,46.7,11,36.7,710,3540,1427,21,23,1,22,5,756,33,Matches
Jake O'Brien,ie IRL,DF,24-244,19.6,1046,82,368,443,240,21,1046,15,4,26.7,11,73.3,422,1606,749,12,15,0,14,12,528,38,Matches
Michael Keane,eng ENG,DF,33-003,18.6,950,148,495,402,61,34,950,4,2,50.0,2,50.0,471,1804,887,4,5,1,9,1,544,5,Matches
Vitaliy Mykolenko,ua UKR,DF,26-230,17.9,1038,88,326,433,283,15,1038,16,5,31.3,11,68.8,497,1996,1120,25,22,4,15,6,553,61,Matches
Jack Grealish,eng ENG,FW,30-126,17.1,792,22,119,273,414,94,792,82,23,28.0,33,40.2,566,4304,2274,97,45,48,34,30,570,133,Matches
Iliman Ndiaye,sn SEN,FW,25-314,14.9,665,24,103,253,330,51,664,75,34,45.3,35,46.7,409,2903,1381,53,31,16,46,32,421,97,Matches
Kiernan Dewsbury-Hall,eng ENG,MF,27-130,14.0,672,24,109,269,304,36,672,20,12,60.0,7,35.0,367,1713,865,23,25,6,21,19,409,58,Matches
Thierno Barry,fr FRA,FW,23-085,12.3,350,20,34,155,162,45,350,18,6,33.3,12,66.7,157,728,271,9,11,5,52,8,265,60,Matches
Idrissa Gana Gueye,sn SEN,MF,36-110,11.7,631,26,140,336,156,17,631,8,1,12.5,7,87.5,377,1446,656,5,13,0,11,4,399,17,Matches
Tim Iroegbunam,eng ENG,MF,22-198,10.3,459,21,101,257,113,16,459,26,7,26.9,17,65.4,218,1186,567,12,12,3,15,17,235,20,Matches
Beto,gw GNB,FW,27-348,9.3,265,22,37,93,137,48,265,22,3,13.6,16,72.7,114,465,107,5,2,2,46,15,173,32,Matches
Carlos Alcaraz,ar ARG,"MF,FW",23-045,7.4,379,11,50,194,139,24,379,13,5,38.5,6,46.2,179,935,416,8,11,2,27,8,232,26,Matches
Dwight McNeil,eng ENG,"FW,MF",26-053,5.4,209,8,30,105,79,8,209,8,4,50.0,4,50.0,113,633,281,5,11,0,17,8,131,19,Matches
Tyler Dibling,eng ENG,FW,19-308,3.6,158,6,32,67,62,8,158,22,9,40.9,9,40.9,90,571,290,11,7,2,11,8,96,14,Matches
Merlin Röhl,de GER,MF,23-193,3.0,151,8,35,67,52,9,151,8,2,25.0,5,62.5,76,416,205,5,2,1,7,9,91,17,Matches
Harrison Armstrong,eng ENG,MF,18-360,1.1,52,4,7,34,13,1,52,3,1,33.3,2,66.7,33,199,128,2,1,0,3,2,34,6,Matches
Nathan Patterson,sct SCO,DF,24-090,0.9,44,8,22,17,5,1,44,0,0,,0,,18,66,28,1,1,0,0,0,19,2,Matches
Séamus Coleman,ie IRL,"DF,FW",37-095,0.1,6,0,2,3,1,0,6,0,0,,0,,2,2,1,0,0,0,0,0,3,0,Matches
Squad Total,,,28.0,21.0,11341,1359,3782,4630,3049,486,11340,376,135,35.9,191,50.8,5904,30370,15115,306,245,92,364,184,6562,646,
Opponent Total,,,26.4,21.0,14171,1454,4647,6293,3340,547,14168,386,149,38.6,182,47.2,7959,40569,21339,379,257,96,342,197,9416,899,
