Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Caoimhín Kelleher,ie IRL,GK,27-052,21.0,856,630,822,34,0,0,856,2,1,50.0,0,0.0,489,2204,1280,0,1,1,0,0,472,0,Matches
Michael Kayode,it ITA,DF,21-188,20.3,1135,83,375,464,311,18,1135,64,31,48.4,22,34.4,491,2963,1478,39,26,4,23,15,542,82,Matches
Nathan Collins,ie IRL,DF,24-259,20.2,1313,232,718,517,85,45,1313,8,3,37.5,3,37.5,649,3191,1840,12,10,1,10,8,788,5,Matches
Thiago,br BRA,FW,24-202,19.5,596,42,85,278,240,84,590,32,17,53.1,14,43.8,266,1273,455,16,11,13,53,24,381,81,Matches
Kevin Schade,de GER,FW,24-048,18.3,585,37,116,232,248,79,584,52,12,23.1,33,63.5,273,2014,874,35,19,19,55,29,366,77,Matches
Yehor Yarmoliuk,ua UKR,MF,21-319,17.4,945,40,267,511,175,12,945,27,10,37.0,17,63.0,483,2359,986,18,13,1,24,12,557,24,Matches
Sepp van den Berg,nl NED,DF,24-025,17.0,950,174,499,414,41,24,950,0,0,,0,,446,2394,1392,13,2,0,7,2,563,9,Matches
Jordan Henderson,eng ENG,MF,35-211,15.0,961,48,239,591,141,9,961,8,3,37.5,5,62.5,473,2108,918,6,9,1,12,5,655,20,Matches
Mikkel Damsgaard,dk DEN,MF,25-195,13.0,711,13,117,334,273,37,711,34,10,29.4,21,61.8,348,1628,804,23,23,9,31,18,414,58,Matches
Dango Ouattara,bf BFA,FW,23-337,11.8,461,29,77,169,220,49,461,46,10,21.7,31,67.4,208,1271,570,28,10,15,35,15,259,80,Matches
Kristoffer Ajer,no NOR,DF,27-272,10.8,526,73,248,219,64,25,526,9,2,22.2,6,66.7,249,1241,733,8,4,0,12,4,289,10,Matches
Keane Lewis-Potter,eng ENG,"FW,DF",24-326,10.1,364,15,105,131,133,28,364,16,5,31.3,10,62.5,202,1080,543,20,13,9,14,14,231,56,Matches
Mathias Jensen,dk DEN,"MF,FW",30-013,8.6,495,14,84,263,157,19,495,15,10,66.7,5,33.3,233,929,402,7,6,2,19,13,305,33,Matches
Vitaly Janelt,de GER,MF,27-249,8.5,564,31,144,291,131,15,564,8,3,37.5,5,62.5,260,958,374,3,5,0,6,4,320,7,Matches
Rico Henry,jm JAM,DF,28-190,8.0,416,33,162,166,96,7,416,20,10,50.0,9,45.0,204,1089,565,18,15,5,20,3,219,33,Matches
Aaron Hickey,sct SCO,DF,23-218,5.7,328,15,113,161,56,8,328,6,0,0.0,5,83.3,131,620,230,3,2,0,8,5,180,11,Matches
Ethan Pinnock,jm JAM,DF,32-230,2.5,140,25,84,47,9,6,140,1,1,100.0,0,0.0,75,302,118,0,0,0,1,1,86,3,Matches
Fabio Carvalho,pt POR,"FW,MF",23-137,1.1,42,1,3,23,17,2,42,3,1,33.3,2,66.7,16,97,31,2,1,0,1,1,20,6,Matches
Antoni Milambo,nl NED,MF,20-286,0.5,19,1,6,10,4,0,19,0,0,,0,,5,32,30,1,2,0,1,0,8,1,Matches
Frank Onyeka,ng NGA,MF,28-013,1.0,50,3,9,31,11,2,50,4,2,50.0,2,50.0,22,128,53,2,1,0,3,0,26,2,Matches
Reiss Nelson,eng ENG,FW,26-035,0.6,46,1,5,19,24,3,46,5,2,40.0,3,60.0,30,230,74,2,1,1,2,2,33,6,Matches
Myles Peart-Harris,eng ENG,FW,23-118,0.0,1,0,0,1,0,0,1,0,0,,0,,1,6,0,0,0,0,0,0,1,0,Matches
Squad Total,,,25.7,21.0,11504,1540,4278,4906,2436,472,11497,360,133,36.9,193,53.6,5554,28117,13750,256,174,81,337,175,6715,604,
Opponent Total,,,26.7,21.0,12874,1353,4031,5755,3214,502,12869,334,146,43.7,149,44.6,7159,36829,19090,374,280,88,349,177,8120,755,
