Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Martin Dúbravka,sk SVK,GK,36-364,21.0,853,679,844,10,0,0,853,0,0,,0,,426,2119,1171,0,0,0,1,0,337,0,Matches
Kyle Walker,eng ENG,"DF,MF",35-231,19.8,1236,93,398,581,266,8,1236,20,7,35.0,11,55.0,539,2512,1316,24,14,3,31,11,630,30,Matches
Maxime Estève,fr FRA,DF,23-233,17.1,897,145,458,411,33,15,897,1,1,100.0,0,0.0,472,1762,1044,5,3,0,5,1,530,1,Matches
Josh Cullen,ie IRL,MF,29-282,16.8,1040,50,252,638,156,7,1040,8,2,25.0,4,50.0,517,1671,685,7,8,1,14,10,632,11,Matches
Quilindschy Hartman,nl NED,DF,24-061,14.9,837,59,278,372,193,18,837,10,3,30.0,6,60.0,388,1300,608,6,8,1,12,3,439,43,Matches
Florentino Luís,pt POR,MF,26-148,14.6,856,58,250,486,124,4,856,16,6,37.5,10,62.5,455,1578,698,6,4,0,8,10,531,9,Matches
Lesley Ugochukwu,fr FRA,MF,21-294,14.3,601,28,127,339,143,29,601,24,5,20.8,13,54.2,330,1624,734,17,13,5,16,22,386,30,Matches
Jaidon Anthony,eng ENG,"MF,FW",26-044,14.0,622,18,103,287,242,43,622,42,13,31.0,22,52.4,329,1975,920,27,14,9,50,21,373,72,Matches
Hjalmar Ekdal,se SWE,DF,27-085,12.9,636,109,332,274,32,19,636,2,2,100.0,0,0.0,322,1569,807,2,3,0,5,2,354,3,Matches
Josh Laurent,eng ENG,"DF,MF",30-253,11.8,519,51,197,239,88,14,519,5,1,20.0,4,80.0,253,1028,550,11,7,1,7,6,283,20,Matches
Lyle Foster,za RSA,FW,25-133,9.8,278,14,37,107,140,34,278,11,7,63.6,4,36.4,160,843,375,13,9,7,28,17,188,55,Matches
Jacob Bruun Larsen,dk DEN,"FW,MF",27-117,9.6,395,14,56,143,203,26,395,33,9,27.3,23,69.7,227,1230,585,16,15,6,15,9,251,61,Matches
Loum Tchaouna,fr FRA,"MF,FW",22-128,8.4,302,9,40,125,139,18,302,15,3,20.0,10,66.7,143,761,317,13,12,5,17,8,184,31,Matches
Axel Tuanzebe,cd COD,DF,28-061,7.8,455,74,234,207,16,0,455,1,0,0.0,0,0.0,278,1115,587,3,2,0,1,0,293,3,Matches
Zian Flemming,nl NED,FW,27-166,7.4,221,12,30,96,96,25,219,6,2,33.3,4,66.7,111,301,83,1,4,0,21,9,159,28,Matches
Armando Broja,al ALB,FW,24-126,7.1,211,10,21,92,103,32,211,22,7,31.8,13,59.1,100,717,309,14,5,7,23,16,143,32,Matches
Lucas,br BRA,"DF,MF",24-296,5.6,298,12,80,120,104,9,298,9,5,55.6,4,44.4,151,809,456,12,9,2,8,5,168,25,Matches
Hannibal Mejbri,tn TUN,MF,22-358,5.1,249,4,20,125,109,8,249,15,8,53.3,4,26.7,143,735,438,13,11,3,14,14,162,19,Matches
Marcus Edwards,eng ENG,"FW,MF",27-042,4.5,211,2,15,90,112,23,211,25,7,28.0,16,64.0,150,1120,537,22,15,11,19,9,167,44,Matches
Bashir Humphreys,eng ENG,DF,22-305,3.9,265,30,114,121,35,6,265,3,1,33.3,1,33.3,138,747,409,5,6,0,5,2,169,4,Matches
Oliver Sonne,pe PER,"DF,FW",25-065,1.9,96,3,27,39,30,4,96,3,1,33.3,2,66.7,41,145,58,0,1,0,1,1,50,7,Matches
Joe Worrall,eng ENG,DF,29-004,1.7,72,21,46,21,6,1,72,0,0,,0,,19,55,29,0,0,0,1,0,26,2,Matches
Mike Trésor,be BEL,"MF,FW",26-231,0.3,23,0,2,15,7,1,23,1,0,0.0,1,100.0,13,49,19,0,0,0,2,1,14,0,Matches
Ashley Barnes,eng ENG,FW,36-076,0.1,11,0,0,7,4,2,11,1,1,100.0,0,0.0,4,4,3,0,1,0,3,0,8,1,Matches
Jaydon Amauri Banel,nl NED,MF,21-087,0.1,7,0,2,2,3,0,7,2,0,0.0,1,50.0,4,22,5,0,0,0,1,0,6,0,Matches
Squad Total,,,27.8,21.0,11191,1495,3963,4947,2384,346,11189,275,91,33.1,153,55.6,5713,25791,12743,217,164,61,308,177,6483,531,
Opponent Total,,,26.6,21.0,14529,1258,4178,6741,3742,616,14523,350,150,42.9,171,48.9,8584,45136,24740,501,356,136,299,196,9841,873,
