Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Luke Shaw,eng ENG,DF,30-186,20.2,1410,113,496,724,199,15,1410,11,4,36.4,7,63.6,767,3959,2538,39,33,2,15,3,879,32,Matches
Bruno Fernandes,pt POR,MF,31-128,17.1,1324,47,219,712,406,44,1320,24,9,37.5,11,45.8,642,2829,1572,29,22,6,22,13,875,59,Matches
Casemiro,br BRA,MF,33-325,14.5,1009,53,252,593,171,35,1009,5,3,60.0,2,40.0,465,1692,840,10,16,1,18,6,630,24,Matches
Diogo Dalot,pt POR,DF,26-302,15.6,941,61,256,368,320,27,941,18,9,50.0,7,38.9,423,2073,1024,28,15,6,20,8,515,93,Matches
Bryan Mbeumo,cm CMR,MF,26-160,15.6,744,5,55,284,415,74,744,38,12,31.6,22,57.9,421,2305,1140,41,31,17,53,18,519,145,Matches
Matheus Cunha,br BRA,"MF,FW",26-232,15.2,773,16,96,360,329,72,773,60,30,50.0,27,45.0,453,3215,1621,54,35,23,49,37,540,78,Matches
Senne Lammens,be BEL,GK,23-191,15.0,530,438,523,6,2,1,530,0,0,,0,,318,1612,845,0,0,0,2,0,278,0,Matches
Amad Diallo,ci CIV,"DF,MF",23-187,13.4,751,24,108,298,353,72,751,44,21,47.7,20,45.5,451,2900,1701,71,33,32,25,13,508,122,Matches
Matthijs de Ligt,nl NED,DF,26-155,13.0,776,76,352,387,40,18,776,2,1,50.0,1,50.0,403,1546,675,3,4,0,6,1,451,7,Matches
Patrick Dorgu,dk DEN,"DF,FW",21-080,12.9,764,34,182,271,323,52,764,40,9,22.5,24,60.0,390,2126,1121,45,19,15,35,17,469,114,Matches
Leny Yoro,fr FRA,DF,20-062,12.7,794,77,336,376,88,14,794,2,1,50.0,1,50.0,445,2399,1457,14,13,0,10,5,505,5,Matches
Benjamin Šeško,si SVN,FW,22-228,11.6,346,14,31,177,142,55,346,21,5,23.8,16,76.2,154,591,199,8,6,6,21,22,256,56,Matches
Mason Mount,eng ENG,MF,27-004,9.1,424,6,42,212,179,32,424,15,5,33.3,8,53.3,246,1085,491,14,13,7,13,11,297,48,Matches
Ayden Heaven,eng ENG,DF,19-114,7.1,451,57,216,223,15,8,451,4,3,75.0,1,25.0,267,1356,683,4,4,0,1,1,282,3,Matches
Manuel Ugarte,uy URU,MF,24-278,8.1,507,31,127,294,92,5,507,9,7,77.8,1,11.1,248,1206,631,11,15,0,8,10,285,7,Matches
Altay Bayındır,tr TUR,GK,27-275,6.0,208,165,207,1,0,0,208,1,1,100.0,0,0.0,142,645,374,0,0,0,2,0,126,0,Matches
Noussair Mazraoui,ma MAR,DF,28-061,4.9,371,32,124,175,74,6,371,9,4,44.4,3,33.3,186,904,618,9,5,1,5,1,222,21,Matches
Joshua Zirkzee,nl NED,"FW,MF",24-237,5.4,267,11,28,137,103,32,267,6,3,50.0,3,50.0,136,470,145,3,5,2,31,9,203,27,Matches
Lisandro Martínez,ar ARG,DF,27-361,5.1,416,46,172,227,20,1,416,8,7,87.5,1,12.5,265,1502,979,8,4,0,2,1,293,1,Matches
Harry Maguire,eng ENG,DF,32-315,3.8,193,23,85,93,15,8,193,0,0,,0,,96,516,196,2,0,0,2,2,117,2,Matches
Kobbie Mainoo,eng ENG,MF,20-270,2.6,205,8,30,117,61,7,205,10,5,50.0,3,30.0,122,769,432,13,6,2,6,4,138,10,Matches
Jack Fletcher,eng ENG,"MF,FW",18-301,1.2,56,1,10,39,8,2,56,1,0,0.0,1,100.0,29,138,39,0,1,0,3,4,33,2,Matches
Bendito Mantato,eng ENG,FW,17-354,0.2,8,0,1,2,5,0,8,1,0,0.0,1,100.0,2,24,8,0,0,0,0,0,6,1,Matches
Shea Lacey,eng ENG,"FW,DF",18-275,0.2,10,0,0,2,8,1,10,1,1,100.0,0,0.0,7,54,20,1,0,0,2,1,6,2,Matches
Tyler Fredricson,eng ENG,DF,20-325,0.0,3,1,3,0,0,0,3,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Tyrell Malacia,nl NED,DF,26-150,0.0,4,0,1,3,0,0,4,0,0,,0,,2,4,1,0,0,0,0,0,2,0,Matches
Squad Total,,,26.3,21.0,13285,1339,3952,6081,3368,581,13281,330,140,42.4,160,48.5,7080,35920,19350,407,280,120,351,187,8435,859,
Opponent Total,,,26.6,21.0,11820,1433,3944,5173,2816,468,11819,384,161,41.9,190,49.5,5942,31419,15734,332,235,94,347,203,6913,661,
