Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Bruno Guimarães,br BRA,MF,28-059,19.4,1319,49,231,678,425,34,1317,37,12,32.4,21,56.8,849,3761,1827,28,29,6,41,31,991,56,Matches
Sandro Tonali,it ITA,MF,25-251,15.9,1092,33,198,654,256,11,1092,25,11,44.0,8,32.0,606,3108,1362,25,18,3,23,11,716,29,Matches
Malick Thiaw,de GER,DF,24-159,16.5,1075,131,464,546,69,23,1075,3,2,66.7,0,0.0,640,3171,1957,15,11,0,5,2,708,15,Matches
Nick Woltemade,de GER,FW,23-334,14.0,374,20,37,177,164,60,373,24,8,33.3,15,62.5,204,753,190,5,6,5,37,29,273,59,Matches
Nick Pope,eng ENG,GK,33-270,14.8,473,370,461,13,0,0,473,0,0,,0,,248,1340,837,0,0,0,0,0,170,0,Matches
Dan Burn,eng ENG,DF,33-250,13.9,849,85,378,367,110,25,849,2,2,100.0,0,0.0,407,1583,702,5,4,1,11,4,462,24,Matches
Joelinton,br BRA,MF,29-153,13.6,695,40,151,373,178,37,695,16,6,37.5,8,50.0,340,1441,702,19,8,3,15,10,442,53,Matches
Anthony Gordon,eng ENG,FW,24-324,11.1,532,7,46,226,266,48,530,62,23,37.1,26,41.9,351,2700,1381,53,36,13,31,15,379,89,Matches
Jacob Murphy,eng ENG,FW,30-324,11.2,538,17,54,174,317,38,538,28,15,53.6,12,42.9,341,1816,817,30,15,10,18,9,398,128,Matches
Fabian Schär,ch SUI,DF,34-025,12.1,963,92,460,445,60,18,963,2,0,0.0,1,50.0,563,2169,1201,6,3,0,8,1,641,8,Matches
Valentino Livramento,eng ENG,DF,23-063,11.7,762,43,198,334,240,16,762,27,10,37.0,14,51.9,420,2047,1097,23,22,5,20,7,442,69,Matches
Lewis Miley,eng ENG,"MF,DF",19-258,11.4,767,34,170,428,174,20,767,12,10,83.3,1,8.3,417,1990,968,14,4,0,14,7,479,24,Matches
Lewis Hall,eng ENG,DF,21-128,10.5,825,36,215,425,193,19,825,36,21,58.3,7,19.4,400,1763,959,19,11,4,17,13,491,45,Matches
Harvey Barnes,eng ENG,FW,28-036,10.6,422,13,35,146,248,64,422,30,10,33.3,18,60.0,282,1844,978,38,21,18,22,12,318,106,Matches
Sven Botman,nl NED,DF,26-002,7.8,535,88,303,211,23,15,535,1,1,100.0,0,0.0,308,1366,608,1,1,1,5,1,325,3,Matches
Kieran Trippier,eng ENG,DF,35-117,7.8,640,24,162,306,175,2,640,3,2,66.7,1,33.3,328,1095,549,11,9,0,3,3,377,40,Matches
Anthony Elanga,se SWE,"FW,MF",23-262,7.6,373,6,38,129,209,28,373,25,4,16.0,19,76.0,249,1451,637,29,12,9,17,14,295,98,Matches
Aaron Ramsdale,eng ENG,GK,27-245,6.2,231,166,225,6,0,0,231,0,0,,0,,146,590,404,0,0,0,0,0,130,0,Matches
Jacob Ramsey,eng ENG,MF,24-231,5.7,340,9,48,171,126,23,340,16,8,50.0,8,50.0,234,1273,489,13,13,6,8,4,251,45,Matches
Yoane Wissa,cd COD,FW,29-133,2.7,65,1,5,29,32,15,65,4,0,0.0,4,100.0,23,85,43,2,1,0,5,2,36,10,Matches
Joe Willock,eng ENG,"MF,FW",26-147,2.7,156,2,19,79,61,10,156,4,2,50.0,2,50.0,95,587,336,14,5,2,6,2,103,16,Matches
William Osula,dk DEN,FW,22-163,2.4,60,2,7,33,22,10,60,6,3,50.0,2,33.3,36,205,79,4,1,2,9,2,40,12,Matches
Emil Krafth,se SWE,DF,31-165,0.5,32,0,9,13,10,0,32,1,0,0.0,1,100.0,17,29,5,0,0,0,0,1,19,5,Matches
Jamaal Lascelles,eng ENG,DF,32-064,0.2,14,3,11,1,2,2,14,0,0,,0,,3,16,1,0,0,0,0,0,7,1,Matches
Squad Total,,,27.4,21.0,13132,1271,3925,5964,3360,518,13127,364,150,41.2,168,46.2,7507,36183,18129,354,230,88,315,180,8493,935,
Opponent Total,,,26.7,21.0,11934,1468,3955,5286,2839,487,11931,335,159,47.5,135,40.3,6264,32320,16373,333,249,103,335,157,7230,708,
