Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Erling Haaland,no NOR,FW,25-177,20.2,437,32,56,167,217,127,434,22,8,36.4,10,45.5,208,1018,601,30,14,20,25,13,302,65,Matches
Rúben Dias,pt POR,DF,28-245,19.0,1587,144,630,873,84,8,1587,4,1,25.0,1,25.0,1096,5284,2990,14,22,1,2,2,1217,1,Matches
Gianluigi Donnarumma,it ITA,GK,26-323,18.0,551,455,544,7,0,0,551,2,2,100.0,0,0.0,377,1589,793,0,0,0,0,0,322,0,Matches
Phil Foden,eng ENG,MF,25-231,17.4,1151,16,172,498,487,57,1151,34,18,52.9,13,38.2,703,2882,1300,31,34,5,27,21,873,91,Matches
Matheus Nunes,pt POR,DF,27-140,17.5,1599,79,429,794,397,16,1599,31,16,51.6,12,38.7,993,4565,2351,38,43,1,24,9,1098,84,Matches
Bernardo Silva,pt POR,MF,31-157,16.6,1141,43,245,559,343,31,1141,30,11,36.7,15,50.0,770,4294,2141,43,34,8,19,21,864,75,Matches
Nico O’Reilly,eng ENG,DF,20-299,16.4,1120,60,291,511,330,50,1120,37,14,37.8,20,54.1,568,3078,1668,47,38,10,25,21,684,92,Matches
Tijjani Reijnders,nl NED,MF,27-169,14.8,851,22,108,394,356,51,851,40,17,42.5,19,47.5,548,2901,1478,37,37,10,22,16,670,67,Matches
Nicolás González,es ESP,MF,24-011,14.8,1289,56,257,799,241,15,1289,21,11,52.4,5,23.8,760,3505,1866,21,17,1,16,13,914,12,Matches
Joško Gvardiol,hr CRO,DF,23-356,14.5,1173,98,407,627,145,26,1173,6,2,33.3,4,66.7,767,4428,2625,21,25,0,10,3,831,10,Matches
Jeremy Doku,be BEL,"MF,FW",23-232,12.1,666,2,53,216,411,98,666,109,59,54.1,40,36.7,517,4661,2958,123,51,62,53,35,546,130,Matches
Rayan Cherki,fr FRA,"MF,FW",22-150,9.3,769,11,71,327,377,63,769,61,26,42.6,29,47.5,524,2922,1643,56,43,28,25,16,589,92,Matches
Sávio,br BRA,"MF,FW",21-279,6.0,373,5,39,108,235,43,373,36,8,22.2,18,50.0,248,2015,1118,50,22,21,16,6,281,60,Matches
Oscar Bobb,no NOR,"MF,FW",22-186,5.2,274,3,21,97,161,29,274,28,16,57.1,10,35.7,183,998,487,17,12,13,10,8,208,55,Matches
Rodri,es ESP,MF,29-206,5.1,465,21,123,264,79,6,465,7,3,42.9,2,28.6,263,1052,534,9,5,2,3,3,337,5,Matches
Abdukodir Khusanov,uz UZB,DF,21-319,4.2,323,28,143,147,35,0,323,3,2,66.7,1,33.3,188,824,348,3,6,0,1,1,220,5,Matches
John Stones,eng ENG,DF,31-231,3.9,292,35,140,131,24,1,292,2,2,100.0,0,0.0,186,1009,482,3,3,0,2,1,217,5,Matches
Nathan Aké,nl NED,DF,30-330,4.5,359,25,141,171,48,7,359,1,0,0.0,1,100.0,222,1098,633,6,6,0,3,0,262,3,Matches
James Trafford,eng ENG,GK,23-096,3.0,132,114,132,0,0,0,132,1,1,100.0,0,0.0,84,343,127,0,0,0,0,0,72,0,Matches
Rayan Aït-Nouri,dz ALG,DF,24-222,2.3,172,10,61,67,44,2,172,8,2,25.0,6,75.0,81,441,184,7,2,0,4,2,101,8,Matches
Rico Lewis,eng ENG,"DF,MF",21-054,2.5,223,6,45,120,60,15,223,3,1,33.3,1,33.3,137,585,279,3,5,1,3,3,164,12,Matches
Omar Marmoush,eg EGY,"FW,MF",26-341,2.3,100,3,12,40,49,19,100,12,5,41.7,4,33.3,61,354,139,7,0,7,9,7,74,20,Matches
Max Alleyne,eng ENG,DF,20-177,1.0,95,10,37,52,7,2,95,4,3,75.0,1,25.0,64,383,228,1,0,0,0,0,68,0,Matches
Divine Mukasa,eng ENG,MF,18-145,0.2,17,0,2,5,11,0,17,0,0,,0,,15,73,40,1,2,0,0,1,17,0,Matches
Mateo Kovačić,hr CRO,MF,31-253,0.1,23,1,8,15,0,0,23,1,1,100.0,0,0.0,13,80,26,0,0,0,0,1,23,0,Matches
Squad Total,,,25.8,21.0,15182,1279,4167,6989,4141,666,15179,503,229,45.5,212,42.1,9576,50382,27039,568,421,190,299,203,10954,892,
Opponent Total,,,26.6,21.0,11362,1619,4407,4725,2334,388,11360,285,109,38.2,143,50.2,6338,30717,14587,296,192,77,334,158,7093,525,
