Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Jarrod Bowen,eng ENG,"FW,MF",29-025,21.0,751,20,95,258,417,93,751,73,29,39.7,37,50.7,429,3250,1587,68,39,33,48,38,518,151,Matches
Lucas Paquetá,br BRA,"MF,FW",28-140,16.8,1054,29,170,575,323,25,1052,47,16,34.0,26,55.3,552,2257,936,10,18,3,38,27,763,59,Matches
Mateus Fernandes,pt POR,"MF,FW",21-188,16.6,936,43,202,538,205,11,936,29,14,48.3,11,37.9,453,2702,1198,25,15,2,18,20,579,34,Matches
Max Kilman,eng ENG,DF,28-236,17.0,885,192,489,372,28,13,885,5,4,80.0,1,20.0,457,2223,1261,5,6,0,6,5,543,1,Matches
Alphonse Areola,fr FRA,GK,32-321,17.0,595,477,585,10,0,0,595,0,0,,0,,267,1325,748,0,0,0,0,0,206,0,Matches
El Hadji Malick Diouf,sn SEN,DF,21-017,15.4,836,69,293,333,216,13,836,25,11,44.0,14,56.0,372,1801,846,18,21,1,27,11,450,63,Matches
Jean-Clair Todibo,fr FRA,DF,26-015,13.9,706,103,342,339,29,6,706,4,2,50.0,1,25.0,402,2095,1146,9,5,1,7,1,425,3,Matches
Crysencio Summerville,nl NED,"FW,MF",24-076,12.7,504,15,69,193,252,49,504,53,20,37.7,23,43.4,312,2316,966,26,28,19,32,22,364,81,Matches
Konstantinos Mavropanos,gr GRE,DF,28-034,12.1,736,123,373,336,31,18,736,0,0,,0,,368,1884,1166,7,4,0,7,2,434,2,Matches
Aaron Wan-Bissaka,cd COD,DF,28-049,11.2,649,47,206,256,192,9,649,24,10,41.7,10,41.7,274,1598,816,24,14,1,13,8,336,50,Matches
Freddie Potts,eng ENG,MF,22-124,10.8,597,32,151,353,97,6,597,9,2,22.2,6,66.7,257,1026,496,6,8,3,6,4,343,7,Matches
Kyle Walker-Peters,eng ENG,DF,28-276,10.6,663,41,192,319,160,13,663,19,10,52.6,4,21.1,320,1426,759,24,11,3,9,12,381,47,Matches
Soungoutou Magassa,fr FRA,MF,22-098,8.2,424,29,133,227,65,5,424,6,3,50.0,3,50.0,176,809,381,5,2,1,7,2,229,8,Matches
Callum Wilson,eng ENG,FW,33-321,9.0,195,7,14,87,98,41,195,17,10,58.8,5,29.4,95,494,233,13,8,8,37,10,137,37,Matches
Tomáš Souček,cz CZE,"MF,FW",30-321,8.1,419,40,113,212,96,21,419,4,1,25.0,3,75.0,162,556,274,5,4,0,15,3,243,19,Matches
Oliver Scarles,eng ENG,DF,20-033,5.2,355,25,143,130,84,5,355,9,2,22.2,7,77.8,151,553,269,4,4,1,13,0,181,21,Matches
James Ward-Prowse,eng ENG,MF,31-074,4.6,246,8,44,148,55,1,246,2,0,0.0,1,50.0,100,522,182,1,3,0,5,0,156,8,Matches
Niclas Füllkrug,de GER,FW,32-339,4.5,135,5,17,62,58,22,135,0,0,,0,,51,146,44,1,2,0,9,6,94,16,Matches
Mads Hermansen,dk DEN,GK,25-187,4.0,163,122,162,1,0,0,163,0,0,,0,,110,565,258,0,0,0,0,0,99,0,Matches
Nayef Aguerd,ma MAR,DF,29-290,2.0,143,14,62,72,9,2,143,1,1,100.0,0,0.0,71,405,222,2,2,0,1,0,93,0,Matches
Guido Rodríguez,ar ARG,MF,31-277,1.9,87,1,16,56,15,0,87,0,0,,0,,46,214,53,0,1,0,1,0,60,4,Matches
Andy Irving,sct SCO,MF,25-246,1.8,129,2,21,74,36,1,129,1,0,0.0,1,100.0,55,305,98,2,3,0,2,2,65,2,Matches
Luis Guilherme,br BRA,"FW,MF",19-339,1.4,45,4,12,19,15,2,45,6,2,33.3,4,66.7,34,191,83,2,2,0,3,5,32,5,Matches
Igor,br BRA,DF,27-341,1.2,43,11,24,18,1,0,43,0,0,,0,,14,95,48,0,0,0,3,0,17,1,Matches
Valentín Castellanos,ar ARG,FW,27-103,1.0,21,0,4,10,10,3,21,0,0,,0,,10,57,27,1,1,0,3,1,9,3,Matches
Ezra Mayers,bb BRB,DF,18-363,1.3,93,2,18,58,18,3,93,1,1,100.0,0,0.0,52,173,110,2,2,0,1,1,65,7,Matches
Callum Marshall,nir NIR,FW,21-047,0.7,12,0,1,7,5,1,12,2,1,50.0,1,50.0,4,31,12,0,0,0,3,2,4,0,Matches
Pablo,br BRA,MF,22-012,0.3,17,0,1,2,14,1,17,0,0,,0,,8,26,19,1,0,1,1,1,13,1,Matches
Mohamadou Kanté,fr FRA,"FW,MF",20-116,0.2,10,1,2,4,4,1,10,0,0,,0,,7,43,31,2,1,1,1,1,8,2,Matches
George Earthy,eng ENG,FW,21-131,0.1,3,0,0,1,2,1,3,0,0,,0,,2,9,8,1,0,1,0,0,3,0,Matches
Squad Total,,,27.0,21.0,11452,1462,3954,5070,2535,366,11450,337,139,41.2,158,46.9,5611,29097,14277,264,204,79,316,184,6850,632,
Opponent Total,,,26.7,21.0,14015,1217,3925,6342,3867,612,14009,333,129,38.7,175,52.6,8126,42284,23775,466,349,110,310,189,9452,957,
