Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Unnamed: 27_level_0_Matches
Bart Verbruggen,nl NED,GK,23-149,21.0,975,705,954,22,0,0,975,1,1,100.0,0,0.0,715,2667,1355,0,0,0,0,0,662,0,Matches
Jan Paul van Hecke,nl NED,DF,25-220,20.0,1687,155,696,896,105,23,1687,6,3,50.0,0,0.0,1143,7979,5445,50,26,1,5,3,1252,5,Matches
Lewis Dunk,eng ENG,DF,34-054,19.5,1796,288,940,802,64,22,1796,5,4,80.0,0,0.0,1042,4942,2413,14,7,1,7,4,1217,1,Matches
Yankuba Minteh,gm GAM,FW,21-176,17.1,720,10,70,237,427,105,720,86,44,51.2,38,44.2,454,3446,1873,82,24,54,54,23,483,174,Matches
Ferdi Kadioglu,tr TUR,"DF,FW",26-099,17.8,992,47,245,426,329,24,992,16,9,56.3,4,25.0,547,3546,2170,59,42,4,25,10,618,87,Matches
Yasin Ayari,se SWE,MF,22-100,16.9,1007,47,249,558,213,25,1007,41,13,31.7,25,61.0,577,2513,1023,13,19,3,24,15,689,24,Matches
Georginio Rutter,fr FRA,"MF,FW",23-269,14.9,578,30,71,268,248,62,578,57,23,40.4,25,43.9,332,1878,810,26,15,16,70,44,410,68,Matches
Diego Gómez,py PAR,"MF,FW",22-293,14.1,648,28,119,347,202,41,648,24,9,37.5,13,54.2,332,1505,725,16,16,4,26,18,378,38,Matches
Carlos Baleba,cm CMR,MF,22-011,10.0,483,26,117,294,81,1,483,13,7,53.8,5,38.5,279,1248,575,10,11,1,17,11,281,8,Matches
Mats Wieffer,nl NED,DF,26-059,13.1,897,50,282,392,229,36,897,20,7,35.0,11,55.0,415,2067,1179,25,17,3,16,15,446,45,Matches
Danny Welbeck,eng ENG,FW,35-049,12.5,365,10,37,150,184,50,362,14,6,42.9,7,50.0,206,881,364,10,7,3,23,14,256,47,Matches
Maxim De Cuyper,be BEL,"DF,FW",25-023,10.9,629,26,166,259,206,16,629,11,4,36.4,7,63.6,342,1410,740,16,14,2,9,4,405,57,Matches
Kaoru Mitoma,jp JPN,FW,28-239,8.3,343,10,40,120,184,32,343,34,14,41.2,18,52.9,217,1321,797,29,17,9,16,12,234,77,Matches
Brajan Gruda,de GER,"MF,FW",21-228,7.3,353,5,38,133,191,20,353,51,15,29.4,30,58.8,217,1540,864,25,19,9,24,16,228,57,Matches
Jack Hinshelwood,eng ENG,"MF,DF",20-278,6.6,333,22,98,173,66,8,333,3,2,66.7,1,33.3,189,1108,602,10,4,2,2,4,213,7,Matches
Joël Veltman,nl NED,DF,33-364,6.5,388,21,123,176,90,8,388,6,2,33.3,2,33.3,165,870,455,15,12,2,7,2,174,10,Matches
James Milner,eng ENG,MF,40-010,3.4,235,15,59,137,39,2,234,1,0,0.0,1,100.0,127,519,261,4,3,0,2,3,155,6,Matches
Diego Coppola,it ITA,DF,22-017,2.2,140,15,71,61,8,1,140,1,1,100.0,0,0.0,93,422,186,2,1,0,1,0,97,0,Matches
Matt O'Riley,dk DEN,MF,25-054,2.0,85,1,13,38,34,7,84,1,0,0.0,1,100.0,38,130,48,0,2,0,6,1,55,11,Matches
Olivier Boscagli,fr FRA,DF,28-057,1.6,174,15,69,88,18,1,174,0,0,,0,,125,605,375,6,2,0,0,0,123,4,Matches
Charalampos Kostoulas,gr GRE,"FW,MF",18-229,2.0,121,1,13,45,67,22,121,17,7,41.2,8,47.1,59,338,119,7,5,3,15,7,72,17,Matches
Stefanos Tzimas,gr GRE,"FW,MF",20-008,1.5,48,3,8,18,23,10,48,2,1,50.0,1,50.0,29,152,48,1,2,0,4,9,30,8,Matches
Pascal Groß,de GER,MF,34-213,1.2,72,7,30,28,14,4,72,0,0,,0,,30,79,21,0,0,0,2,0,55,3,Matches
Tom Watson,eng ENG,FW,19-281,0.7,29,1,5,12,15,0,29,1,0,0.0,1,100.0,19,119,76,3,1,0,5,0,19,4,Matches
Joe Knight,eng ENG,MF,20-115,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Nehemiah Oriola,eng ENG,MF,18-217,0.0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,Matches
Squad Total,,,25.9,21.0,13098,1538,4513,5680,3037,520,13093,411,172,41.8,198,48.2,7692,41285,22524,423,266,117,360,215,8552,758,
Opponent Total,,,26.7,21.0,12245,1553,4340,5181,2832,526,12240,462,211,45.7,189,40.9,7181,36640,18017,354,257,124,312,198,7767,676,
