id,player_name,team,yellow_cards,red_cards,second_yellow_cards,fouls_commited,fouls_drawn,offsides,pk_won,pk_conceded,own_goals,ball_recoveries,aerial_duels_won,aerial_duels_lost,aerial_duels_won_percent
69,Marcus Tavernier,Bournemouth,6,0,0,34,28,4,0,0,0,119,26,33,44.1
70,Adam Smith,Bournemouth,7,0,0,19,12,0,0,0,0,50,14,15,48.3
71,Marcos Senesi,Bournemouth,5,0,0,22,8,0,0,0,0,71,32,29,52.5
72,David Brooks,Bournemouth,3,0,0,11,18,0,0,0,0,50,7,10,41.2
73,Alex Scott,Bournemouth,3,0,0,17,26,0,0,0,0,52,7,7,50
74,Julian Araujo,Bournemouth,2,0,0,7,2,1,0,0,0,29,3,9,25
75,James Hill,Bournemouth,1,0,0,7,5,0,0,0,0,13,14,12,53.8
76,Mark Travers,Bournemouth,0,0,0,0,1,0,0,0,0,3,1,0,100
77,Enes Ünal,Bournemouth,2,0,0,6,9,1,0,0,0,16,24,22,52.2
78,Neto,Bournemouth,0,0,0,0,2,0,0,0,0,3,0,0,0
79,Luis Sinisterra,Bournemouth,0,0,0,4,2,1,0,0,0,17,3,7,30
80,Philip Billing,Bournemouth,1,0,0,3,2,0,0,0,0,14,6,4,60
81,Max Aarons,Bournemouth,0,0,0,0,2,0,0,0,0,7,0,0,0
82,Daniel Jebbison,Bournemouth,1,0,0,2,4,0,0,0,0,10,2,10,16.7
83,Ben Winterburn,Bournemouth,0,0,0,0,1,0,0,0,0,2,1,0,100
84,Julio Soler,Bournemouth,0,0,0,0,1,0,0,0,0,0,0,0,0
85,Remy Rees-Dottin,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Zain Silcott-Duberry,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,1,0
89,Nathan Collins,Brentford,5,0,0,29,31,6,2,0,0,162,117,69,62.9
90,Bryan Mbeumo,Brentford,3,0,0,25,44,11,0,0,0,156,34,74,31.5
91,Mark Flekken,Brentford,1,0,0,0,3,0,0,0,0,39,4,0,100
92,Keane Lewis-Potter,Brentford,7,0,0,18,31,4,1,0,0,146,27,35,43.5
93,Yoane Wissa,Brentford,5,0,0,34,51,14,1,0,0,81,30,36,45.5
94,Mikkel Damsgaard,Brentford,2,0,0,18,27,6,0,0,0,179,12,27,30.8
95,Christian Nørgaard,Brentford,8,1,0,44,28,1,0,0,0,193,49,30,62
96,Sepp van den Berg,Brentford,3,0,0,23,5,1,1,0,0,97,94,77,55
97,Vitaly Janelt,Brentford,3,0,0,24,15,1,0,0,2,107,19,11,63.3
98,Kevin Schade,Brentford,3,0,0,21,38,13,1,0,0,83,90,80,52.9
99,Ethan Pinnock,Brentford,2,0,0,8,4,0,0,1,1,50,63,43,59.4
100,Kristoffer Ajer,Brentford,5,0,0,13,6,2,0,0,0,42,27,23,54
101,Yehor Yarmoliuk,Brentford,6,0,0,19,13,2,0,0,0,113,8,10,44.4
102,Mads Roerslev,Brentford,2,0,0,6,10,0,0,0,0,39,10,14,41.7
103,Mathias Jensen,Brentford,2,0,0,7,10,0,0,0,0,48,8,5,61.5
