id,player_name,team,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
156,Marc Cucurella,Chelsea,2134,111,648,988,508,74,2134,13,4,30.8,7,53.8,907,3920,2293,35,20,2,26,6,1327,113
157,Enzo Fernández,Chelsea,2121,36,330,1078,728,80,2121,52,25,48.1,19,36.5,1170,5444,2652,59,54,9,27,27,1563,122
158,Robert Sánchez,Chelsea,1254,924,1242,12,0,0,1254,0,0,0,0,0,839,4180,2651,0,0,0,0,0,782,0
159,Nicolas Jackson,Chelsea,687,19,50,285,361,141,687,61,18,29.5,32,52.5,417,2510,1316,47,25,32,71,41,514,129
160,Noni Madueke,Chelsea,894,20,92,262,555,174,894,91,40,44,41,45.1,593,4961,3192,144,47,88,47,24,689,214
161,Pedro Neto,Chelsea,1082,13,99,315,685,111,1082,99,33,33.3,42,42.4,705,5948,3122,119,54,43,42,26,788,241
162,Malo Gusto,Chelsea,1585,62,383,768,447,43,1585,16,4,25,11,68.8,878,4461,2214,49,35,8,16,17,1068,84
163,Jadon Sancho,Chelsea,943,11,115,271,567,121,943,96,45,46.9,39,40.6,635,4359,2399,100,33,57,29,21,738,221
164,Wesley Fofana,Chelsea,933,81,370,523,55,10,933,15,8,53.3,3,20,557,3149,1614,19,12,1,16,5,665,4
165,Tosin Adarabioyo,Chelsea,1198,160,570,603,26,13,1198,5,4,80,0,0,713,2950,1690,5,2,0,3,0,916,1
166,Trevoh Chalobah,Chelsea,774,73,331,389,59,12,774,5,2,40,1,20,426,1753,772,4,5,1,3,2,574,2
167,Roméo Lavia,Chelsea,480,16,105,312,69,1,480,14,9,64.3,5,35.7,288,1315,535,3,9,0,3,7,348,7
168,Reece James,Chelsea,808,34,219,444,150,6,808,16,6,37.5,6,37.5,421,1683,762,6,4,0,6,5,516,12
169,Christopher Nkunku,Chelsea,448,10,52,183,217,52,448,27,10,37,14,51.9,280,1368,628,17,16,13,18,17,356,68
170,Filip Jørgensen,Chelsea,202,174,201,1,0,0,202,0,0,0,0,0,145,676,423,0,0,0,0,0,139,0
171,Axel Disasi,Chelsea,323,17,110,175,40,2,323,1,1,100,0,0,196,953,519,6,3,0,1,3,242,2
172,João Félix,Chelsea,272,2,26,128,125,30,272,31,10,32.3,14,45.2,193,1248,712,21,13,5,6,4,218,30
173,Benoît Badiashile,Chelsea,336,31,138,186,13,0,336,1,0,0,1,100,177,660,340,3,5,0,1,0,247,2
174,Kiernan Dewsbury-Hall,Chelsea,181,4,28,95,58,6,181,4,2,50,2,50,93,474,221,5,1,0,1,3,137,11
175,Joshua Acheampong,Chelsea,137,7,48,81,8,3,137,2,1,50,0,0,106,709,409,0,2,0,2,0,111,0
176,Renato Veiga,Chelsea,167,2,61,82,27,3,167,5,3,60,2,40,85,417,144,4,5,1,1,0,110,3
177,Mykhailo Mudryk,Chelsea,62,3,12,15,38,6,62,8,3,37.5,5,62.5,39,468,227,7,8,0,3,7,42,12
178,Tyrique George,Chelsea,56,1,10,14,33,8,56,4,3,75,1,25,38,348,208,9,1,5,1,0,44,18
179,Marc Guiu,Chelsea,22,0,2,8,12,3,22,1,0,0,1,100,12,30,8,0,0,0,2,0,12,3
180,Mathis Amougou,Chelsea,9,1,2,4,3,0,9,0,0,0,0,0,7,25,5,0,1,0,0,1,6,0
181,Shumaira Mheuka,Chelsea,2,0,0,0,2,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
184,Dean Henderson,Crystal Palace,1308,1065,1303,4,1,1,1308,0,0,0,0,0,751,4483,2136,0,0,0,2,0,580,0
185,Daniel Muñoz,Crystal Palace,2010,119,568,826,637,107,2010,56,21,37.5,33,58.9,806,4046,1797,62,40,18,55,20,956,206
186,Tyrick Mitchell,Crystal Palace,1754,114,622,671,475,43,1754,38,16,42.1,17,44.7,820,3825,1771,63,36,9,38,30,902,171
187,Maxence Lacroix,Crystal Palace,1934,362,1184,672,85,45,1934,14,8,57.1,4,28.6,1030,4806,2203,8,6,0,21,6,1136,7
188,Marc Guéhi,Crystal Palace,2131,311,1051,943,148,39,2131,15,12,80,2,13.3,1142,5574,2935,22,17,1,16,18,1330,10
189,Jean-Philippe Mateta,Crystal Palace,739,26,64,350,340,94,737,46,20,43.5,22,47.8,400,2143,1048,45,22,10,72,45,539,122
190,Eberechi Eze,Crystal Palace,1414,17,193,661,597,95,1412,138,67,48.6,62,44.9,840,5063,2380,69,48,22,55,45,907,153
191,Ismaila Sarr,Crystal Palace,1091,48,180,411,511,135,1091,61,17,27.9,35,57.4,607,3721,2108,75,47,28,70,43,739,183
192,Jefferson Lerma,Crystal Palace,1406,124,469,703,244,29,1406,13,7,53.8,4,30.8,649,2478,1100,13,11,0,15,18,803,26
