id,player_name,team,touches,touches_in_def_pen_area,touches_in_def_third,touches_in_mid_third,touches_in_att_third,touches_in_att_pen_area,live_ball_touches,attempted_take_ons,successful_take_ons,successful_take_ons_percent,tackled_during_take_on,tackled_during_take_on_percent,carries,total_carrying_distance,progressive_carrying_distance,progressive_carries,carries_into_final_third,carries_into_pen_area,miscontrols,times_dispossessed,passes_received,progressive_passes_received
205,Joachim Andersen,Crystal Palace,93,14,38,50,5,0,93,0,0,0,0,0,49,189,103,1,1,0,0,1,67,1
206,Chadi Riad,Crystal Palace,90,5,41,49,1,0,90,0,0,0,0,0,58,318,232,2,0,0,1,0,69,0
207,Joel Ward,Crystal Palace,32,3,17,15,1,0,32,1,0,0,1,100,15,43,15,0,0,0,0,0,16,1
208,Jeffrey Schlupp,Crystal Palace,79,2,9,31,41,6,79,1,1,100,0,0,30,150,67,4,1,1,7,0,41,9
209,Matheus França,Crystal Palace,33,2,5,11,17,7,33,0,0,0,0,0,20,130,85,4,1,3,2,0,22,4
210,Jordan Ayew,Crystal Palace,12,0,0,7,5,1,12,0,0,0,0,0,6,25,12,0,0,0,0,1,9,1
211,Caleb Kporha,Crystal Palace,11,1,4,2,5,0,11,0,0,0,0,0,4,46,36,1,1,0,0,2,3,0
212,Asher Agbinone,Crystal Palace,8,0,0,2,6,0,8,2,0,0,1,50,5,53,23,2,0,0,0,1,5,1
215,Jordan Pickford,Everton,1708,1116,1640,69,0,0,1708,0,0,0,0,0,989,5989,3568,0,0,0,2,0,871,0
216,Vitaliy Mykolenko,Everton,1678,125,525,713,452,32,1678,20,8,40,9,45,697,2825,1506,33,28,1,23,11,860,99
217,Idrissa Gana Gueye,Everton,1801,72,432,1045,336,21,1801,39,18,46.2,19,48.7,861,4046,1752,27,27,4,32,38,1048,27
218,James Tarkowski,Everton,1706,355,974,635,106,57,1706,7,5,71.4,2,28.6,727,3610,1943,9,10,0,13,7,927,3
219,Abdoulaye Doucouré,Everton,1161,32,225,538,413,65,1161,45,24,53.3,21,46.7,604,2952,1396,42,26,8,38,38,750,96
220,Iliman Ndiaye,Everton,1084,36,219,451,464,83,1082,143,68,47.6,64,44.8,621,4800,2367,86,44,32,55,44,674,122
221,Jarrad Branthwaite,Everton,1520,211,783,676,69,28,1520,6,3,50,2,33.3,747,4143,2515,10,14,2,8,4,894,2
222,Jack Harrison,Everton,948,36,157,336,463,69,948,75,24,32,43,57.3,524,3153,1639,73,36,17,52,41,612,127
223,Ashley Young,Everton,1194,61,369,528,305,9,1194,20,7,35,9,45,487,2447,1378,24,26,1,11,1,618,32
224,Dominic Calvert-Lewin,Everton,520,26,45,215,265,88,520,25,10,40,13,52,280,1445,463,23,8,17,77,33,417,112
225,James Garner,Everton,977,40,226,511,248,15,977,19,7,36.8,12,63.2,478,2187,842,15,19,2,16,9,550,30
226,Jake O'Brien,Everton,900,93,374,390,139,22,900,10,4,40,5,50,391,1801,906,7,6,2,5,5,481,25
227,Beto,Everton,520,29,51,233,242,86,520,38,19,50,17,44.7,267,1242,478,15,12,9,71,37,378,77
228,Dwight McNeil,Everton,748,6,73,328,368,25,748,45,24,53.3,20,44.4,443,2674,1162,38,34,5,26,33,510,80
229,Jesper Lindstrøm,Everton,625,22,127,206,303,40,625,43,8,18.6,31,72.1,302,1627,780,30,19,7,31,24,347,81
230,Orel Mangala,Everton,621,22,133,335,157,13,621,24,14,58.3,9,37.5,298,1574,576,6,6,3,12,12,406,19
231,Michael Keane,Everton,513,106,295,198,22,17,513,1,0,0,1,100,229,904,290,1,1,0,2,2,286,3
232,Carlos Alcaraz,Everton,378,15,63,168,156,19,378,18,9,50,7,38.9,211,1331,707,19,21,2,14,13,247,21
233,Tim Iroegbunam,Everton,269,24,89,127,60,12,269,20,8,40,8,40,127,744,379,8,10,2,11,18,113,9
234,Armando Broja,Everton,127,4,14,47,72,18,127,16,8,50,7,43.8,64,577,281,12,8,3,16,13,94,26
235,Nathan Patterson,Everton,215,11,52,90,75,5,215,12,9,75,2,16.7,95,420,216,6,5,2,4,2,117,18
236,Séamus Coleman,Everton,121,12,42,54,26,3,121,5,4,80,1,20,54,310,177,1,2,0,1,1,68,7
237,Roman Dixon,Everton,36,8,19,14,4,0,36,3,0,0,3,100,16,107,48,0,0,0,2,0,13,1
238,Harrison Armstrong,Everton,20,0,3,12,7,2,20,1,1,100,0,0,15,110,43,1,2,0,2,3,14,0
239,Youssef Chermiti,Everton,15,0,0,6,9,3,15,1,1,100,0,0,7,21,2,0,0,0,0,1,13,6
240,Mason Holgate,Everton,3,0,0,2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0
243,Bernd Leno,Fulham,1479,1190,1466,13,0,0,1479,0,0,0,0,0,955,3956,2233,0,0,0,0,0,862,0
244,Antonee Robinson,Fulham,2523,139,828,942,788,70,2523,83,38,45.8,34,41,1343,7361,4230,118,61,30,44,20,1509,274
245,Alex Iwobi,Fulham,1861,33,244,748,895,116,1861,97,48,49.5,42,43.3,1312,8012,4367,144,105,37,62,40,1447,246
246,Calvin Bassey,Fulham,2463,324,1205,1151,132,19,2463,33,15,45.5,11,33.3,1571,8212,4940,39,20,5,34,8,1716,15
247,Raúl Jiménez,Fulham,999,35,120,431,464,165,996,50,21,42,26,52,549,2557,1112,35,24,17,74,45,734,125
248,Joachim Andersen,Fulham,2336,340,1233,1013,102,22,2336,6,4,66.7,0,0,1350,6505,3435,16,14,1,6,3,1621,2
249,Saša Lukić,Fulham,1493,57,332,843,331,21,1493,17,8,47.1,5,29.4,825,4427,2190,39,40,4,23,8,963,33
250,Sander Berge,Fulham,1384,81,374,799,217,14,1384,20,11,55,6,30,804,4467,2065,29,25,2,15,16,892,9
251,Emile Smith Rowe,Fulham,1223,20,166,591,476,60,1223,35,16,45.7,16,45.7,779,3728,1932,53,40,12,36,18,940,127
252,Andreas Pereira,Fulham,1148,22,169,466,531,46,1147,30,14,46.7,8,26.7,578,2764,1341,29,38,9,29,22,676,81
253,Kenny Tete,Fulham,1205,79,402,484,329,37,1205,20,9,45,6,30,611,2851,1336,34,21,7,17,10,695,54
254,Adama Traoré,Fulham,801,4,83,285,455,91,801,97,48,49.5,36,37.1,538,4631,2486,100,45,33,37,25,607,161
255,Timothy Castagne,Fulham,1164,92,449,462,259,32,1164,12,5,41.7,5,41.7,547,2191,1044,17,15,2,15,5,665,67
256,Issa Diop,Fulham,903,125,498,381,26,13,903,2,1,50,1,50,533,2426,1216,6,2,0,9,2,617,3
257,Harry Wilson,Fulham,598,11,81,203,324,63,598,24,9,37.5,10,41.7,342,1879,864,22,18,11,19,6,390,96
258,Rodrigo Muniz,Fulham,311,14,27,161,127,55,311,18,6,33.3,9,50,157,651,187,6,4,3,47,24,237,31
259,Ryan Sessegnon,Fulham,363,15,88,131,149,45,363,21,8,38.1,10,47.6,180,1054,549,18,14,10,19,8,210,59
260,Reiss Nelson,Fulham,347,5,30,110,212,35,347,35,13,37.1,13,37.1,259,1956,960,45,25,21,14,8,274,63
261,Jorge Cuenca,Fulham,214,38,134,74,7,1,214,2,2,100,0,0,89,302,140,0,1,0,2,0,133,0
262,Tom Cairney,Fulham,683,12,123,347,223,18,683,13,5,38.5,4,30.8,456,2179,1047,18,17,4,6,4,553,33
263,Willian,Fulham,231,1,18,83,134,7,231,7,1,14.3,4,57.1,148,1005,503,11,10,2,3,1,183,33
264,Joshua King,Fulham,87,2,12,31,46,10,87,8,4,50,4,50,44,335,138,3,4,0,1,6,60,16
265,Harrison Reed,Fulham,78,2,11,28,40,5,78,2,0,0,1,50,31,95,27,1,1,0,2,2,38,7
266,Martial Godo,Fulham,25,0,1,7,17,7,25,4,1,25,3,75,18,155,87,2,0,2,0,0,15,6
267,Carlos Vinícius,Fulham,7,0,1,3,3,2,7,1,1,100,0,0,7,24,11,1,0,1,1,0,6,3
268,Jay Stansfield,Fulham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
271,Dara O'Shea,Ipswich Town,2022,393,1169,730,129,51,2022,2,1,50,1,50,897,4023,2069,3,2,0,12,4,1162,8
272,Leif Davis,Ipswich Town,1562,117,534,520,527,42,1562,38,13,34.2,18,47.4,708,3804,2073,52,31,11,37,16,835,137
273,Liam Delap,Ipswich Town,682,29,78,291,335,92,680,86,40,46.5,37,43,445,3283,1586,61,46,30,104,60,537,110
274,Sam Morsy,Ipswich Town,1683,97,498,953,248,6,1683,29,17,58.6,9,31,852,4649,2101,22,24,3,17,13,1137,13
