id,player_name,team,live_ball_passes,dead_ball_passes,free_kick_passes,through_balls,switches,crosses,throw_ins_taken,corners_taken,inswinging_corners,outswinging_corners,straight_corners,total_passes_completed,passes_offside,passes_blocked
51,Jaden Philogene Bidace,Aston Villa,85,1,0,1,0,4,1,0,0,0,0,63,0,9
52,Donyell Malen,Aston Villa,71,5,0,0,2,8,1,0,0,0,0,53,1,3
53,Robin Olsen,Aston Villa,65,36,10,0,0,0,0,0,0,0,0,65,0,0
54,Kosta Nedeljković,Aston Villa,41,12,1,0,0,1,11,0,0,0,0,47,0,0
55,Emi Buendía,Aston Villa,59,1,1,1,0,0,0,0,0,0,0,49,0,0
58,Milos Kerkez,Bournemouth,1466,305,18,2,3,142,279,7,5,1,0,1346,5,55
59,Antoine Semenyo,Bournemouth,1049,60,4,9,6,59,53,3,0,1,0,821,10,40
60,Illia Zabarnyi,Bournemouth,1677,31,27,6,7,6,1,0,0,0,0,1404,2,10
61,Lewis Cook,Bournemouth,1358,225,71,3,2,132,73,77,65,3,0,1224,2,26
62,Kepa Arrizabalaga,Bournemouth,728,295,103,0,0,0,0,0,0,0,0,752,4,2
63,Justin Kluivert,Bournemouth,683,92,8,5,6,85,10,35,30,0,0,582,7,18
64,Evanilson,Bournemouth,337,4,1,4,4,0,0,0,0,0,0,244,1,11
65,Ryan Christie,Bournemouth,990,60,21,8,9,48,3,26,17,3,2,837,6,19
66,Dean Huijsen,Bournemouth,1566,53,32,2,15,12,6,0,0,0,0,1355,6,12
67,Dango Ouattara,Bournemouth,579,30,0,5,5,88,26,3,1,0,0,367,3,22
68,Tyler Adams,Bournemouth,1025,38,34,2,1,3,4,0,0,0,0,902,6,14
69,Marcus Tavernier,Bournemouth,804,125,34,5,9,108,29,49,36,4,1,689,5,26
70,Adam Smith,Bournemouth,550,128,9,1,2,33,119,0,0,0,0,514,1,15
71,Marcos Senesi,Bournemouth,699,31,23,0,2,11,6,0,0,0,0,561,5,1
72,David Brooks,Bournemouth,366,44,14,3,0,52,10,17,7,4,0,310,1,14
73,Alex Scott,Bournemouth,317,23,10,2,4,7,1,5,3,0,0,286,2,6
74,Julian Araujo,Bournemouth,198,27,2,0,0,9,25,0,0,0,0,178,0,2
75,James Hill,Bournemouth,212,33,3,0,0,10,30,0,0,0,0,159,0,5
76,Mark Travers,Bournemouth,95,47,8,0,0,0,0,0,0,0,0,100,0,0
77,Enes Ünal,Bournemouth,96,2,1,1,1,4,0,0,0,0,0,63,1,6
78,Neto,Bournemouth,42,19,4,0,0,0,0,0,0,0,0,40,1,0
79,Luis Sinisterra,Bournemouth,92,0,0,0,1,7,0,0,0,0,0,73,1,4
80,Philip Billing,Bournemouth,91,10,1,1,1,10,1,6,2,2,1,70,1,2
81,Max Aarons,Bournemouth,51,12,2,0,0,2,10,0,0,0,0,50,0,1
82,Daniel Jebbison,Bournemouth,42,0,0,0,0,3,0,0,0,0,0,33,0,1
83,Ben Winterburn,Bournemouth,7,0,0,0,0,0,0,0,0,0,0,5,0,0
84,Julio Soler,Bournemouth,14,0,0,0,0,1,0,0,0,0,0,11,0,1
85,Remy Rees-Dottin,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,Zain Silcott-Duberry,Bournemouth,2,0,0,0,0,0,0,0,0,0,0,1,0,1
89,Nathan Collins,Brentford,1897,83,69,3,6,8,11,0,0,0,0,1705,5,8
90,Bryan Mbeumo,Brentford,1162,149,40,13,9,202,17,87,70,2,0,872,8,50
91,Mark Flekken,Brentford,1367,343,131,0,5,0,0,0,0,0,0,1254,7,0
92,Keane Lewis-Potter,Brentford,1112,153,8,5,9,78,139,5,2,0,0,982,8,29
93,Yoane Wissa,Brentford,552,33,4,5,1,20,2,1,0,0,0,450,3,23
94,Mikkel Damsgaard,Brentford,1368,153,33,27,5,144,9,60,53,0,0,1107,8,36
95,Christian Nørgaard,Brentford,1391,30,19,4,5,17,10,0,0,0,0,1164,6,25
96,Sepp van den Berg,Brentford,1177,100,18,0,2,7,61,0,0,0,0,1092,1,7
97,Vitaly Janelt,Brentford,1033,18,12,3,6,30,6,0,0,0,0,872,6,16
98,Kevin Schade,Brentford,483,57,0,1,4,38,54,0,0,0,0,323,1,20
99,Ethan Pinnock,Brentford,954,126,15,0,0,9,39,0,0,0,0,924,0,8
100,Kristoffer Ajer,Brentford,570,73,2,0,3,14,71,0,0,0,0,504,1,18
101,Yehor Yarmoliuk,Brentford,752,7,3,4,9,16,4,0,0,0,0,661,1,12
102,Mads Roerslev,Brentford,471,63,2,0,1,31,61,0,0,0,0,422,2,11
103,Mathias Jensen,Brentford,404,78,15,2,5,33,44,14,11,0,0,363,4,7
104,Michael Kayode,Brentford,183,58,0,0,0,10,58,0,0,0,0,184,0,3
105,Fabio Carvalho,Brentford,163,14,4,2,0,10,1,7,3,0,0,126,1,7
106,Ben Mee,Brentford,108,12,5,0,1,0,4,0,0,0,0,93,0,1
107,Thiago,Brentford,55,1,0,0,0,2,0,0,0,0,0,40,0,0
108,Hákon Rafn Valdimarsson,Brentford,50,20,4,0,0,0,0,0,0,0,0,46,0,0
109,Edmond-Paris Maghoma,Brentford,83,1,1,0,0,3,0,0,0,0,0,76,0,2
110,Rico Henry,Brentford,39,10,0,0,0,2,10,0,0,0,0,33,0,3
111,Yunus Emre Konak,Brentford,35,1,0,0,0,0,1,0,0,0,0,26,0,1
112,Kim Jisoo,Brentford,27,1,1,0,0,0,0,0,0,0,0,25,0,0
113,Frank Onyeka,Brentford,7,0,0,0,0,0,0,0,0,0,0,6,0,0
114,Gustavo Nunes,Brentford,1,0,0,0,0,0,0,0,0,0,0,1,0,0
115,Jayden Meghoma,Brentford,3,0,0,0,0,0,0,0,0,0,0,3,0,0
116,Ryan Trevitt,Brentford,6,0,0,0,0,0,0,0,0,0,0,4,1,1
119,Bart Verbruggen,Brighton,1164,145,62,0,0,0,0,0,0,0,0,1011,6,2
120,Jan Paul van Hecke,Brighton,2146,138,104,4,19,11,8,0,0,0,0,2016,2,7
121,Carlos Baleba,Brighton,1289,23,10,7,3,9,3,0,0,0,0,1149,2,14
122,Kaoru Mitoma,Brighton,965,19,0,9,1,75,19,0,0,0,0,749,4,39
123,Pervis Estupiñán,Brighton,1370,237,20,0,5,119,180,37,23,9,3,1338,3,28
124,Danny Welbeck,Brighton,472,18,2,0,0,3,2,0,0,0,0,417,1,13
125,Lewis Dunk,Brighton,1818,131,67,2,10,5,10,0,0,0,0,1778,4,7
126,João Pedro,Brighton,631,26,5,10,3,22,9,4,0,0,0,482,4,20
127,Yasin Ayari,Brighton,880,92,34,10,1,69,3,37,27,6,1,793,1,14
128,Jack Hinshelwood,Brighton,927,118,27,0,8,27,75,8,4,1,1,870,1,11
129,Yankuba Minteh,Brighton,510,45,9,4,4,91,20,16,7,6,0,348,2,36
130,Joël Veltman,Brighton,756,170,42,2,3,24,128,0,0,0,0,745,3,21
131,Georginio Rutter,Brighton,344,9,0,12,0,9,0,0,0,0,0,237,2,14
132,Simon Adingra,Brighton,372,9,0,2,0,41,8,1,0,0,0,290,1,12
133,Matt O'Riley,Brighton,345,67,13,2,2,51,1,36,23,8,0,316,1,15
134,Adam Webster,Brighton,650,73,30,0,3,2,0,0,0,0,0,636,2,5
135,Mats Wieffer,Brighton,647,49,13,0,1,13,36,0,0,0,0,594,2,14
136,Igor,Brighton,680,48,12,3,4,4,11,0,0,0,0,671,2,5
137,Tariq Lamptey,Brighton,346,66,5,0,1,28,60,1,1,0,0,335,1,6
138,Brajan Gruda,Brighton,211,40,7,2,2,29,10,17,8,7,1,187,0,3
139,Ferdi Kadioglu,Brighton,157,17,2,1,0,9,15,0,0,0,0,144,1,1
140,Diego Gómez,Brighton,283,19,2,4,2,12,1,6,2,3,0,243,0,9
141,James Milner,Brighton,63,11,4,2,0,8,0,6,2,3,0,55,0,1
142,Julio Enciso,Brighton,134,16,4,0,1,20,0,12,6,3,0,99,0,5
143,Evan Ferguson,Brighton,52,5,0,0,0,0,0,0,0,0,0,43,1,1
144,Jason Steele,Brighton,104,8,6,0,0,0,0,0,0,0,0,101,0,0
145,Solly March,Brighton,81,14,1,0,1,20,6,6,3,2,1,60,0,7
