id,first_name,last_name,nation,team,positions,age,yellow_cards,red_cards
e1d5677c-517e-4359-8592-23216edc1091,David,Raya,ESP,Arsenal,GK,28,3,0
9cdeae8d-2f70-427c-bf83-610dbdd209f0,William,Saliba,FRA,Arsenal,DF,23,2,1
d5f01e31-dcac-4ba1-bdc6-be4df782f465,Declan,Rice,ENG,Arsenal,MF,25,7,1
a5ddc729-eaad-46f8-b29b-ab9c972c369a,Thomas,Partey,GHA,Arsenal,"MF,DF",31,4,0
45579136-2af6-4f5a-b932-3f191293deaa,Leandro,Trossard,BEL,Arsenal,FW,29,4,1
6724aec3-a284-4f32-b475-c9c4e2809c88,Gabriel,Magalhães,BRA,Arsenal,DF,26,4,0
e8a2edba-86d9-4651-a25d-0a82fecb715d,Jurriën,Timber,NED,Arsenal,DF,23,7,0
37fc666d-4197-4c51-80b3-0f4ef50724dc,Martin,Ødegaard,NOR,Arsenal,MF,25,4,0
2d7270b5-342a-487d-95b2-d9f5e8f137b9,Gabriel,Martinelli,BRA,Arsenal,"FW,MF",23,1,0
b79f69d7-a732-4c35-b8a3-6a409327b4b3,Kai,Havertz,GER,Arsenal,"FW,MF",25,5,0
246b3daa-a360-47e7-ab67-a6770a914b61,Bukayo,Saka,ENG,Arsenal,"FW,MF",22,3,0
92c27af4-3cda-4476-a126-94c525d03014,Mikel,Merino,ESP,Arsenal,"MF,FW",28,4,1
f9cbcebc-6f5d-4d62-a035-440bfb2073d9,Myles,Lewis-Skelly,ENG,Arsenal,DF,17,3,2
ac32ed18-974f-4061-8f41-b1009e8d17d5,Ben,White,ENG,Arsenal,DF,26,2,0
0a668010-6aa1-4ef8-bedb-2c03f8335dd1,Riccardo,Calafiori,ITA,Arsenal,DF,22,4,0
f9028dc8-67fe-468e-9116-dcfdde18688b,Ethan,Nwaneri,ENG,Arsenal,"FW,MF",17,1,0
ace43aaf-8f5b-4b93-83ec-3d9625055b26,Jakub,Kiwior,POL,Arsenal,DF,24,1,0
0e0ca435-aa0c-44f8-98c8-f14680b2d097,Raheem,Sterling,ENG,Arsenal,"FW,MF",29,1,0
21f33424-e55d-4fbc-ae7e-015a093fb6e9,Gabriel,Jesus,BRA,Arsenal,FW,27,4,0
b0c702b8-fb8a-4f14-9847-3471a8437dca,Oleksandr,Zinchenko,UKR,Arsenal,"DF,MF",27,1,0
9f75c4f5-58a5-4150-8407-90528cabc424,Kieran,Tierney,SCO,Arsenal,"DF,FW",27,0,0
9d5e99e7-11a1-4110-97ca-cc382a31992a,Nathan,Butler-Oyedeji,ENG,Arsenal,FW,21,0,0
d9d099f7-2e6a-4d2d-9439-15b310ceb7d9,Takehiro,Tomiyasu,JPN,Arsenal,DF,25,0,0
f13e6213-6143-488f-8cb2-88fca2b547fb,Reiss,Nelson,ENG,Arsenal,FW,24,0,0
66b22a12-147d-407e-9b60-be669b7672f0,Brayden,Clarke,WAL,Arsenal,DF,17,0,0
c7510326-64a8-41e4-8ebf-ead55e828d88,Jimi,Gower,ENG,Arsenal,MF,19,0,0
f96f8a1d-3342-4f59-9221-c97e6a9c2a6b,Ayden,Heaven,ENG,Arsenal,DF,17,0,0
4deed818-0b14-4ef2-9e84-249dac4a90ee,Jack,Henry-Francis,IRL,Arsenal,MF,20,0,0
d3625d7a-2432-4d42-9cf4-e0ee06f360d4,Ismeal,Kabia,ENG,Arsenal,MF,18,0,0
7bae082c-a39a-4605-8b25-fe3fcaf6f43e,Maldini,Kacurri,ALB,Arsenal,DF,18,0,0
fbf92f88-6a01-45df-bb24-de53a258b097,Josh,Nichols,ENG,Arsenal,DF,18,0,0
6408ade1-7a1e-4c12-becc-38ffb464854a,Eddie,Nketiah,ENG,Arsenal,FW,25,0,0
2dc63258-1054-4f6e-89ae-155b84463db0,Salah,Oulad M'Hand,NED,Arsenal,MF,20,0,0
83f77b76-2813-4fac-b473-48f8dce6a62d,Jack,Porter,ENG,Arsenal,GK,16,0,0
d533ecec-c7fe-4431-b8e2-cc152410dfcd,Aaron,Ramsdale,ENG,Arsenal,GK,26,0,0
d7a98cf0-059f-4d76-bc21-7df1bd6c2412,Tommy,Setford,ENG,Arsenal,GK,18,0,0
893e34be-acfa-41c5-a40b-b13553209815,Emiliano,Martínez,ARG,Aston Villa,GK,31,5,1
9df744c0-c32a-4f71-b631-64cf82842a36,Morgan,Rogers,ENG,Aston Villa,"FW,MF",22,10,0
7f82d83e-cc4f-4599-9bab-105bd4064def,Youri,Tielemans,BEL,Aston Villa,MF,27,4,0
fc0f866f-e917-49dd-b609-d05146f4aea1,Ezri,Konsa,ENG,Aston Villa,DF,26,1,0
a77ba3c4-b969-47d9-b104-ade320837c87,Ollie,Watkins,ENG,Aston Villa,FW,28,2,0
eac079fa-85dd-4959-b692-41ab6e977217,Lucas,Digne,FRA,Aston Villa,DF,31,4,0
5db3c356-b9f8-4743-89f1-333b06be7f53,John,McGinn,SCO,Aston Villa,"MF,FW",29,7,0
759132a6-cbb8-45f9-9fad-a180098c414d,Matty,Cash,POL,Aston Villa,DF,26,7,0
5aa2b04b-9312-4afa-aec2-295ad1eb10b4,Pau,Torres,ESP,Aston Villa,DF,27,2,0
81433b4e-53c0-4da6-99b2-30a2f116ef15,Boubacar,Kamara,FRA,Aston Villa,MF,24,2,0
4f577842-3622-4546-be71-4710af98bce1,Amadou,Onana,BEL,Aston Villa,MF,22,4,0
d21641e5-809c-4547-9812-9385d3970564,Jacob,Ramsey,ENG,Aston Villa,"FW,MF",23,4,1
13f3f8ba-d143-40cc-a616-b5701225396a,Leon,Bailey,JAM,Aston Villa,"FW,MF",26,3,0
21734823-0d24-4b1a-abaa-c2ee0ab259f4,Tyrone,Mings,ENG,Aston Villa,DF,31,1,0
4adcd512-2d1a-4311-b1b4-1e5f80413292,Ian,Maatsen,NED,Aston Villa,DF,22,2,0
0078a2ad-f1f4-4c0b-9982-2e3a8a301924,Marco,Asensio,ESP,Aston Villa,MF,28,2,0
5cb0bc64-08ca-485a-9362-d330aa7fc630,Diego,Carlos,BRA,Aston Villa,DF,31,1,0
cf2d73dc-04bf-4b20-ab9a-b7346e60b224,Axel,Disasi,FRA,Aston Villa,DF,26,2,0
b57ba290-c92c-4dbd-864a-d10a54265807,Lamare,Bogarde,NED,Aston Villa,"DF,MF",20,2,0
758d794b-5770-45fa-ab13-c81cf781398d,Andrés,García,ESP,Aston Villa,"DF,MF",21,0,0
a379cc7d-1020-4d3d-9952-8195202cf583,Jáder,Durán,COL,Aston Villa,FW,20,3,1
96c6a486-e946-4ec9-9fa1-e9e792cbfcee,Marcus,Rashford,ENG,Aston Villa,FW,26,0,0
b2ef69f6-8813-4b60-862b-0000156d0ff8,Ross,Barkley,ENG,Aston Villa,MF,30,3,0
55810fd1-733a-4349-80a2-ceba60a4be0c,Jaden,Philogene Bidace,ENG,Aston Villa,"FW,MF",22,4,1
9a720817-9500-49b1-9e56-aa8da08dc999,Donyell,Malen,NED,Aston Villa,FW,25,0,0
88b8a840-37b9-4f72-b74c-77636fc25f06,Robin,Olsen,SWE,Aston Villa,GK,34,0,0
5d6a6c61-c57c-4676-b67a-84b7506305ae,Kosta,Nedeljković,SRB,Aston Villa,DF,18,0,0
6c929063-c285-40d5-bb30-40a23d10d3f5,Emi,Buendía,ARG,Aston Villa,"MF,FW",27,1,0
3d42bac0-81ea-4b88-b7ef-21152369cf38,Benjamin,Broggio,ENG,Aston Villa,FW,17,0,0
cce89d4f-23d5-453b-8715-6a68c46f7706,Joe,Gauci,AUS,Aston Villa,GK,24,0,0
1241f8a2-bcba-4097-9c32-ba94eba26add,Jamaldeen,Jimoh,ENG,Aston Villa,MF,17,0,0
2881fa0c-1058-4dab-a7e4-ad9708195bb4,Sil,Swinkels,NED,Aston Villa,DF,20,0,0
e836dab9-3146-4213-8ef8-cd0ed2d3a5b6,Kadan,Young,ENG,Aston Villa,MF,18,0,0
997cc096-d989-4b65-a8a1-6b1242030d4c,Oliwier,Zych,POL,Aston Villa,GK,20,0,0
cdd122c5-10c6-4568-aa05-76cf2542f3d7,Milos,Kerkez,HUN,Bournemouth,DF,20,4,0
ff14da8b-008f-43dd-9f78-56285072f763,Antoine,Semenyo,GHA,Bournemouth,FW,24,9,0
83d39511-9a0d-4c37-94d7-b596b4b4a20f,Illia,Zabarnyi,UKR,Bournemouth,DF,21,4,1
9393be8b-d013-4822-bf06-ebbac729a079,Lewis,Cook,ENG,Bournemouth,"MF,DF",27,8,1
a3ddfc4d-ede0-4284-baa3-20bfe2abbb17,Kepa,Arrizabalaga,ESP,Bournemouth,GK,29,3,0
