id,player_name,team,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
271,Dara O'Shea,Ipswich Town,24,0.69,19,0,0,2,2,1,4,0.12,4,0,0,0,0,0
272,Leif Davis,Ipswich Town,93,3.05,46,39,3,3,1,1,4,0.13,3,0,1,0,0,0
273,Liam Delap,Ipswich Town,62,2.15,28,0,12,7,13,2,7,0.24,3,0,2,0,2,0
274,Sam Morsy,Ipswich Town,51,1.67,46,4,0,0,1,0,2,0.07,2,0,0,0,0,0
275,Omari Hutchinson,Ipswich Town,81,2.82,59,0,9,6,5,2,6,0.21,6,0,0,0,0,0
276,Jacob Greaves,Ipswich Town,20,0.82,16,1,0,1,1,1,1,0.04,1,0,0,0,0,0
277,Jens Cajuste,Ipswich Town,36,1.65,28,2,4,0,1,1,2,0.09,1,0,1,0,0,0
278,Axel Tuanzebe,Ipswich Town,19,1,17,1,0,0,1,0,2,0.11,2,0,0,0,0,0
279,Arijanet Muric,Ipswich Town,1,0.06,0,1,0,0,0,0,0,0,0,0,0,0,0,0
280,Cameron Burgess,Ipswich Town,14,0.82,14,0,0,0,0,0,3,0.18,3,0,0,0,0,0
281,Ben Johnson,Ipswich Town,24,1.6,12,9,0,1,2,0,5,0.33,4,0,0,1,0,0
282,Kalvin Phillips,Ipswich Town,17,1.24,13,3,0,1,0,0,3,0.22,3,0,0,0,0,0
283,Alex Palmer,Ipswich Town,3,0.23,3,0,0,0,0,0,0,0,0,0,0,0,0,0
284,Sammie Szmodics,Ipswich Town,10,0.91,8,0,1,1,0,0,0,0,0,0,0,0,0,0
285,Luke Woolfenden,Ipswich Town,2,0.15,2,0,0,0,0,0,0,0,0,0,0,0,0,0
286,Jack Clarke,Ipswich Town,50,3.81,42,2,3,0,0,3,5,0.38,4,1,0,0,0,0
287,Wes Burns,Ipswich Town,16,1.55,12,0,1,1,2,0,1,0.1,1,0,0,0,0,0
288,Julio Enciso,Ipswich Town,29,3,16,4,6,2,0,1,4,0.41,2,1,1,0,0,0
289,Conor Chaplin,Ipswich Town,22,2.32,19,3,0,0,0,0,1,0.11,1,0,0,0,0,0
290,Nathan Broadhead,Ipswich Town,22,2.82,15,0,6,1,0,0,2,0.26,1,0,1,0,0,0
291,Christian Walton,Ipswich Town,2,0.29,1,1,0,0,0,0,0,0,0,0,0,0,0,0
292,George Hirst,Ipswich Town,9,1.22,7,0,0,1,1,0,3,0.41,2,0,0,1,0,0
293,Jaden Philogene Bidace,Ipswich Town,9,1.71,6,0,1,1,1,0,0,0,0,0,0,0,0,0
294,Jack Taylor,Ipswich Town,22,2.3,15,1,2,2,0,2,2,0.21,2,0,0,0,0,0
295,Harry Clarke,Ipswich Town,1,0.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0
296,Conor Townsend,Ipswich Town,5,1.34,4,1,0,0,0,0,1,0.27,1,0,0,0,0,0
297,Chiedozie Ogbene,Ipswich Town,3,1.13,2,0,0,0,1,0,0,0,0,0,0,0,0,0
298,Massimo Luongo,Ipswich Town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
299,Ben Godfrey,Ipswich Town,1,0.57,1,0,0,0,0,0,0,0,0,0,0,0,0,0
300,Ali Al Hamadi,Ipswich Town,8,5.37,4,0,3,0,1,0,0,0,0,0,0,0,0,0
301,Marcus Harness,Ipswich Town,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
302,George Edmundson,Ipswich Town,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
305,Jamie Vardy,Leicester City,47,1.5,33,0,6,2,6,0,10,0.32,5,0,2,1,2,0
306,James Justin,Leicester City,33,1.02,21,2,1,4,5,0,2,0.06,2,0,0,0,0,0
307,Wout Faes,Leicester City,17,0.54,15,0,0,1,0,1,0,0,0,0,0,0,0,0
308,Victor Bernth Kristiansen,Leicester City,42,1.52,33,6,1,0,2,0,3,0.11,3,0,0,0,0,0
309,Wilfred Ndidi,Leicester City,31,1.2,29,0,1,1,0,0,4,0.15,4,0,0,0,0,0
310,Mads Hermansen,Leicester City,3,0.11,3,0,0,0,0,0,0,0,0,0,0,0,0,0
311,Bilal El Khannouss,Leicester City,78,3.22,54,9,8,4,3,0,7,0.29,5,1,0,1,0,0
312,Boubakary Soumaré,Leicester City,35,1.45,27,0,5,1,2,0,3,0.12,3,0,0,0,0,0
313,Conor Coady,Leicester City,6,0.32,6,0,0,0,0,0,0,0,0,0,0,0,0,0
314,Jordan Ayew,Leicester City,41,2.25,24,8,3,4,1,1,2,0.11,1,0,0,1,0,0
315,Harry Winks,Leicester City,39,2.28,29,7,1,1,1,0,3,0.18,2,1,0,0,0,0
316,Stephy Mavididi,Leicester City,50,2.78,39,2,4,2,2,1,7,0.39,6,0,1,0,0,0
317,Jannik Vestergaard,Leicester City,7,0.45,6,0,0,0,0,1,0,0,0,0,0,0,0,0
318,Facundo Buonanotte,Leicester City,51,3.01,27,11,9,1,3,0,5,0.3,1,2,2,0,0,0
319,Luke Thomas,Leicester City,16,1.3,12,3,0,0,0,1,1,0.08,1,0,0,0,0,0
320,Caleb Okoli,Leicester City,4,0.32,4,0,0,0,0,0,0,0,0,0,0,0,0,0
321,Oliver Skipp,Leicester City,15,1.2,13,1,0,0,1,0,0,0,0,0,0,0,0,0
322,Jakub Stolarczyk,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
323,Kasey McAteer,Leicester City,20,2.11,18,0,0,0,2,0,2,0.21,1,0,0,0,1,0
324,Bobby De Cordova-Reid,Leicester City,13,1.57,8,0,0,3,2,0,3,0.36,1,0,0,1,1,0
325,Patson Daka,Leicester City,10,1.23,7,0,2,1,0,0,1,0.12,0,0,1,0,0,0
326,Abdul Fatawu Issahaku,Leicester City,17,2.64,10,0,2,1,4,0,3,0.47,2,0,0,1,0,0
327,Ricardo Pereira,Leicester City,3,0.7,3,0,0,0,0,0,0,0,0,0,0,0,0,0
328,Danny Ward,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
329,Hamza Choudhury,Leicester City,3,2.05,2,0,1,0,0,0,0,0,0,0,0,0,0,0
330,Woyo Coulibaly,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
331,Jeremy Monga,Leicester City,2,1.61,2,0,0,0,0,0,0,0,0,0,0,0,0,0
332,Odsonne Édouard,Leicester City,2,6.21,2,0,0,0,0,0,0,0,0,0,0,0,0,0
333,Jake Evans,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
334,Olabade Aluko,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
335,Will Alves,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
336,Michael Golding,Leicester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,Mohamed Salah,Liverpool,169,4.51,123,2,22,14,5,3,27,0.72,20,0,5,2,0,0
340,Virgil van Dijk,Liverpool,48,1.3,41,0,1,3,1,2,4,0.11,4,0,0,0,0,0
341,Ryan Gravenberch,Liverpool,68,1.94,60,0,5,2,0,1,6,0.17,6,0,0,0,0,0
342,Alexis Mac Allister,Liverpool,120,4.15,83,24,2,6,2,3,15,0.52,10,3,0,2,0,0
343,Ibrahima Konaté,Liverpool,31,1.09,26,0,0,4,0,1,7,0.25,6,0,0,0,0,1
344,Dominik Szoboszlai,Liverpool,119,4.3,90,7,5,13,3,1,16,0.58,12,1,0,3,0,0
345,Andrew Robertson,Liverpool,80,2.9,68,9,1,1,0,1,4,0.14,4,0,0,0,0,0
346,Alisson,Liverpool,7,0.25,7,0,0,0,0,0,1,0.04,1,0,0,0,0,0
347,Luis Díaz,Liverpool,117,4.39,88,0,16,9,4,0,16,0.6,13,0,1,0,2,0
348,Trent Alexander-Arnold,Liverpool,98,3.73,74,15,5,4,0,0,10,0.38,9,1,0,0,0,0
349,Cody Gakpo,Liverpool,80,3.72,57,0,9,7,5,2,8,0.37,3,0,3,1,1,0
350,Curtis Jones,Liverpool,52,2.74,45,1,0,4,2,0,8,0.42,5,1,0,1,1,0
351,Diogo Jota,Liverpool,37,2.79,24,0,6,5,1,1,9,0.68,5,0,2,1,1,0
352,Caoimhín Kelleher,Liverpool,3,0.3,3,0,0,0,0,0,1,0.1,1,0,0,0,0,0
353,Kostas Tsimikas,Liverpool,31,3.33,21,9,0,0,1,0,2,0.21,1,1,0,0,0,0
354,Darwin Núñez,Liverpool,31,2.46,21,0,4,1,2,3,4,0.32,3,0,0,0,1,0
355,Conor Bradley,Liverpool,19,2.27,13,0,5,0,1,0,4,0.48,3,0,1,0,0,0
356,Joe Gomez,Liverpool,5,0.87,5,0,0,0,0,0,1,0.17,1,0,0,0,0,0
357,Jarell Quansah,Liverpool,3,0.55,3,0,0,0,0,0,0,0,0,0,0,0,0,0
358,Harvey Elliott,Liverpool,21,5.11,17,3,1,0,0,0,3,0.73,3,0,0,0,0,0
359,Wataru Endo,Liverpool,6,1.96,6,0,0,0,0,0,0,0,0,0,0,0,0,0
360,Federico Chiesa,Liverpool,6,5,6,0,0,0,0,0,1,0.83,1,0,0,0,0,0
361,Vitezslav Jaros,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
362,Jayden Danns,Liverpool,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
365,Joško Gvardiol,Manchester City,72,2.09,66,1,2,3,0,0,7,0.2,6,0,1,0,0,0
366,Erling Haaland,Manchester City,65,2.28,46,0,8,10,1,0,9,0.32,6,0,2,1,0,0
367,Bernardo Silva,Manchester City,86,3.11,76,2,4,1,3,0,8,0.29,8,0,0,0,0,0
368,Ederson,Manchester City,6,0.25,6,0,0,0,0,0,4,0.17,4,0,0,0,0,0
369,Mateo Kovačić,Manchester City,69,2.91,55,0,4,5,4,1,6,0.25,4,0,1,1,0,0
370,Rúben Dias,Manchester City,25,1.08,16,0,0,7,0,2,1,0.04,1,0,0,0,0,0
371,İlkay Gündoğan,Manchester City,74,3.25,58,8,4,4,0,0,11,0.48,9,1,0,1,0,0
372,Rico Lewis,Manchester City,31,1.47,30,0,0,0,1,0,3,0.14,3,0,0,0,0,0
373,Manuel Akanji,Manchester City,36,1.77,36,0,0,0,0,0,2,0.1,2,0,0,0,0,0
374,Sávio,Manchester City,111,5.71,80,2,15,4,7,3,15,0.77,10,0,2,1,1,1
375,Phil Foden,Manchester City,88,4.48,58,18,3,6,3,0,9,0.46,5,1,0,3,0,0
376,Kevin De Bruyne,Manchester City,111,6.13,71,26,3,6,3,2,11,0.61,9,1,0,1,0,0
377,Matheus Nunes,Manchester City,39,2.35,32,1,2,2,2,0,6,0.36,4,0,1,1,0,0
378,Jeremy Doku,Manchester City,74,4.62,56,1,13,1,2,1,13,0.81,10,0,3,0,0,0
379,Stefan Ortega,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
380,Omar Marmoush,Manchester City,33,2.96,18,3,1,4,7,0,1,0.09,0,0,0,0,1,0
381,Kyle Walker,Manchester City,17,1.58,17,0,0,0,0,0,0,0,0,0,0,0,0,0
382,Nathan Aké,Manchester City,8,1.06,8,0,0,0,0,0,0,0,0,0,0,0,0,0
383,Nicolás González,Manchester City,15,2.08,13,0,0,1,1,0,3,0.42,2,0,0,0,1,0
384,Jack Grealish,Manchester City,47,5.87,41,1,3,0,1,1,2,0.25,1,0,0,0,0,1
385,John Stones,Manchester City,8,1.31,8,0,0,0,0,0,2,0.33,2,0,0,0,0,0
386,Nico O’Reilly,Manchester City,12,2.05,9,1,1,0,1,0,2,0.34,2,0,0,0,0,0
387,Abdukodir Khusanov,Manchester City,5,0.89,5,0,0,0,0,0,0,0,0,0,0,0,0,0
388,James Mcatee,Manchester City,4,1.03,3,0,1,0,0,0,1,0.26,0,0,1,0,0,0
389,Jahmai Simpson-Pusey,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
390,Rodri,Manchester City,2,2.77,2,0,0,0,0,0,0,0,0,0,0,0,0,0
391,Divin Mubama,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
392,Oscar Bobb,Manchester City,2,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0
393,Vitor Reis,Manchester City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
396,Bruno Fernandes,Manchester United,193,5.76,136,37,5,6,7,2,13,0.39,10,2,0,1,0,0
397,André Onana,Manchester United,4,0.12,3,1,0,0,0,0,0,0,0,0,0,0,0,0
398,Noussair Mazraoui,Manchester United,56,1.78,46,2,1,2,3,2,1,0.03,1,0,0,0,0,0
399,Diogo Dalot,Manchester United,74,2.37,57,5,7,4,0,1,5,0.16,3,0,1,1,0,0
400,Matthijs de Ligt,Manchester United,14,0.59,12,0,0,2,0,0,1,0.04,1,0,0,0,0,0
401,Alejandro Garnacho,Manchester United,83,3.4,64,1,3,9,6,0,6,0.25,4,0,0,1,1,0
402,Rasmus Højlund,Manchester United,34,1.53,22,0,3,5,4,0,1,0.04,0,0,0,0,1,0
403,Manuel Ugarte Ribeiro,Manchester United,31,1.56,24,0,0,2,2,3,4,0.2,3,0,0,1,0,0
404,Amad Diallo,Manchester United,97,4.59,65,9,10,3,6,4,18,0.85,7,0,4,1,2,4
405,Lisandro Martínez,Manchester United,26,1.34,23,0,0,2,0,1,2,0.1,2,0,0,0,0,0
406,Harry Maguire,Manchester United,20,1.02,14,1,0,5,0,0,0,0,0,0,0,0,0,0
407,Kobbie Mainoo,Manchester United,34,1.85,29,0,4,0,1,0,3,0.16,3,0,0,0,0,0
408,Casemiro,Manchester United,53,3.19,49,1,0,3,0,0,4,0.24,4,0,0,0,0,0
409,Joshua Zirkzee,Manchester United,31,1.99,28,0,0,2,1,0,3,0.19,1,0,0,1,1,0
410,Leny Yoro,Manchester United,9,0.7,6,0,0,2,0,1,0,0,0,0,0,0,0,0
411,Marcus Rashford,Manchester United,29,2.67,24,1,2,2,0,0,1,0.09,1,0,0,0,0,0
412,Christian Eriksen,Manchester United,56,4.74,38,15,0,3,0,0,7,0.59,5,2,0,0,0,0
413,Patrick Dorgu,Manchester United,24,2.57,21,0,0,0,2,1,1,0.11,0,0,0,0,1,0
414,Mason Mount,Manchester United,22,3.18,15,3,0,3,1,0,0,0,0,0,0,0,0,0
415,Victor Lindelöf,Manchester United,4,0.51,4,0,0,0,0,0,0,0,0,0,0,0,0,0
416,Altay Bayındır,Manchester United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
417,Luke Shaw,Manchester United,10,2.58,8,2,0,0,0,0,0,0,0,0,0,0,0,0
418,Harry Amass,Manchester United,8,2.08,7,0,0,1,0,0,0,0,0,0,0,0,0,0
419,Jonny Evans,Manchester United,2,0.57,2,0,0,0,0,0,0,0,0,0,0,0,0,0
420,Ayden Heaven,Manchester United,4,2.12,0,0,1,2,1,0,0,0,0,0,0,0,0,0
421,Tyler Fredricson,Manchester United,3,1.63,3,0,0,0,0,0,0,0,0,0,0,0,0,0
422,Tyrell Malacia,Manchester United,2,1.8,1,0,0,0,1,0,0,0,0,0,0,0,0,0
423,Chidozie Obi-Martin,Manchester United,2,1.09,0,0,1,1,0,0,0,0,0,0,0,0,0,0
424,Toby Collyer,Manchester United,5,2.5,4,0,0,1,0,0,0,0,0,0,0,0,0,0
425,Antony,Manchester United,8,5.11,6,0,1,0,1,0,0,0,0,0,0,0,0,0
426,Scott McTominay,Manchester United,1,4.74,0,0,0,1,0,0,0,0,0,0,0,0,0,0
429,Bruno Guimarães,Newcastle United,133,3.66,119,3,3,1,4,3,18,0.5,17,1,0,0,0,0
430,Dan Burn,Newcastle United,27,0.73,21,1,0,4,1,0,4,0.11,3,1,0,0,0,0
431,Alexander Isak,Newcastle United,92,3.01,70,1,8,9,2,2,14,0.46,11,0,1,0,1,1
432,Fabian Schär,Newcastle United,37,1.13,26,1,1,3,2,4,4,0.12,2,0,0,2,0,0
433,Valentino Livramento,Newcastle United,45,1.43,43,0,0,1,1,0,2,0.06,2,0,0,0,0,0
434,Jacob Murphy,Newcastle United,82,3.13,65,5,4,3,3,2,15,0.57,14,0,0,0,1,0
435,Joelinton,Newcastle United,61,2.29,46,2,1,5,1,6,9,0.34,7,0,0,1,0,1
436,Sandro Tonali,Newcastle United,78,2.67,50,10,3,6,6,3,9,0.31,8,1,0,0,0,0
437,Nick Pope,Newcastle United,7,0.25,6,1,0,0,0,0,0,0,0,0,0,0,0,0
438,Anthony Gordon,Newcastle United,101,3.74,73,10,7,3,8,0,12,0.44,9,1,1,0,1,0
439,Lewis Hall,Newcastle United,63,2.59,44,18,0,0,1,0,6,0.25,5,1,0,0,0,0
440,Harvey Barnes,Newcastle United,64,3.27,44,1,7,6,6,0,9,0.46,6,0,1,1,1,0
441,Kieran Trippier,Newcastle United,54,3.71,32,20,0,2,0,0,6,0.41,4,2,0,0,0,0
442,Joe Willock,Newcastle United,45,3.73,36,0,3,3,1,2,4,0.33,4,0,0,0,0,0
443,Martin Dúbravka,Newcastle United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
444,Sean Longstaff,Newcastle United,14,1.58,12,0,1,1,0,0,2,0.23,1,0,0,1,0,0
445,Sven Botman,Newcastle United,4,0.87,1,0,0,3,0,0,0,0,0,0,0,0,0,0
446,Lloyd Kelly,Newcastle United,2,0.59,2,0,0,0,0,0,1,0.3,1,0,0,0,0,0
447,Callum Wilson,Newcastle United,10,2.43,7,0,0,1,1,1,0,0,0,0,0,0,0,0
448,Emil Krafth,Newcastle United,3,0.79,2,0,0,1,0,0,0,0,0,0,0,0,0,0
449,Lewis Miley,Newcastle United,4,1.15,3,0,0,0,0,1,0,0,0,0,0,0,0,0
450,Miguel Almirón,Newcastle United,8,4.59,6,0,1,1,0,0,0,0,0,0,0,0,0,0
451,William Osula,Newcastle United,4,2.69,3,0,0,0,0,1,0,0,0,0,0,0,0,0
452,Matt Targett,Newcastle United,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
455,Matz Sels,Nottingham Forest,6,0.16,3,3,0,0,0,0,0,0,0,0,0,0,0,0
456,Nikola Milenković,Nottingham Forest,21,0.57,16,0,0,4,0,1,3,0.08,3,0,0,0,0,0
457,Murillo,Nottingham Forest,44,1.24,30,7,0,4,1,2,2,0.06,1,1,0,0,0,0
458,Ola Aina,Nottingham Forest,62,1.86,49,5,3,1,3,1,4,0.12,3,0,0,0,0,1
459,Chris Wood,Nottingham Forest,44,1.34,36,0,2,4,0,2,5,0.15,4,0,0,0,0,1
460,Morgan Gibbs-White,Nottingham Forest,115,3.69,94,0,3,8,5,5,19,0.61,13,0,0,4,1,1
461,Elliot Anderson,Nottingham Forest,87,2.87,43,20,7,8,4,5,10,0.33,4,3,0,1,1,1
462,Anthony Elanga,Nottingham Forest,102,3.67,56,23,5,7,11,0,18,0.65,10,4,1,0,3,0
463,Neco Williams,Nottingham Forest,51,1.77,37,6,0,5,3,0,6,0.21,4,1,0,1,0,0
464,Callum Hudson-Odoi,Nottingham Forest,94,3.86,74,3,10,3,4,0,11,0.45,7,0,2,0,2,0
465,Nicolás Domínguez,Nottingham Forest,38,1.74,29,1,0,3,3,2,0,0,0,0,0,0,0,0
466,Ryan Yates,Nottingham Forest,38,1.78,26,1,1,6,2,2,3,0.14,2,0,0,1,0,0
467,Álex Moreno,Nottingham Forest,16,1.51,15,1,0,0,0,0,2,0.19,2,0,0,0,0,0
468,Ibrahim Sangaré,Nottingham Forest,8,1.22,7,0,0,1,0,0,0,0,0,0,0,0,0,0
469,Morato,Nottingham Forest,3,0.3,3,0,0,0,0,0,0,0,0,0,0,0,0,0
470,Jota Silva,Nottingham Forest,29,3.06,22,0,1,3,3,0,3,0.32,2,0,0,0,1,0
471,James Ward-Prowse,Nottingham Forest,10,2.25,6,4,0,0,0,0,2,0.45,1,1,0,0,0,0
472,Danilo,Nottingham Forest,7,2.31,7,0,0,0,0,0,2,0.66,2,0,0,0,0,0
473,Taiwo Awoniyi,Nottingham Forest,9,1.95,5,0,1,2,1,0,1,0.22,0,0,0,1,0,0
474,Ramón Sosa,Nottingham Forest,14,4.23,11,0,2,1,0,0,0,0,0,0,0,0,0,0
475,Willy Boly,Nottingham Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
476,Harry Toffolo,Nottingham Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
477,Eric da Silva Moreira,Nottingham Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
480,Mateus Fernandes,Southampton,78,2.41,44,14,6,6,6,2,7,0.22,4,2,0,0,0,1
481,Kyle Walker-Peters,Southampton,63,1.94,40,3,10,5,3,2,7,0.22,5,0,1,1,0,0
482,Taylor Harwood-Bellis,Southampton,37,1.18,32,0,0,3,1,1,2,0.06,1,0,0,1,0,0
483,Aaron Ramsdale,Southampton,3,0.1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
484,Jan Bednarek,Southampton,16,0.57,15,0,0,1,0,0,0,0,0,0,0,0,0,0
485,Flynn Downes,Southampton,31,1.3,27,2,0,1,0,1,2,0.08,1,1,0,0,0,0
486,Joe Aribo,Southampton,37,1.66,32,0,2,1,2,0,1,0.04,1,0,0,0,0,0
487,Tyler Dibling,Southampton,56,2.69,34,1,11,5,5,0,4,0.19,2,0,1,1,0,0
488,Lesley Ugochukwu,Southampton,24,1.3,20,0,1,1,2,0,1,0.05,0,0,0,1,0,0
489,Ryan Manning,Southampton,50,3.08,25,22,0,1,1,1,3,0.18,0,2,0,0,1,0
490,Kamaldeen Sulemana,Southampton,30,1.93,15,1,10,3,1,0,3,0.19,1,0,1,1,0,0
491,Jack Stephens,Southampton,13,0.84,13,0,0,0,0,0,0,0,0,0,0,0,0,0
492,Yukinari Sugawara,Southampton,39,2.25,30,5,1,3,0,0,1,0.06,1,0,0,0,0,0
493,Adam Armstrong,Southampton,19,1.37,12,1,2,4,0,0,4,0.29,1,0,0,3,0,0
494,Cameron Archer,Southampton,20,1.25,10,0,4,5,1,0,0,0,0,0,0,0,0,0
495,James Bree,Southampton,16,1.34,13,2,0,1,0,0,1,0.08,1,0,0,0,0,0
496,Paul Onuachu,Southampton,9,0.77,8,0,0,1,0,0,1,0.09,1,0,0,0,0,0
497,Nathan Wood-Gordon,Southampton,3,0.35,3,0,0,0,0,0,0,0,0,0,0,0,0,0
498,William Smallbone,Southampton,16,2.09,12,3,0,1,0,0,0,0,0,0,0,0,0,0
499,Welington,Southampton,7,1.31,6,1,0,0,0,0,1,0.19,1,0,0,0,0,0
500,Alex McCarthy,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,Adam Lallana,Southampton,9,2.24,8,0,0,0,1,0,2,0.5,2,0,0,0,0,0
502,Ben Brereton,Southampton,9,1.8,7,0,0,0,2,0,0,0,0,0,0,0,0,0
503,Ross Stewart,Southampton,5,1.16,1,0,1,2,1,0,0,0,0,0,0,0,0,0
504,Ryan Fraser,Southampton,5,1.47,5,0,0,0,0,0,0,0,0,0,0,0,0,0
505,Charlie Taylor,Southampton,2,0.51,2,0,0,0,0,0,1,0.25,1,0,0,0,0,0
506,Joe Lumley,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,Armel Bella Kotchap,Southampton,2,0.54,1,0,0,0,0,1,0,0,0,0,0,0,0,0
508,Albert Grønbaek,Southampton,2,1.26,1,0,0,1,0,0,0,0,0,0,0,0,0,0
509,Jay Robinson,Southampton,8,5.26,4,0,3,1,0,0,1,0.66,0,0,0,1,0,0
510,Maxwel Cornet,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,Samuel Edozie,Southampton,4,5.54,3,0,0,0,1,0,0,0,0,0,0,0,0,0
512,Samuel Amo-Ameyaw,Southampton,2,6.43,1,0,0,0,1,0,0,0,0,0,0,0,0,0
513,Joachim Kayi Sanda,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,Ronnie Edwards,Southampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,Carlos Alcaraz,Southampton,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0
518,Pedro Porro,Tottenham,108,3.72,72,23,3,5,4,1,8,0.28,4,3,1,0,0,0
519,Dejan Kulusevski,Tottenham,128,4.82,95,12,15,3,3,0,9,0.34,7,1,1,0,0,0
520,Dominic Solanke,Tottenham,37,1.51,25,0,0,9,2,1,8,0.33,6,0,0,1,1,0
521,Brennan Johnson,Tottenham,46,1.9,30,0,6,4,5,1,7,0.29,5,0,1,0,1,0
522,Guglielmo Vicario,Tottenham,4,0.17,4,0,0,0,0,0,0,0,0,0,0,0,0,0
523,Son Heung-min,Tottenham,117,4.99,87,8,10,7,5,0,15,0.64,13,0,0,1,1,0
524,Destiny Udogie,Tottenham,36,1.68,31,0,0,1,1,3,3,0.14,2,0,0,0,0,1
525,Pape Matar Sarr,Tottenham,45,2.12,35,2,2,4,0,2,7,0.33,5,0,1,1,0,0
526,James Maddison,Tottenham,95,4.73,66,13,7,3,6,0,18,0.9,12,2,3,1,0,0
527,Rodrigo Bentancur,Tottenham,45,2.46,36,0,1,5,1,2,3,0.16,3,0,0,0,0,0
528,Djed Spence,Tottenham,29,1.46,23,1,4,1,0,0,5,0.25,3,1,1,0,0,0
529,Archie Gray,Tottenham,6,0.31,5,1,0,0,0,0,0,0,0,0,0,0,0,0
530,Cristian Romero,Tottenham,20,1.27,16,0,0,4,0,0,4,0.25,3,0,0,1,0,0
531,Yves Bissouma,Tottenham,16,1.02,15,0,0,0,0,1,0,0,0,0,0,0,0,0
532,Ben Davies,Tottenham,8,0.54,7,0,0,0,0,1,0,0,0,0,0,0,0,0
533,Radu Drăgușin,Tottenham,8,0.58,8,0,0,0,0,0,1,0.07,1,0,0,0,0,0
534,Micky van de Ven,Tottenham,11,0.98,8,0,0,2,1,0,2,0.18,2,0,0,0,0,0
535,Lucas Bergvall,Tottenham,22,1.63,16,4,0,2,0,0,4,0.3,3,0,0,1,0,0
536,Mathys Tel,Tottenham,28,2.77,18,1,3,2,4,0,2,0.2,1,0,0,0,1,0
537,Wilson Odobert,Tottenham,16,1.7,14,0,0,2,0,0,1,0.11,1,0,0,0,0,0
538,Kevin Danso,Tottenham,9,0.96,8,0,0,1,0,0,2,0.21,2,0,0,0,0,0
539,Fraser Forster,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
540,Antonín Kinský,Tottenham,1,0.17,1,0,0,0,0,0,0,0,0,0,0,0,0,0
541,Timo Werner,Tottenham,18,3.13,14,0,2,1,1,0,3,0.52,3,0,0,0,0,0
542,Richarlison,Tottenham,8,1.43,5,0,0,2,1,0,1,0.18,1,0,0,0,0,0
543,Mikey Moore,Tottenham,12,2.95,7,2,0,1,2,0,2,0.49,1,0,0,1,0,0
544,Sergio Reguilón,Tottenham,1,0.46,1,0,0,0,0,0,0,0,0,0,0,0,0,0
545,Brandon Austin,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,Dane Scarlett,Tottenham,1,2.65,1,0,0,0,0,0,1,2.65,1,0,0,0,0,0
547,Alfie Dorrington,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,Will Lankshear,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,Max Kilman,West Ham,32,0.86,28,0,2,0,0,2,5,0.13,3,0,1,0,0,1
552,Aaron Wan-Bissaka,West Ham,93,2.65,75,4,7,3,2,2,10,0.29,9,0,0,1,0,0
