id,player_name,team,shot_creating_actions,shot_creating_actions_per_90,live_passes_sca,dead_passes_sca,take_ons_sca,shots_sca,fouls_drawn_sca,def_sca,goal_creating_actions,gca_per_ninety,live_passes_gca,dead_passes_gca,take_ons_gca,shots_gca,fouls_drawn_gca,def_gca
62,Kepa Arrizabalaga,Bournemouth,4,0.13,2,2,0,0,0,0,0,0,0,0,0,0,0,0
63,Justin Kluivert,Bournemouth,101,3.88,73,8,7,7,5,1,12,0.46,11,0,0,0,1,0
64,Evanilson,Bournemouth,61,2.37,39,0,3,10,9,0,8,0.31,2,0,1,1,4,0
65,Ryan Christie,Bournemouth,85,3.62,72,7,0,3,2,1,9,0.38,8,1,0,0,0,0
66,Dean Huijsen,Bournemouth,43,1.59,40,1,0,1,1,0,3,0.11,3,0,0,0,0,0
67,Dango Ouattara,Bournemouth,72,3.23,57,0,3,10,1,1,6,0.27,4,0,1,1,0,0
68,Tyler Adams,Bournemouth,41,1.88,35,0,0,1,1,4,4,0.18,3,0,0,0,0,1
69,Marcus Tavernier,Bournemouth,98,4.55,68,12,3,10,5,0,11,0.51,5,3,0,2,1,0
70,Adam Smith,Bournemouth,23,1.3,17,1,1,0,3,1,2,0.11,1,0,0,0,1,0
71,Marcos Senesi,Bournemouth,16,1.3,16,0,0,0,0,0,1,0.08,1,0,0,0,0,0
72,David Brooks,Bournemouth,46,4.31,36,6,2,2,0,0,2,0.19,1,0,0,1,0,0
73,Alex Scott,Bournemouth,29,3.45,19,2,0,2,3,3,2,0.24,2,0,0,0,0,0
74,Julian Araujo,Bournemouth,5,0.91,5,0,0,0,0,0,0,0,0,0,0,0,0,0
75,James Hill,Bournemouth,8,1.61,5,2,0,0,0,1,1,0.2,1,0,0,0,0,0
76,Mark Travers,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Enes Ünal,Bournemouth,9,2.35,6,0,0,2,1,0,3,0.78,2,0,0,0,1,0
78,Neto,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Luis Sinisterra,Bournemouth,14,5.29,11,0,1,2,0,0,1,0.38,1,0,0,0,0,0
80,Philip Billing,Bournemouth,16,7.83,13,0,0,1,0,2,0,0,0,0,0,0,0,0
81,Max Aarons,Bournemouth,2,2.09,2,0,0,0,0,0,0,0,0,0,0,0,0,0
