id,player_name,team,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xg,npxg,npxg_per_shot,goals_xg_diff,np_goals_npxg_diff,goals,non_pk_goals
545,Brandon Austin,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
546,Dane Scarlett,Tottenham,1,1,100,2.65,2.65,0,0,13.9,0,0,0,0,0,0.04,0,0,0,0
547,Alfie Dorrington,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
548,Will Lankshear,Tottenham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
551,Max Kilman,West Ham,13,2,15.4,0.35,0.05,0,0,8.9,0,0,0,1.6,1.6,0.13,-1.6,-1.6,0,0
552,Aaron Wan-Bissaka,West Ham,16,5,31.3,0.46,0.14,0.13,0.4,15.1,0,0,0,1.2,1.2,0.07,0.8,0.8,2,2
553,Jarrod Bowen,West Ham,86,36,41.9,2.6,1.09,0.14,0.33,17.4,1,1,1,8.6,7.8,0.09,4.4,4.2,13,12
554,Mohammed Kudus,West Ham,75,21,28,2.61,0.73,0.07,0.24,16,0,0,0,6.9,6.9,0.09,-1.9,-1.9,5,5
555,Tomáš Souček,West Ham,55,17,30.9,1.93,0.6,0.16,0.53,11.9,0,0,0,6.7,6.7,0.13,2.3,2.3,9,9
556,Lucas Paquetá,West Ham,39,3,7.7,1.47,0.11,0.05,0.67,19.5,4,2,2,5.3,3.7,0.1,-1.3,-1.7,4,2
557,Emerson Palmieri,West Ham,16,7,43.8,0.68,0.3,0.13,0.29,19,3,0,0,2,2,0.12,0,0,2,2
558,Alphonse Areola,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
559,Konstantinos Mavropanos,West Ham,18,5,27.8,0.79,0.22,0,0,14.8,0,0,0,1.5,1.5,0.09,-1.5,-1.5,0,0
560,Jean-Clair Todibo,West Ham,5,0,0,0.25,0,0,0,12.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4,0,0
561,Edson Álvarez,West Ham,12,1,8.3,0.61,0.05,0,0,26.3,0,0,0,0.4,0.4,0.03,-0.4,-0.4,0,0
562,Guido Rodríguez,West Ham,8,1,12.5,0.63,0.08,0,0,27.8,0,0,0,0.2,0.2,0.03,-0.2,-0.2,0,0
563,Carlos Soler,West Ham,25,8,32,1.6,0.51,0.04,0.13,19,1,0,0,1.8,1.8,0.07,-0.8,-0.8,1,1
564,Łukasz Fabiański,West Ham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
565,James Ward-Prowse,West Ham,13,5,38.5,1.13,0.43,0.08,0.2,19.9,3,0,0,1.6,1.6,0.13,-0.6,-0.6,1,1
566,Vladimír Coufal,West Ham,7,2,28.6,0.59,0.17,0,0,15.5,0,0,0,0.3,0.3,0.04,-0.3,-0.3,0,0
567,Michail Antonio,West Ham,19,4,21.1,2.05,0.43,0.05,0.25,12.6,0,0,0,2.2,2.2,0.12,-1.2,-1.2,1,1
568,Aaron Cresswell,West Ham,5,0,0,0.55,0,0,0,23.8,2,0,0,0.2,0.2,0.05,-0.2,-0.2,0,0
569,Crysencio Summerville,West Ham,14,4,28.6,1.6,0.46,0.07,0.25,13.4,0,0,0,1.6,1.6,0.12,-0.6,-0.6,1,1
570,Oliver Scarles,West Ham,3,0,0,0.41,0,0,0,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,0,0
571,Niclas Füllkrug,West Ham,16,7,43.8,1.82,0.8,0.19,0.43,10.3,0,0,0,2.2,2.2,0.14,0.8,0.8,3,3
572,Danny Ings,West Ham,14,5,35.7,4.44,1.58,0.07,0.2,15.5,0,0,0,2.3,2.3,0.16,-1.3,-1.3,1,1
573,Andy Irving,West Ham,4,2,50,2.17,1.08,0,0,26.2,0,0,0,0.1,0.1,0.03,-0.1,-0.1,0,0
574,Evan Ferguson,West Ham,5,1,20,2.88,0.58,0,0,17.2,0,0,0,0.6,0.6,0.11,-0.6,-0.6,0,0
575,Luis Guilherme,West Ham,4,1,25,2.4,0.6,0,0,13.6,0,0,0,0.4,0.4,0.1,-0.4,-0.4,0,0
576,Lewis Orford,West Ham,1,0,0,1.84,0,0,0,12.7,0,0,0,0,0,0.03,0,0,0,0
