id,player_name,team,total_shots,shots_on_target,shots_on_target_percent,shots_per_90,shots_on_target_per_90,goals_per_shot,goals_per_shot_on_target,average_shot_distance,shots_from_fks,pk_scored,pk_attempted,xg,npxg,npxg_per_shot,goals_xg_diff,np_goals_npxg_diff,goals,non_pk_goals
52,Donyell Malen,Aston Villa,15,9,60,4.43,2.66,0.2,0.33,15.2,0,0,0,2.2,2.2,0.14,0.8,0.8,3,3
53,Robin Olsen,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,Kosta Nedeljković,Aston Villa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,Emi Buendía,Aston Villa,5,0,0,4.59,0,0,0,19.1,1,0,0,0.7,0.7,0.13,-0.7,-0.7,0,0
58,Milos Kerkez,Bournemouth,19,5,26.3,0.51,0.13,0.11,0.4,20.2,0,0,0,0.6,0.5,0.03,1.4,1.5,2,2
59,Antoine Semenyo,Bournemouth,125,40,32,3.51,1.12,0.09,0.28,17,0,0,0,10,10,0.08,1,1,11,11
60,Illia Zabarnyi,Bournemouth,12,1,8.3,0.35,0.03,0,0,9.8,0,0,0,1.3,1.3,0.11,-1.3,-1.3,0,0
61,Lewis Cook,Bournemouth,14,4,28.6,0.42,0.12,0.07,0.25,23.4,1,0,0,0.9,0.9,0.07,0.1,0.1,1,1
62,Kepa Arrizabalaga,Bournemouth,1,0,0,0.03,0,0,0,9.7,0,0,0,0.1,0.1,0.06,-0.1,-0.1,0,0
63,Justin Kluivert,Bournemouth,57,23,40.4,2.19,0.88,0.11,0.26,20,0,6,6,10.3,5.6,0.1,1.7,0.4,12,6
64,Evanilson,Bournemouth,72,31,43.1,2.79,1.2,0.14,0.32,12.8,0,0,1,12.5,11.7,0.16,-2.5,-1.7,10,10
65,Ryan Christie,Bournemouth,33,12,36.4,1.4,0.51,0.06,0.17,19.6,0,0,0,1.8,1.8,0.06,0.2,0.2,2,2
66,Dean Huijsen,Bournemouth,18,3,16.7,0.67,0.11,0.17,1,11.9,0,0,0,1.9,1.9,0.1,1.1,1.1,3,3
67,Dango Ouattara,Bournemouth,62,20,32.3,2.78,0.9,0.11,0.35,13.5,1,0,0,8.4,8.4,0.14,-1.4,-1.4,7,7
68,Tyler Adams,Bournemouth,9,2,22.2,0.41,0.09,0,0,16.9,0,0,0,1.6,1.6,0.18,-1.6,-1.6,0,0
69,Marcus Tavernier,Bournemouth,57,17,29.8,2.65,0.79,0.05,0.18,21.1,4,0,0,5.5,5.5,0.1,-2.5,-2.5,3,3
70,Adam Smith,Bournemouth,3,0,0,0.17,0,0,0,16.9,0,0,0,0.7,0.7,0.22,-0.7,-0.7,0,0
71,Marcos Senesi,Bournemouth,3,0,0,0.24,0,0,0,7.9,0,0,0,0.8,0.8,0.28,-0.8,-0.8,0,0
72,David Brooks,Bournemouth,25,12,48,2.34,1.13,0.08,0.17,16.3,0,0,0,2.5,2.5,0.1,-0.5,-0.5,2,2
73,Alex Scott,Bournemouth,15,6,40,1.79,0.72,0,0,21.1,1,0,0,0.7,0.7,0.05,-0.7,-0.7,0,0
74,Julian Araujo,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
75,James Hill,Bournemouth,6,0,0,1.21,0,0,0,13.9,0,0,0,0.3,0.3,0.05,-0.3,-0.3,0,0
76,Mark Travers,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
77,Enes Ünal,Bournemouth,20,7,35,5.22,1.83,0.1,0.29,14.6,3,0,0,2.7,2.7,0.14,-0.7,-0.7,2,2
78,Neto,Bournemouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,Luis Sinisterra,Bournemouth,13,6,46.2,4.96,2.29,0.08,0.17,14.8,0,0,0,1.2,1.2,0.09,-0.2,-0.2,1,1
