Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Dean Henderson,eng ENG,GK,28-308,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.33,22.0,23.0,-1.0,-0.05,,33.2,27.4,5.8,0.28,,Matches
Maxence Lacroix,fr FRA,DF,25-283,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.33,22.0,23.0,-1.0,-0.05,,33.2,27.4,5.8,0.28,,Matches
Tyrick Mitchell,eng ENG,DF,26-135,21,1883.0,90.0,99.6,20.9,21,90.0,19,0,,0,1.33,22.0,23.0,-1.0,-0.05,-0.05,33.1,27.4,5.7,0.27,-1.16,Matches
Jean-Philippe Mateta,fr FRA,FW,28-200,21,1730.0,82.0,91.5,19.2,21,82.0,11,0,,0,1.33,18.0,18.0,0.0,0.0,0.56,29.7,22.2,7.5,0.39,1.33,Matches
Marc Guéhi,eng ENG,DF,25-185,20,1800.0,90.0,95.2,20.0,20,90.0,20,0,,0,1.35,22.0,23.0,-1.0,-0.05,-0.05,32.5,27.0,5.5,0.27,-0.09,Matches
Adam Wharton,eng ENG,MF,21-342,19,1562.0,82.0,82.6,17.4,19,82.0,9,0,,0,1.26,17.0,22.0,-5.0,-0.29,-1.39,28.3,23.1,5.1,0.3,0.1,Matches
Chris Richards,us USA,DF,25-292,17,1522.0,90.0,80.5,16.9,17,90.0,16,0,,1,1.53,21.0,19.0,2.0,0.12,0.85,27.7,21.1,6.5,0.39,0.55,Matches
Yeremi Pino,es ESP,MF,23-086,19,1348.0,71.0,71.3,15.0,17,77.0,2,2,23.0,0,1.37,13.0,17.0,-4.0,-0.27,-0.77,21.5,18.6,2.8,0.19,-0.31,Matches
Daniel Muñoz,co COL,"DF,MF",29-233,14,1259.0,90.0,66.6,14.0,14,90.0,13,0,,0,1.64,18.0,11.0,7.0,0.5,1.64,22.7,16.5,6.2,0.44,0.5,Matches
Daichi Kamada,jp JPN,MF,29-162,14,1164.0,83.0,61.6,12.9,14,83.0,4,0,,0,1.71,18.0,11.0,7.0,0.54,1.53,22.2,14.1,8.1,0.62,0.9,Matches
Ismaila Sarr,sn SEN,"MF,FW",27-323,12,1008.0,84.0,53.3,11.2,12,84.0,9,0,,0,1.33,14.0,9.0,5.0,0.45,1.06,18.3,14.2,4.1,0.37,0.19,Matches
Will Hughes,eng ENG,MF,30-272,18,874.0,49.0,46.2,9.7,10,75.0,5,8,15.0,3,1.33,6.0,10.0,-4.0,-0.41,-0.68,13.9,13.4,0.5,0.06,-0.41,Matches
Jefferson Lerma,co COL,"MF,DF",31-081,18,760.0,42.0,40.2,8.4,7,79.0,5,11,19.0,2,1.44,10.0,6.0,4.0,0.47,0.87,11.0,8.6,2.4,0.28,0.01,Matches
Nathaniel Clyne,eng ENG,DF,34-284,7,418.0,60.0,22.1,4.6,6,69.0,0,1,5.0,12,1.0,2.0,8.0,-6.0,-1.29,-1.6,6.5,5.5,1.0,0.22,-0.08,Matches
Justin Devenny,nir NIR,"MF,DF",22-095,17,513.0,30.0,27.1,5.7,4,80.0,0,13,15.0,4,1.53,5.0,8.0,-3.0,-0.53,-0.66,10.5,8.0,2.5,0.45,0.23,Matches
