Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Robin Roefs,nl NED,GK,22-362,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.43,21.0,22.0,-1.0,-0.05,,18.5,30.6,-12.1,-0.58,,Matches
Granit Xhaka,ch SUI,MF,33-109,21,1872.0,89.0,99.0,20.8,21,89.0,20,0,,0,1.43,21.0,22.0,-1.0,-0.05,-0.05,18.4,30.0,-11.6,-0.56,1.95,Matches
Trai Hume,nir NIR,"DF,MF",23-302,21,1743.0,83.0,92.2,19.4,19,89.0,16,2,25.0,0,1.43,18.0,20.0,-2.0,-0.1,-0.72,16.9,28.3,-11.4,-0.59,-0.15,Matches
Nordi Mukiele,fr FRA,DF,28-074,19,1710.0,90.0,90.5,19.0,19,90.0,19,0,,0,1.42,18.0,20.0,-2.0,-0.11,-0.61,17.0,29.0,-12.1,-0.63,-0.61,Matches
Enzo Le Fée,fr FRA,"MF,FW",25-345,20,1575.0,79.0,83.3,17.5,18,85.0,11,2,22.0,0,1.45,17.0,19.0,-2.0,-0.11,-0.4,15.5,25.9,-10.4,-0.59,-0.11,Matches
Omar Alderete,py PAR,DF,29-019,17,1470.0,86.0,77.8,16.3,16,90.0,15,1,38.0,1,1.47,16.0,17.0,-1.0,-0.06,-0.06,14.8,24.0,-9.2,-0.56,0.06,Matches
Noah Sadiki,cd COD,MF,21-028,16,1412.0,88.0,74.7,15.7,16,88.0,12,0,,0,1.63,19.0,17.0,2.0,0.13,0.69,13.3,19.8,-6.5,-0.42,0.63,Matches
Daniel Ballard,nir NIR,DF,26-114,17,1225.0,72.0,64.8,13.6,13,83.0,11,4,37.0,0,1.41,17.0,15.0,2.0,0.15,0.55,13.0,18.5,-5.5,-0.41,0.48,Matches
Reinildo Mandava,mz MOZ,DF,31-358,12,1022.0,85.0,54.1,11.4,12,85.0,11,0,,0,1.67,15.0,11.0,4.0,0.35,0.87,8.9,13.9,-5.0,-0.44,0.3,Matches
Wilson Isidor,fr FRA,FW,25-140,19,977.0,51.0,51.7,10.9,11,71.0,0,8,24.0,0,1.53,12.0,13.0,-1.0,-0.09,-0.09,9.6,15.4,-5.8,-0.54,0.08,Matches
Lutsharel Geertruida,nl NED,"DF,MF",25-180,17,978.0,58.0,51.7,10.9,10,88.0,8,7,13.0,1,1.24,7.0,14.0,-7.0,-0.64,-1.24,10.1,20.0,-9.9,-0.92,-0.7,Matches
Chemsdine Talbi,ma MAR,"FW,MF",20-250,16,886.0,55.0,46.9,9.8,9,78.0,1,7,26.0,0,1.63,12.0,8.0,4.0,0.41,0.85,6.5,13.4,-6.9,-0.7,-0.23,Matches
Simon Adingra,ci CIV,"FW,MF",24-013,14,653.0,47.0,34.6,7.3,9,64.0,0,5,16.0,6,1.07,6.0,8.0,-2.0,-0.28,-0.35,7.2,11.1,-3.9,-0.54,0.06,Matches
Bertrand Traoré,bf BFA,"FW,MF",30-130,10,608.0,61.0,32.2,6.8,9,64.0,0,1,32.0,3,1.7,7.0,9.0,-2.0,-0.3,-0.37,6.3,8.8,-2.5,-0.37,0.3,Matches
Brian Brobbey,nl NED,FW,23-347,16,707.0,44.0,37.4,7.9,7,72.0,2,9,22.0,2,1.25,6.0,8.0,-2.0,-0.25,-0.33,7.3,13.6,-6.3,-0.8,-0.35,Matches
Chris Rigg,eng ENG,"FW,MF",18-210,10,377.0,38.0,19.9,4.2,6,58.0,0,4,7.0,9,1.7,4.0,2.0,2.0,0.48,0.66,3.8,5.1,-1.2,-0.3,0.35,Matches
Eliezer Mayenda,es ESP,FW,20-251,12,498.0,42.0,26.3,5.5,5,74.0,1,7,18.0,9,1.17,5.0,4.0,1.0,0.18,0.31,5.0,8.7,-3.8,-0.68,-0.14,Matches
Habib Diarra,sn SEN,MF,22-011,5,372.0,74.0,19.7,4.1,4,86.0,2,1,27.0,0,1.6,4.0,2.0,2.0,0.48,0.66,3.4,4.4,-1.1,-0.26,0.4,Matches
Dennis Cirkin,eng ENG,DF,23-283,4,250.0,63.0,13.2,2.8,3,79.0,2,1,12.0,1,0.75,1.0,2.0,-1.0,-0.36,-0.36,1.8,5.6,-3.8,-1.36,-0.9,Matches
Arthur Masuaku,cd COD,"DF,MF",32-068,3,126.0,42.0,6.7,1.4,2,58.0,0,1,11.0,8,1.33,1.0,2.0,-1.0,-0.71,-0.71,1.1,2.1,-1.0,-0.73,-0.17,Matches
Jenson Seelt,nl NED,DF,22-236,2,134.0,67.0,7.1,1.5,1,52.0,0,1,82.0,1,1.5,0.0,2.0,-2.0,-1.34,-1.39,1.0,1.3,-0.4,-0.24,0.36,Matches
Romaine Mundle,eng ENG,"FW,MF",22-265,8,178.0,22.0,9.4,2.0,0,,0,8,22.0,1,1.25,2.0,2.0,0.0,0.0,0.05,2.5,3.6,-1.1,-0.56,0.01,Matches
Patrick Roberts,eng ENG,"MF,FW",28-343,1,28.0,28.0,1.5,0.3,0,,0,1,28.0,2,0.0,0.0,1.0,-1.0,-3.21,-3.21,0.2,0.7,-0.5,-1.61,-1.05,Matches
Marc Guiu,es ESP,FW,20-010,2,15.0,8.0,0.8,0.2,0,,0,2,8.0,1,1.5,1.0,1.0,0.0,0.0,0.05,0.3,0.7,-0.4,-2.2,-1.64,Matches
Dan Neil,eng ENG,MF,24-032,3,14.0,5.0,0.7,0.2,0,,0,3,5.0,18,1.33,0.0,0.0,0.0,0.0,0.05,0.1,0.7,-0.6,-3.94,-3.39,Matches
Luke O'Nien,eng ENG,"DF,MF",31-054,3,11.0,4.0,0.6,0.1,0,,0,3,4.0,9,0.33,0.0,0.0,0.0,0.0,0.05,0.3,0.7,-0.4,-3.48,-2.92,Matches
Leo Fuhr Hjelde,no NOR,DF,22-141,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
Harrison Jones,eng ENG,MF,21-020,0,,,,,0,,0,0,,8,,,,,,,,,,,,Matches
Jenson Jones,eng ENG,DF,25-076,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Anthony Patterson,eng ENG,GK,25-249,0,,,,,0,,0,0,,21,,,,,,,,,,,,Matches
Timur Tuterov,ua UKR,FW,20-217,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
Squad Total,,,25.9,21,1890.0,90.0,100.0,21.0,231,83.0,152,78,20.0,111,1.43,21.0,22.0,-1.0,-0.05,,18.5,30.6,-12.1,-0.58,,
Opponent Total,,,26.8,21,1890.0,90.0,100.0,21.0,231,83.0,144,87,20.0,102,1.14,22.0,21.0,1.0,0.05,,30.6,18.5,12.1,0.58,,
