Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Martin Dúbravka,sk SVK,GK,36-364,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,0.62,22.0,41.0,-19.0,-0.9,,17.9,41.0,-23.1,-1.1,,Matches
Kyle Walker,eng ENG,"DF,MF",35-231,20,1786.0,89.0,94.5,19.8,20,89.0,19,0,,0,0.65,19.0,38.0,-19.0,-0.96,-0.96,15.1,38.7,-23.6,-1.19,-1.64,Matches
Maxime Estève,fr FRA,DF,23-233,18,1535.0,85.0,81.2,17.1,18,85.0,15,0,,0,0.61,19.0,37.0,-18.0,-1.06,-0.8,14.1,35.9,-21.8,-1.28,-0.94,Matches
Josh Cullen,ie IRL,MF,29-282,18,1514.0,84.0,80.1,16.8,18,84.0,12,0,,0,0.67,18.0,29.0,-11.0,-0.65,1.26,14.0,31.3,-17.3,-1.03,0.36,Matches
Quilindschy Hartman,nl NED,DF,24-061,15,1337.0,89.0,70.7,14.9,15,89.0,13,0,,3,0.67,16.0,28.0,-12.0,-0.81,0.33,12.4,29.1,-16.8,-1.13,-0.09,Matches
Florentino Luís,pt POR,MF,26-148,17,1314.0,77.0,69.5,14.6,15,83.0,8,2,33.0,1,0.53,13.0,29.0,-16.0,-1.1,-0.63,10.2,28.5,-18.3,-1.26,-0.51,Matches
Lesley Ugochukwu,fr FRA,MF,21-294,20,1286.0,64.0,68.0,14.3,15,78.0,3,5,23.0,0,0.6,15.0,26.0,-11.0,-0.77,0.42,12.0,28.6,-16.7,-1.17,-0.2,Matches
Jaidon Anthony,eng ENG,"MF,FW",26-044,20,1256.0,63.0,66.5,14.0,15,78.0,3,5,17.0,1,0.65,15.0,26.0,-11.0,-0.79,0.35,10.1,26.5,-16.4,-1.18,-0.23,Matches
Hjalmar Ekdal,se SWE,DF,27-085,14,1162.0,83.0,61.5,12.9,13,89.0,11,1,1.0,6,0.64,12.0,24.0,-12.0,-0.93,-0.06,12.7,21.6,-8.9,-0.69,1.08,Matches
Josh Laurent,eng ENG,"DF,MF",30-253,18,1060.0,59.0,56.1,11.8,11,85.0,8,7,17.0,3,0.72,11.0,26.0,-15.0,-1.27,-0.84,9.2,23.9,-14.6,-1.24,-0.32,Matches
