Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Virgil van Dijk,nl NED,DF,34-190,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.67,32.0,28.0,4.0,0.19,,31.9,23.8,8.0,0.38,,Matches
Ibrahima Konaté,fr FRA,DF,26-234,21,1786.0,85.0,94.5,19.8,21,85.0,16,0,,0,1.67,28.0,25.0,3.0,0.15,-0.71,28.4,21.3,7.1,0.36,-0.42,Matches
Dominik Szoboszlai,hu HUN,"MF,DF",25-081,20,1792.0,90.0,94.8,19.9,20,90.0,19,0,,0,1.6,30.0,27.0,3.0,0.15,-0.77,30.0,22.4,7.6,0.38,-0.07,Matches
Ryan Gravenberch,nl NED,MF,23-243,19,1681.0,88.0,88.9,18.7,19,88.0,18,0,,0,1.68,25.0,22.0,3.0,0.16,-0.27,25.8,18.8,7.1,0.38,-0.04,Matches
Milos Kerkez,hu HUN,DF,22-068,20,1416.0,71.0,74.9,15.7,17,79.0,11,3,22.0,1,1.6,23.0,21.0,2.0,0.13,-0.25,22.6,18.4,4.1,0.26,-0.48,Matches
Alexis Mac Allister,ar ARG,MF,27-021,20,1389.0,69.0,73.5,15.4,17,77.0,8,3,26.0,0,1.6,19.0,19.0,0.0,0.0,-0.72,20.6,16.6,4.0,0.26,-0.48,Matches
Alisson,br BRA,GK,33-104,16,1440.0,90.0,76.2,16.0,16,90.0,16,0,,0,2.0,26.0,18.0,8.0,0.5,1.3,23.2,16.9,6.3,0.39,0.05,Matches
Florian Wirtz,de GER,"MF,FW",22-256,20,1405.0,70.0,74.3,15.6,16,80.0,2,4,30.0,0,1.75,19.0,16.0,3.0,0.19,0.01,21.9,17.1,4.8,0.31,-0.3,Matches
Cody Gakpo,nl NED,FW,26-252,19,1345.0,71.0,71.2,14.9,15,82.0,9,4,28.0,0,1.53,23.0,20.0,3.0,0.2,0.04,23.4,14.9,8.4,0.56,0.63,Matches
Hugo Ekitike,fr FRA,FW,23-208,18,1132.0,63.0,59.9,12.6,13,78.0,2,5,24.0,0,1.83,22.0,15.0,7.0,0.56,0.91,19.6,16.4,3.2,0.26,-0.32,Matches
Mohamed Salah,eg EGY,"FW,MF",33-213,14,1183.0,85.0,62.6,13.1,12,89.0,10,2,55.0,2,1.57,20.0,21.0,-1.0,-0.08,-0.71,21.4,16.5,4.9,0.37,-0.03,Matches
Conor Bradley,nir NIR,DF,22-189,15,929.0,62.0,49.2,10.3,12,70.0,3,3,29.0,1,1.47,11.0,13.0,-2.0,-0.19,-0.76,13.7,10.6,3.1,0.3,-0.16,Matches
Curtis Jones,eng ENG,MF,24-349,18,972.0,54.0,51.4,10.8,9,83.0,4,9,25.0,1,1.56,21.0,18.0,3.0,0.28,0.18,17.9,14.7,3.1,0.29,-0.19,Matches
