Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Bernd Leno,de GER,GK,33-316,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.48,30.0,30.0,0.0,0.0,,23.6,29.0,-5.4,-0.26,,Matches
Joachim Andersen,dk DEN,DF,29-228,20,1751.0,88.0,92.6,19.5,20,88.0,19,0,,0,1.55,29.0,27.0,2.0,0.1,1.4,22.1,25.6,-3.5,-0.18,1.08,Matches
Sander Berge,no NOR,MF,27-334,21,1722.0,82.0,91.1,19.1,20,85.0,15,1,17.0,0,1.48,26.0,28.0,-2.0,-0.1,-1.18,21.5,26.8,-5.3,-0.28,-0.2,Matches
Harry Wilson,wls WAL,"FW,MF",28-298,20,1496.0,75.0,79.2,16.6,18,80.0,2,2,30.0,0,1.55,26.0,20.0,6.0,0.36,1.73,17.4,20.6,-3.2,-0.19,0.31,Matches
Kenny Tete,nl NED,DF,30-097,16,1345.0,84.0,71.2,14.9,16,84.0,12,0,,1,1.69,19.0,18.0,1.0,0.07,0.23,16.8,19.9,-3.1,-0.21,0.17,Matches
Alex Iwobi,ng NGA,"MF,FW",29-256,16,1328.0,83.0,70.3,14.8,16,83.0,4,0,,0,1.25,21.0,24.0,-3.0,-0.2,-0.68,14.8,20.0,-5.2,-0.36,-0.33,Matches
Raúl Jiménez,mx MEX,FW,34-254,20,1310.0,66.0,69.3,14.6,16,78.0,8,4,17.0,0,1.55,22.0,17.0,5.0,0.34,1.12,17.2,19.9,-2.7,-0.18,0.24,Matches
Calvin Bassey,ng NGA,DF,26-014,16,1359.0,85.0,71.9,15.1,15,90.0,15,1,9.0,0,1.25,23.0,25.0,-2.0,-0.13,-0.47,16.5,20.6,-4.1,-0.27,-0.05,Matches
Saša Lukić,rs SRB,MF,29-154,18,1145.0,64.0,60.6,12.7,14,77.0,7,4,17.0,1,1.39,14.0,17.0,-3.0,-0.24,-0.6,14.4,17.6,-3.2,-0.25,0.01,Matches
Ryan Sessegnon,eng ENG,DF,25-241,14,1124.0,80.0,59.5,12.5,13,85.0,10,1,18.0,0,1.36,18.0,21.0,-3.0,-0.24,-0.59,12.4,16.1,-3.7,-0.3,-0.1,Matches
Joshua King,eng ENG,"MF,FW",19-011,18,870.0,48.0,46.0,9.7,11,66.0,0,7,20.0,0,1.44,10.0,14.0,-4.0,-0.41,-0.77,7.8,11.7,-3.9,-0.41,-0.28,Matches
Emile Smith Rowe,eng ENG,MF,25-170,21,914.0,44.0,48.4,10.2,9,76.0,1,12,19.0,0,1.48,17.0,13.0,4.0,0.39,0.76,14.2,16.3,-2.2,-0.21,0.09,Matches
Timothy Castagne,be BEL,"DF,FW",30-040,16,769.0,48.0,40.7,8.5,8,83.0,6,8,14.0,5,1.19,13.0,17.0,-4.0,-0.47,-0.79,9.1,14.5,-5.5,-0.64,-0.64,Matches
Jorge Cuenca,es ESP,DF,26-058,8,574.0,72.0,30.4,6.4,7,81.0,4,1,5.0,12,1.88,5.0,5.0,0.0,0.0,0.0,6.8,8.1,-1.2,-0.19,0.09,Matches
