Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Elliot Anderson,eng ENG,MF,23-069,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.0,21.0,34.0,-13.0,-0.62,,24.6,29.6,-5.0,-0.24,,Matches
Nikola Milenković,rs SRB,DF,28-094,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.0,21.0,34.0,-13.0,-0.62,,24.6,29.6,-5.0,-0.24,,Matches
Neco Williams,wls WAL,DF,24-276,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.0,21.0,34.0,-13.0,-0.62,,24.6,29.6,-5.0,-0.24,,Matches
Morgan Gibbs-White,eng ENG,"MF,FW",25-352,21,1781.0,85.0,94.2,19.8,20,87.0,12,1,45.0,0,1.0,20.0,31.0,-11.0,-0.56,1.1,22.9,28.4,-5.4,-0.27,-0.63,Matches
Matz Sels,be BEL,GK,33-322,17,1453.0,85.0,76.9,16.1,16,90.0,16,1,13.0,3,1.06,16.0,26.0,-10.0,-0.62,0.0,18.8,23.3,-4.5,-0.28,-0.19,Matches
Murillo,br BRA,DF,23-194,15,1279.0,85.0,67.7,14.2,15,85.0,13,0,,1,1.13,19.0,22.0,-3.0,-0.21,1.26,19.0,18.9,0.1,0.01,0.76,Matches
Dan Ndoye,ch SUI,FW,25-081,15,996.0,66.0,52.7,11.1,14,71.0,3,1,1.0,1,1.2,13.0,16.0,-3.0,-0.27,0.74,11.2,14.1,-2.9,-0.26,-0.06,Matches
Igor Jesus,br BRA,FW,24-323,20,1148.0,57.0,60.7,12.8,13,77.0,4,7,22.0,0,1.05,14.0,23.0,-9.0,-0.71,-0.22,16.1,19.1,-3.0,-0.23,0.01,Matches
Callum Hudson-Odoi,eng ENG,FW,25-068,19,1120.0,59.0,59.3,12.4,11,79.0,2,8,31.0,0,0.95,13.0,19.0,-6.0,-0.48,0.34,15.6,17.7,-2.1,-0.17,0.16,Matches
Nicolò Savona,it ITA,DF,22-301,14,1028.0,73.0,54.4,11.4,11,85.0,9,3,31.0,2,0.93,13.0,18.0,-5.0,-0.44,0.4,12.5,15.5,-2.9,-0.26,-0.04,Matches
