Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Erling Haaland,no NOR,FW,25-177,21,1821.0,87.0,96.3,20.2,21,87.0,15,0,,0,2.05,44.0,18.0,26.0,1.29,1.29,38.1,22.5,15.6,0.77,-0.36,Matches
Rúben Dias,pt POR,DF,28-245,20,1706.0,85.0,90.3,19.0,19,89.0,18,1,6.0,0,2.1,43.0,16.0,27.0,1.42,1.91,35.3,19.7,15.6,0.82,0.39,Matches
Gianluigi Donnarumma,it ITA,GK,26-323,18,1620.0,90.0,85.7,18.0,18,90.0,18,0,,0,2.22,40.0,15.0,25.0,1.39,1.06,33.8,19.2,14.6,0.81,0.19,Matches
Phil Foden,eng ENG,MF,25-231,19,1567.0,82.0,82.9,17.4,18,86.0,12,1,16.0,0,2.11,40.0,14.0,26.0,1.49,1.49,31.9,19.0,12.9,0.74,-0.23,Matches
Matheus Nunes,pt POR,DF,27-140,19,1576.0,83.0,83.4,17.5,17,89.0,15,2,35.0,2,2.11,38.0,16.0,22.0,1.26,0.11,31.4,19.1,12.4,0.71,-0.46,Matches
Bernardo Silva,pt POR,MF,31-157,21,1496.0,71.0,79.2,16.6,17,83.0,6,4,23.0,0,2.05,38.0,15.0,23.0,1.38,0.7,32.5,18.4,14.1,0.85,0.32,Matches
Nico O’Reilly,eng ENG,DF,20-299,20,1479.0,74.0,78.3,16.4,16,87.0,11,4,23.0,1,2.15,38.0,13.0,25.0,1.52,1.3,29.3,18.8,10.5,0.64,-0.65,Matches
Tijjani Reijnders,nl NED,MF,27-169,20,1336.0,67.0,70.7,14.8,16,80.0,6,4,15.0,1,2.0,28.0,15.0,13.0,0.88,-1.24,25.0,15.4,9.5,0.64,-0.48,Matches
Nicolás González,es ESP,MF,24-011,19,1335.0,70.0,70.6,14.8,15,80.0,9,4,32.0,1,2.21,37.0,13.0,24.0,1.62,1.29,27.5,15.7,11.8,0.8,0.04,Matches
Joško Gvardiol,hr CRO,DF,23-356,16,1302.0,81.0,68.9,14.5,15,85.0,12,1,34.0,1,2.25,35.0,13.0,22.0,1.52,0.91,26.4,15.0,11.4,0.79,0.01,Matches
