Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Unnamed: 26_level_0_Matches
Guglielmo Vicario,it ITA,GK,29-099,21,1890.0,90.0,100.0,21.0,21,90.0,21,0,,0,1.29,30.0,27.0,3.0,0.14,,20.1,26.7,-6.6,-0.31,,Matches
Micky van de Ven,nl NED,DF,24-270,20,1789.0,89.0,94.7,19.9,20,89.0,19,0,,1,1.3,28.0,25.0,3.0,0.15,0.15,19.0,24.8,-5.8,-0.29,0.43,Matches
Pedro Porro,es ESP,DF,26-123,21,1688.0,80.0,89.3,18.8,19,87.0,15,2,21.0,0,1.29,27.0,21.0,6.0,0.32,1.66,18.8,22.2,-3.4,-0.18,1.25,Matches
Mohammed Kudus,gh GHA,"FW,MF",25-165,19,1535.0,81.0,81.2,17.1,19,81.0,8,0,,0,1.37,22.0,20.0,2.0,0.12,-0.14,14.9,22.7,-7.8,-0.46,-0.76,Matches
Rodrigo Bentancur,uy URU,MF,28-203,20,1410.0,71.0,74.6,15.7,17,79.0,9,3,21.0,1,1.2,21.0,21.0,0.0,0.0,-0.56,15.0,20.7,-5.7,-0.37,-0.21,Matches
Cristian Romero,ar ARG,DF,27-262,17,1457.0,86.0,77.1,16.2,16,89.0,13,1,31.0,0,1.24,23.0,21.0,2.0,0.12,-0.08,15.1,20.3,-5.2,-0.32,-0.04,Matches
Djed Spence,eng ENG,DF,25-158,18,1346.0,75.0,71.2,15.0,16,84.0,11,2,3.0,3,1.28,21.0,18.0,3.0,0.2,0.2,15.0,20.1,-5.1,-0.34,-0.11,Matches
João Palhinha,pt POR,MF,30-189,20,1304.0,65.0,69.0,14.5,14,83.0,9,6,23.0,1,1.3,19.0,20.0,-1.0,-0.07,-0.68,11.5,19.4,-7.9,-0.55,-0.76,Matches
Richarlison,br BRA,FW,28-249,21,1283.0,61.0,67.9,14.3,13,85.0,10,8,22.0,0,1.29,21.0,19.0,2.0,0.14,-0.01,14.7,18.2,-3.4,-0.24,0.23,Matches
Xavi Simons,nl NED,"MF,FW",22-268,15,924.0,62.0,48.9,10.3,10,74.0,3,5,37.0,0,1.07,16.0,15.0,1.0,0.1,-0.09,9.9,13.7,-3.8,-0.37,-0.11,Matches
Randal Kolo Muani,fr FRA,FW,27-040,14,836.0,60.0,44.2,9.3,10,70.0,1,4,33.0,1,0.93,8.0,14.0,-6.0,-0.65,-1.41,7.4,11.6,-4.1,-0.44,-0.23,Matches
Lucas Bergvall,se SWE,"MF,FW",19-346,16,804.0,50.0,42.5,8.9,10,67.0,0,6,23.0,3,1.19,12.0,12.0,0.0,0.0,-0.25,8.5,9.5,-1.1,-0.12,0.34,Matches
Archie Gray,eng ENG,MF,19-308,11,603.0,55.0,31.9,6.7,8,74.0,2,3,4.0,7,1.18,9.0,7.0,2.0,0.3,0.23,8.1,6.7,1.4,0.21,0.77,Matches
Pape Matar Sarr,sn SEN,MF,23-122,14,709.0,51.0,37.5,7.9,7,87.0,5,7,14.0,2,1.5,13.0,7.0,6.0,0.76,0.99,7.7,12.8,-5.1,-0.64,-0.53,Matches
Kevin Danso,at AUT,DF,27-117,12,585.0,49.0,31.0,6.5,7,79.0,5,5,6.0,9,1.67,9.0,10.0,-1.0,-0.15,-0.43,6.3,9.5,-3.1,-0.48,-0.24,Matches
Wilson Odobert,fr FRA,"FW,MF",21-047,19,718.0,38.0,38.0,8.0,6,73.0,0,13,22.0,2,1.26,12.0,10.0,2.0,0.25,0.17,8.9,8.2,0.8,0.1,0.66,Matches
Brennan Johnson,wls WAL,"FW,MF",24-236,16,610.0,38.0,32.3,6.8,6,77.0,1,10,15.0,2,1.38,13.0,5.0,8.0,1.18,1.53,7.4,10.1,-2.7,-0.4,-0.13,Matches
Destiny Udogie,it ITA,DF,23-047,10,609.0,61.0,32.2,6.8,6,88.0,4,4,21.0,0,1.0,10.0,13.0,-3.0,-0.44,-0.86,5.1,10.3,-5.1,-0.76,-0.66,Matches
Mathys Tel,fr FRA,FW,20-262,14,470.0,34.0,24.9,5.2,5,77.0,1,9,9.0,7,1.21,14.0,8.0,6.0,1.15,1.34,5.4,5.0,0.4,0.08,0.52,Matches
Ben Davies,wls WAL,DF,32-265,2,119.0,60.0,6.3,1.3,1,87.0,0,1,32.0,11,0.5,1.0,2.0,-1.0,-0.76,-0.96,1.1,0.7,0.3,0.26,0.61,Matches
Dominic Solanke,eng ENG,FW,28-122,2,33.0,17.0,1.7,0.4,0,,0,2,17.0,0,3.0,0.0,0.0,0.0,0.0,-0.15,0.6,0.2,0.4,1.02,1.35,Matches
Radu Drăgușin,ro ROU,DF,23-345,1,6.0,6.0,0.3,0.1,0,,0,1,6.0,4,3.0,0.0,0.0,0.0,0.0,-0.14,0.2,0.1,0.1,1.03,1.35,Matches
Dane Scarlett,eng ENG,FW,21-296,1,3.0,3.0,0.2,0.0,0,,0,1,3.0,8,1.0,0.0,0.0,0.0,0.0,-0.14,0.1,0.0,0.1,2.65,2.97,Matches
Yusuf Akhamrich,eng ENG,FW,20-131,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Brandon Austin,eng ENG,GK,27-006,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Jun'ai Byfield,eng ENG,DF,17-039,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Antonín Kinský,cz CZE,GK,22-307,0,,,,,0,,0,0,,21,,,,,,,,,,,,Matches
Callum Olusesi,eng ENG,MF,18-362,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
James Rowswell,eng ENG,DF,19-185,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Manor Solomon,il ISR,"FW,MF",26-174,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Kōta Takai,jp JPN,DF,21-132,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
Luka Vušković,hr CRO,DF,18-324,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Luca Williams Barnett,eng ENG,FW,17-105,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
Squad Total,,,25.9,21,1890.0,90.0,100.0,21.0,231,82.0,137,93,18.0,95,1.29,30.0,27.0,3.0,0.14,,20.1,26.7,-6.6,-0.31,,
Opponent Total,,,26.7,21,1890.0,90.0,100.0,21.0,231,82.0,145,87,19.0,102,1.43,27.0,30.0,-3.0,-0.14,,26.7,20.1,6.6,0.31,,
